Time,Cell_Type,Cell_ID,Cell_RSSI
14:02,[],[],[]
14:02,[],[],[]
14:02,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 479, 479, 0, 0, 0, 0]","[-89, -106, -106, 0, 0, 0, 0]"
14:02,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 479, 479, 480, 480, 479, 483]","[-91, -106, -113, -102, -123, -116, -129]"
14:02,"['Lte', 'Lte']","[477, 479]","[-88, -110]"
14:02,"['Lte', 'Lte']","[477, 479]","[-86, -100]"
14:02,"['Lte', 'Lte']","[477, 479]","[-89, -108]"
14:02,"['Lte', 'Lte']","[477, 479]","[-90, -102]"
14:02,"['Lte', 'Lte']","[477, 479]","[-90, -107]"
14:02,"['Lte', 'Lte']","[477, 479]","[-89, -111]"
14:02,['Lte'],[477],[-93]
14:02,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-89, -107, -101]"
14:02,"['Lte', 'Lte', 'Lte']","[477, 474, 473]","[-88, -104, -109]"
14:02,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-89, -110, -114]"
14:02,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-87, -103, -113]"
14:02,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-88, -104, -109]"
14:02,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-87, -97, -110]"
14:02,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-89, -102, -109]"
14:02,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-93, -93, -111]"
14:02,"['Lte', 'Lte']","[477, 473]","[-85, -91]"
14:02,"['Lte', 'Lte']","[477, 473]","[-83, -92]"
14:02,"['Lte', 'Lte']","[477, 473]","[-78, -92]"
14:02,"['Lte', 'Lte']","[477, 473]","[-84, -93]"
14:03,"['Lte', 'Lte']","[477, 473]","[-83, -95]"
14:03,"['Lte', 'Lte']","[477, 473]","[-81, -103]"
14:03,"['Lte', 'Lte']","[477, 473]","[-83, -103]"
