Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
14:12:25:984,1.9621,2.8522,7.5829,26.9574,-0.5206,-0.4689,-0.1991,4.8669
14:12:26:008,1.9621,2.8522,7.5829,34.4732,-0.5071,-0.1842,-0.0158,185.1944
14:12:26:024,1.9621,2.8522,7.5829,34.2841,-0.5071,-0.1842,-0.0158,185.3413
14:12:26:037,1.5721,2.3857,8.3198,34.3448,-0.5071,-0.1842,-0.0158,184.9921
14:12:26:057,1.261,2.3258,8.8487,34.278,-0.4668,-0.288,-0.8099,185.7559
14:12:26:077,1.1773,2.3976,9.0209,34.278,-0.501,-0.2819,-0.8319,186.6422
14:12:26:098,1.0863,2.6034,9.1908,32.9717,-0.4742,-0.2013,-0.7977,187.528
14:12:26:119,0.9978,2.6871,9.198,34.434,-0.4277,-0.1158,-0.7391,188.3413
14:12:26:137,1.1103,2.6393,9.1956,35.6717,-0.3654,-0.1231,-0.6975,189.0939
14:12:26:158,1.2275,2.5699,9.2722,34.2426,-0.2762,-0.1866,-0.6963,189.9078
14:12:26:177,1.2251,2.5101,9.4636,34.5867,-0.1773,-0.2343,-0.7244,190.7488
14:12:26:197,1.0768,2.5962,9.545,34.7314,-0.1064,-0.2453,-0.7427,191.6341
14:12:26:227,0.8255,2.7278,9.5641,34.3513,-0.082,-0.1952,-0.7195,192.3981
14:12:26:238,0.6628,2.8666,9.6574,36.1319,-0.0893,-0.1463,-0.6645,193.183
14:12:26:257,0.7131,2.9503,9.8824,35.4872,-0.0966,-0.1292,-0.6022,193.8549
14:12:26:278,0.7537,2.9958,10.4064,35.3538,-0.0881,-0.161,-0.5546,194.4926
14:12:26:299,0.6748,3.0365,10.9472,35.7678,-0.0539,-0.1622,-0.5375,195.0763
14:12:26:331,0.5767,2.8403,11.4784,34.9948,0.0182,-0.1121,-0.5497,195.6619
14:12:26:337,0.4451,2.4072,11.7105,35.7854,0.1147,-0.084,-0.5912,196.2621
