Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:52:49:891,-0.859,1.4501,10.0594,32.2565,-0.8078,-0.0581,-0.3295,174.6076
19:52:49:900,-0.859,1.4501,10.0594,32.4533,-0.8078,-0.0581,-0.3295,174.907
19:52:49:922,-0.7801,1.5075,9.588,33.3804,-0.8078,-0.0581,-0.3295,175.2196
19:52:49:939,-0.8901,1.7898,9.32,33.2755,0.1109,0.0286,-0.2257,175.2676
19:52:49:959,-0.9547,1.8114,9.0736,32.7263,0.0474,-0.0422,-0.2257,175.3436
19:52:49:981,-0.9739,1.8042,9.2028,32.5619,-0.0369,-0.0691,-0.211,175.4525
19:52:49:998,-1.0193,1.8808,9.2961,33.3804,-0.0418,-0.0093,-0.1854,175.5274
19:52:50:016,-1.0528,1.8066,9.2722,32.7263,-0.0039,0.053,-0.139,175.56
19:52:50:035,-0.9787,1.6845,9.2818,34.349,0.0034,0.0811,-0.0974,175.618
19:52:50:063,-0.8662,1.6487,9.2602,34.2064,-0.0027,0.0799,-0.0742,175.676
19:52:50:074,-0.8327,1.6008,9.344,34.1317,-0.0198,0.075,-0.0547,175.7707
19:52:50:094,-0.9093,1.5721,9.3823,31.3262,-0.0406,0.0518,-0.0473,175.8301
19:52:50:113,-1.0648,1.5721,9.6,31.8612,-0.0687,0.0249,-0.0547,175.8996
19:52:50:132,-1.2562,1.5386,9.7436,33.4815,-0.0772,0.0066,-0.0461,175.8905
19:52:50:166,-1.4094,1.5003,9.7555,31.3451,-0.0528,-0.0093,-0.0241,175.8536
19:52:50:174,-1.4692,1.5434,9.6096,31.7056,-0.0211,-0.0312,-0.0022,175.7874
19:52:50:196,-1.4788,1.5769,9.411,32.9058,-0.0247,-0.063,0.0113,175.6975
19:52:50:215,-1.5147,1.7109,9.2674,32.0292,-0.0589,-0.0777,0.0162,175.5701
19:52:50:236,-1.5816,1.7994,9.3105,31.9808,-0.0943,-0.0716,0.0309,175.4409
19:52:50:271,-1.651,1.8736,9.4493,33.4363,-0.1188,-0.0459,0.0492,175.2767
19:52:50:274,-1.6582,1.9047,9.4205,33.9482,-0.1273,-0.019,0.065,175.0706
19:52:50:296,-1.6367,1.9597,9.3751,32.7263,-0.1322,0.0323,0.076,174.8636
19:52:50:313,-1.7492,2.01,9.5067,32.962,-0.1554,0.1007,0.0822,174.6415
19:52:50:333,-1.8521,2.0052,9.8273,31.9808,-0.1982,0.1618,0.0944,174.3812
19:52:50:354,-1.7731,1.943,10.4088,33.1546,-0.2141,0.2253,0.1249,174.1412
19:52:50:382,-1.5912,1.9789,10.4686,31.2237,-0.1444,0.2326,0.1371,173.889
19:52:50:395,-1.5123,2.1105,9.8273,32.1811,-0.0284,0.1764,0.1127,173.6663
19:52:50:414,-1.4644,2.3497,9.3344,33.8683,0.0278,0.1031,0.0932,173.5228
19:52:50:435,-1.3854,2.4766,9.2794,34.6454,-0.0174,0.0445,0.0956,173.3254
19:52:50:454,-1.3902,2.5125,9.277,30.9168,-0.0687,-0.0154,0.1041,173.1459
19:52:50:474,-1.3783,2.5866,9.2985,33.5093,-0.0528,-0.0276,0.1298,172.976
19:52:50:495,-1.3472,2.5651,9.0162,33.3055,0.0229,-0.0068,0.1713,172.6905
19:52:50:513,-1.3232,2.5244,8.9372,34.2063,0.0828,0.0481,0.2007,172.4207
19:52:50:536,-1.4165,2.668,8.9204,33.8009,0.0926,0.0604,0.2104,172.1383
19:52:50:565,-1.3041,2.7111,9.1765,33.8683,-0.0162,-0.0606,0.2495,171.5476
19:52:50:576,-1.0816,2.7063,9.3918,31.866,-0.0357,-0.0826,0.2703,171.2425
19:52:50:597,-0.9619,2.7182,9.3679,32.6605,-0.0186,-0.1094,0.2642,170.9738
19:52:50:614,-0.8734,2.7589,9.399,32.3823,-0.0211,-0.1669,0.2373,170.7246
19:52:50:636,-0.7442,2.7948,9.5163,33.185,-0.0235,-0.2047,0.2178,170.5379
19:52:50:667,-0.67,2.7494,9.5019,30.8361,0.0009,-0.2304,0.2055,170.3366
19:52:50:675,-0.4857,2.7182,9.5904,33.1851,0.0107,-0.2487,0.1933,170.1697
19:52:50:693,-0.1412,2.6465,9.8321,32.8701,-0.0076,-0.2512,0.1726,170.059
19:52:50:713,-0.1531,2.522,10.0116,32.8701,-0.0394,-0.2793,0.1115,170.0433
19:52:50:736,-0.1292,2.065,10.1073,31.378,-0.0601,-0.3147,0.0443,170.1177
19:52:50:754,0.7849,0.859,11.129,31.0583,-0.065,-0.3465,-0.0498,170.3923
19:52:50:774,1.7683,0.3183,11.7607,30.962,-0.0736,-0.5444,-0.3601,171.0878
19:52:50:793,1.9549,0.6508,12.5791,32.3263,-0.0565,-0.746,-0.872,172.3763
19:52:50:814,1.4812,0.9811,12.4666,34.5909,-0.0137,-1.0441,-1.2568,174.0565
19:52:50:836,2.3378,1.6487,11.2487,32.8714,0.0364,-1.1516,-1.3729,175.9078
19:52:50:853,0.0718,1.7563,12.4475,31.9808,0.2245,-0.4454,-1.5134,177.6148
19:52:50:874,-1.5625,1.9214,13.34,33.9485,0.6362,0.4978,-1.291,178.8204
19:52:50:893,-1.6845,1.6869,12.8279,32.8623,1.186,1.0744,-0.7706,179.2717
19:52:50:914,-0.7131,1.9214,11.5143,32.8624,1.6771,1.2699,-0.3051,179.2574
19:52:50:937,-0.0383,2.2875,9.6766,33.0702,2.0107,1.2222,-0.0596,178.9815
19:52:50:955,0.1938,2.6082,7.5637,30.9471,2.1646,1.1379,-0.0095,178.6178
19:52:50:976,-0.1579,3.1609,6.1328,32.6186,2.1292,1.2674,-0.0278,178.1417
19:52:50:993,-1.1797,3.7926,5.8863,31.1933,1.9642,1.6828,-0.0461,177.3517
19:52:51:014,-2.4861,3.2662,6.9368,30.5127,1.5037,2.3975,0.2385,176.1989
19:52:51:040,-2.0985,2.3043,7.3292,31.9279,1.1933,2.2644,0.4157,173.0507
19:52:51:060,-2.5771,2.0459,8.2911,31.8148,0.883,1.8624,0.3351,171.6562
19:52:51:076,-5.8098,4.8048,9.3224,31.9104,0.7254,1.2222,0.1579,170.558
19:52:51:091,-4.532,5.6279,7.5661,30.8368,0.486,0.3084,0.197,169.9453
19:52:51:112,-3.3715,6.5444,5.3456,31.6938,0.2856,-0.0007,0.3778,169.3354
19:52:51:132,-1.742,4.4267,5.4748,31.7896,-0.1933,-0.4955,0.5342,169.0033
19:52:51:154,-0.3541,3.6371,4.8239,32.2792,-0.5415,-0.7936,0.682,168.7665
19:52:51:173,-0.055,4.6158,4.6923,32.1529,-0.7015,-0.5065,0.5305,168.4943
19:52:51:194,0.0646,3.3739,6.6042,33.0656,-1.2525,-0.5138,0.1115,168.6763
19:52:51:213,1.5553,2.5531,7.121,32.8743,-1.9526,-1.5193,-0.1683,169.744
19:52:51:237,0.0885,3.4193,8.3773,32.4363,-2.2262,-1.9115,-0.3332,171.0059
19:52:51:254,-0.9404,3.74,12.2991,34.5179,-2.1261,-1.4717,-0.5189,172.1942
19:52:51:273,-1.5027,4.0415,11.5143,34.0833,-1.4443,-1.1736,-0.4786,173.0743
19:52:51:293,-1.9143,4.4411,10.7486,33.5323,-0.5916,-0.8803,-0.3711,173.6628
19:52:51:312,-2.1535,4.9316,9.8082,35.4943,0.3357,-0.0764,-0.2538,173.8041
19:52:51:333,-2.077,5.2068,8.7242,34.0062,1.0247,0.7201,-0.073,173.4191
19:52:51:354,-1.4572,4.587,8.1571,33.3594,1.2141,1.2027,0.2007,172.5583
19:52:51:376,1.7492,2.1248,9.8417,34.0062,0.8513,1.1575,0.3522,171.7589
19:52:51:393,-1.5434,2.5914,9.4277,33.6923,0.0901,0.4122,-0.0437,171.5276
19:52:51:415,-3.3284,4.5129,11.9952,34.8257,-0.6856,-0.14,-0.4126,171.8806
19:52:51:438,-3.74,6.317,12.0622,34.7166,-0.8286,-0.6751,0.1604,171.2886
19:52:51:453,-2.7852,4.4985,13.1438,35.3668,-0.3069,-0.9035,0.7468,170.9412
19:52:51:472,-3.1107,2.1751,10.7486,37.0067,0.6851,-1.0013,0.5721,170.7488
19:52:51:491,-0.8447,2.1559,8.3797,36.2232,0.6411,-0.4173,0.7419,170.0709
19:52:51:512,-1.0528,2.6871,7.7886,33.2095,0.2746,0.3279,0.5501,169.2363
19:52:51:535,-2.2493,2.6584,7.5996,35.6211,-0.0601,0.9412,0.3143,168.3677
19:52:51:557,-2.6417,3.2949,8.0686,37.2704,-0.1774,0.8447,0.2373,167.5507
