Time,Cell_Type,Cell_ID,Cell_RSSI
19:55,"['Lte', 'Lte', 'Lte']","[477, 124, 118]","[-87, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte']","[477, 124, 118]","[-89, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte']","[477, 124, 118]","[-88, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte']","[477, 124, 118]","[-91, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte']","[477, 124, 118]","[-91, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 474, 124, 118]","[-89, -123, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 474, 124, 118]","[-84, -107, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 474, 124, 118]","[-94, -105, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 474, 124, 118]","[-94, -120, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 474, 124, 118]","[-97, -107, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 474, 124, 118]","[-95, -106, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 474, 124, 118]","[-91, -104, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 474, 124, 118]","[-89, -110, -136, -137]"
19:55,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 474, 124, 118]","[-87, -107, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 474, 124, 118]","[-89, -103, -111, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 474, 124, 118]","[-89, -100, -111, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 474, 124, 118]","[-91, -106, -112, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 474, 124, 118]","[-89, -100, -114, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-84, -91, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-86, -102, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-83, -99, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-84, -87, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-87, -91, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-78, -92, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-76, -92, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-77, -92, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-83, -91, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-84, -104, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-90, -105, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-89, -104, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-90, -104, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-88, -105, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-81, -103, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-79, -103, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-84, -103, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-86, -107, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-87, -107, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-90, -101, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-85, -99, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-92, -102, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-87, -101, -136, -137]"
19:56,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-90, -106, -136, -137]"
19:57,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-94, -99, -136, -137]"
19:57,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-92, -94, -136, -137]"
19:57,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-94, -95, -136, -137]"
19:57,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-93, -101, -136, -137]"
19:57,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-90, -112, -136, -137]"
19:57,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 124, 118]","[-97, -88, -136, -137]"
19:57,"['Lte', 'Lte']","[477, 473]","[-96, -90]"
19:57,"['Lte', 'Lte']","[477, 473]","[-96, -91]"
19:57,"['Lte', 'Lte']","[473, 477]","[-85, -97]"
19:57,"['Lte', 'Lte']","[473, 477]","[-85, -102]"
19:57,"['Lte', 'Lte']","[473, 477]","[-81, -100]"
19:57,"['Lte', 'Lte']","[473, 477]","[-89, -104]"
19:57,"['Lte', 'Lte']","[473, 477]","[-95, -93]"
19:57,"['Lte', 'Lte']","[473, 477]","[-99, -109]"
19:57,"['Lte', 'Lte']","[473, 477]","[-94, -97]"
19:57,"['Lte', 'Lte']","[473, 477]","[-99, -104]"
19:57,"['Lte', 'Lte']","[473, 477]","[-103, -97]"
19:57,"['Lte', 'Lte']","[473, 477]","[-103, -91]"
19:57,"['Lte', 'Lte']","[477, 473]","[-91, -105]"
19:57,"['Lte', 'Lte']","[477, 473]","[-90, -106]"
19:57,"['Lte', 'Lte']","[477, 473]","[-93, -104]"
19:57,"['Lte', 'Lte']","[477, 473]","[-89, -103]"
19:57,"['Lte', 'Lte']","[477, 473]","[-95, -102]"
19:57,"['Lte', 'Lte']","[477, 473]","[-101, -115]"
19:57,"['Lte', 'Lte']","[477, 473]","[-103, -111]"
19:57,"['Lte', 'Lte']","[477, 473]","[-101, -107]"
19:57,"['Lte', 'Lte']","[477, 473]","[-94, -102]"
19:57,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 474, 480]","[-98, -103, -99, -109]"
19:57,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 474, 480]","[-100, -106, -104, -112]"
19:58,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 474, 480]","[-99, -96, -98, -107]"
19:58,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 474, 480]","[-104, -104, -95, -105]"
19:58,"['Lte', 'Lte', 'Lte']","[474, 477, 473]","[-98, -101, -100]"
19:58,"['Lte', 'Lte', 'Lte']","[474, 477, 473]","[-98, -107, -91]"
19:58,"['Lte', 'Lte', 'Lte']","[474, 473, 477]","[-101, -94, -112]"
19:58,"['Lte', 'Lte']","[473, 474]","[-94, -92]"
19:58,"['Lte', 'Lte']","[473, 474]","[-95, -96]"
19:58,"['Lte', 'Lte']","[473, 474]","[-96, -89]"
19:58,"['Lte', 'Lte']","[473, 474]","[-93, -94]"
19:58,"['Lte', 'Lte']","[473, 474]","[-92, -94]"
19:58,"['Lte', 'Lte']","[473, 474]","[-94, -93]"
19:58,"['Lte', 'Lte']","[473, 474]","[-95, -96]"
19:58,"['Lte', 'Lte']","[473, 474]","[-87, -94]"
19:58,"['Lte', 'Lte']","[473, 474]","[-84, -94]"
19:58,"['Lte', 'Lte']","[473, 474]","[-83, -100]"
19:58,"['Lte', 'Lte']","[473, 474]","[-82, -102]"
19:58,"['Lte', 'Lte']","[473, 474]","[-87, -102]"
19:58,"['Lte', 'Lte']","[473, 474]","[-78, -92]"
19:58,"['Lte', 'Lte']","[473, 474]","[-75, -95]"
19:58,"['Lte', 'Lte']","[473, 474]","[-76, -97]"
19:58,"['Lte', 'Lte']","[473, 474]","[-77, -102]"
19:58,"['Lte', 'Lte']","[473, 474]","[-80, -99]"
19:58,"['Lte', 'Lte']","[473, 474]","[-81, -94]"
19:58,"['Lte', 'Lte']","[473, 474]","[-73, -92]"
