Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:55:31:948,-1.4309,2.6656,9.052,24.0401,-0.1398,-0.4722,-0.5164,190.2711
19:55:31:964,-1.4309,2.6656,9.052,24.6837,-0.1398,-0.4722,-0.5164,190.9183
19:55:31:984,-1.876,2.9288,9.344,25.2412,-0.1398,-0.4722,-0.5164,191.3775
19:55:32:004,-1.6319,2.8403,9.0808,23.9991,0.1436,0.2791,0.395,190.8302
19:55:32:031,-1.5936,2.7326,9.009,25.1186,0.1607,0.2352,0.285,190.3596
19:55:32:044,-1.9813,2.1344,8.7218,24.3081,0.1143,0.1118,0.1958,190.0302
19:55:32:064,-2.6632,2.9145,9.0784,24.1671,0.0166,0.0446,0.1873,189.5927
19:55:32:083,-2.3234,3.216,9.0903,25.7197,-0.0213,0.0299,0.3755,188.9878
19:55:32:104,-1.8401,3.4002,8.9157,24.4125,0.0239,0.0434,0.5355,188.1981
19:55:32:133,-1.6845,3.4959,8.6644,24.2688,0.0777,0.0922,0.4842,187.4324
19:55:32:144,-1.6941,3.4505,8.6979,25.1186,0.0471,0.0885,0.2899,186.9769
19:55:32:163,-1.6582,3.2997,8.9204,24.7681,-0.0543,0.0238,0.1103,186.7958
19:55:32:183,-1.8544,3.2112,9.1765,24.2688,-0.1374,-0.0556,0.015,186.6928
19:55:32:203,-2.388,3.2327,9.1334,23.7926,-0.1655,-0.0165,0.0016,186.5883
19:55:32:237,-2.6345,3.4481,8.9324,25.2279,-0.1569,0.135,0.0835,186.2527
19:55:32:245,-2.3186,3.5844,8.7171,25.7271,-0.1019,0.1741,0.2655,185.697
19:55:32:282,-1.9262,3.6371,8.5161,24.6492,-0.0299,0.1142,0.4255,185.039
19:55:32:286,-1.8449,3.7472,8.3462,25.4291,-0.0054,0.0812,0.4549,184.4088
19:55:32:306,-1.9382,3.6419,8.406,24.2477,-0.0604,0.0776,0.3522,183.9261
19:55:32:334,-2.0148,3.5749,8.5352,24.2417,-0.141,0.0263,0.2728,183.5509
19:55:32:344,-1.8903,3.5438,8.796,25.3254,-0.1874,-0.0421,0.3095,183.1634
19:55:32:371,-1.8066,3.5151,9.2171,26.0849,-0.1887,-0.1008,0.3681,182.722
19:55:32:385,-1.5386,3.3619,9.5067,26.4264,-0.1459,-0.1093,0.3901,182.3111
19:55:32:407,-1.2347,3.3212,9.5737,26.742,-0.1068,-0.036,0.3535,181.707
19:55:32:432,-1.0122,3.4074,9.4038,24.6557,-0.0409,-0.0189,0.3156,181.3543
