Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:58:08:286,1.2203,3.0461,9.2124,48.0415,0.1353,0.006,0.2469,340.2874
16:58:08:314,-0.1603,3.2566,8.9348,46.7284,0.4591,0.0036,-0.0011,181.3223
16:58:08:331,-0.1603,3.2566,8.9348,46.692,0.4591,0.0036,-0.0011,181.3082
16:58:08:350,-0.2034,3.2877,9.3607,48.0068,0.4591,0.0036,-0.0011,181.2812
16:58:08:380,-0.1101,3.393,9.1765,46.6433,-0.12,0.0097,0.1039,181.2258
16:58:08:396,0.0383,3.4098,9.0856,46.6886,-0.1212,-0.0111,0.121,181.1986
16:58:08:407,0.0838,3.3141,9.2291,46.019,-0.1762,-0.0551,0.1174,181.1618
16:58:08:426,0.0885,3.2088,9.6359,47.3643,-0.2471,-0.0453,0.1125,181.117
16:58:08:445,0.0694,3.1561,9.8536,47.313,-0.2715,0.0097,0.1235,181.0216
16:58:08:464,0.0048,3.1346,9.7675,47.4035,-0.2092,0.0939,0.1503,180.8491
16:58:08:488,-0.0072,3.1896,9.4516,48.19,-0.0968,0.1575,0.1797,180.6125
16:58:08:503,0.055,3.1824,9.0832,47.3681,-0.0088,0.122,0.1943,180.3909
16:58:08:532,0.0574,3.1944,8.8822,48.0412,0.0278,0.0414,0.1931,180.1985
16:58:08:543,0.0263,3.2064,8.7075,46.7496,0.029,-0.005,0.187,179.9816
16:58:08:562,-0.0646,3.1346,8.808,48.8147,-0.0137,0.0231,0.1821,179.7729
16:58:08:581,-0.1531,3.0844,9.0018,47.5153,-0.0662,0.0817,0.198,179.5172
16:58:08:601,-0.1699,3.0676,9.2554,47.3548,-0.0968,0.1428,0.2322,179.2376
16:58:08:634,0,2.9575,9.3512,48.0606,-0.1041,0.1856,0.2786,178.9532
16:58:08:640,0.2632,2.8235,9.6359,46.0888,-0.1261,0.1624,0.3202,178.7007
16:58:08:672,0.4834,2.7757,9.7675,47.3982,-0.1518,0.1526,0.3519,178.3567
16:58:08:679,0.3829,2.9527,9.7484,45.5326,-0.1237,0.2601,0.3715,177.9456
16:58:08:702,0.2201,3.1226,9.5904,46.0761,-0.0614,0.3982,0.3825,177.4379
16:58:08:735,0.1938,3.2614,9.2411,47.7829,0.0046,0.4348,0.3935,176.9238
16:58:08:741,0.0838,3.2782,8.8534,47.712,0.0449,0.4116,0.3739,176.3949
16:58:08:761,-0.0766,3.3476,8.5352,47.5165,0.0351,0.3847,0.3226,175.9191
16:58:08:782,-0.1268,3.283,8.6237,47.0566,-0.0589,0.3139,0.2774,175.5522
16:58:08:823,-0.079,3.0126,9.3033,47.1115,-0.2348,0.2063,0.2371,175.2563
16:58:08:824,-0.0598,2.7111,9.99,47.5978,-0.3766,0.1416,0.2029,174.999
16:58:08:849,-0.1196,2.5101,10.6624,45.833,-0.3998,0.1391,0.1919,174.7917
16:58:08:861,-0.2608,2.3354,10.6457,46.3138,-0.28,0.1575,0.2078,174.5204
16:58:08:890,-0.3972,2.3665,9.9852,47.785,-0.054,0.2198,0.2444,174.2144
16:58:08:909,-0.469,2.3952,9.2889,46.368,0.1353,0.2821,0.286,173.8127
16:58:08:932,-0.5599,2.4694,8.6668,46.5834,0.2086,0.2687,0.3104,173.4017
16:58:08:942,-0.67,2.613,8.5208,47.785,0.1842,0.2418,0.3116,172.9634
16:58:08:965,-0.7131,2.6249,8.5448,47.3238,0.1255,0.2271,0.2884,172.5701
16:58:08:980,-0.6221,2.5962,8.7577,46.6562,0.0437,0.1599,0.2469,172.2437
16:58:09:003,-0.4905,2.5077,9.1765,46.0029,-0.0724,0.0744,0.1955,172.0145
16:58:09:025,-0.3637,2.1368,10.2341,47.4114,-0.2556,0.0463,0.0648,171.8085
16:58:09:045,-0.4355,2.0602,10.7366,47.4054,-0.2581,0.0439,0.0221,171.7882
16:58:09:063,-0.8016,2.1009,10.7366,46.6719,-0.1603,0.072,0.0037,171.7662
16:58:09:081,-1.1749,2.3043,10.0235,48.1617,0.0266,0.1379,0.0428,171.6487
16:58:09:123,-1.0289,2.5508,9.2387,45.3338,0.1879,0.1465,0.1516,171.4158
16:58:09:124,-0.6485,2.7996,8.6859,46.1607,0.244,0.0866,0.264,171.0957
16:58:09:143,-0.3326,3.0652,8.4084,45.3338,0.2343,0.0341,0.3275,170.7369
16:58:09:160,-0.0814,3.2997,8.3844,47.5887,0.1891,-0.0123,0.3421,170.3918
16:58:09:181,0.1675,3.4098,8.5137,46.8744,0.128,-0.0856,0.3263,170.0939
16:58:09:207,0.4355,3.5246,8.6405,46.2584,0.0767,-0.1504,0.2835,169.8693
16:58:09:238,0.4355,3.6443,8.6764,46.9883,0.029,-0.1834,0.2102,169.7386
16:58:09:243,0.3876,3.649,8.8104,46.281,-0.0382,-0.2041,0.1247,169.6898
16:58:09:260,0.4475,3.5988,9.1238,47.1428,-0.1176,-0.2237,0.0538,169.7324
16:58:09:280,0.3876,3.4959,9.3918,47.5403,-0.1591,-0.2115,-0.0146,169.8325
16:58:09:300,0.2273,3.539,9.399,49.1122,-0.1347,-0.1431,-0.0695,169.9698
16:58:09:324,0.122,3.5964,9.0712,46.4687,-0.0675,-0.093,-0.1001,170.1155
16:58:09:342,0.0814,3.6299,8.6357,47.0292,-0.0113,-0.1076,-0.1319,170.3178
16:58:09:360,-0.0694,3.6108,8.4132,47.8465,-0.0052,-0.132,-0.171,170.5333
16:58:09:382,-0.2823,3.6371,8.4562,48.3597,-0.0406,-0.1455,-0.1966,170.7541
16:58:09:403,-0.2776,3.6778,8.6979,47.7836,-0.0846,-0.1736,-0.1929,170.9954
16:58:09:422,-0.1292,3.661,9.0186,47.6928,-0.1053,-0.2017,-0.1746,171.2304
16:58:09:441,-0.0072,3.7184,9.1119,47.1675,-0.0858,-0.2041,-0.1661,171.4606
16:58:09:461,0.1388,3.7256,9.1167,47.7836,-0.0602,-0.2078,-0.171,171.6735
16:58:09:484,0.2704,3.6921,9.3296,48.681,-0.0772,-0.2567,-0.2259,172.2705
16:58:09:504,0.2106,3.6993,9.5569,46.4794,-0.0834,-0.2371,-0.2455,172.5673
16:58:09:523,0.0742,3.7304,9.6479,47.0292,-0.037,-0.1944,-0.2528,172.856
16:58:09:543,-0.0861,3.7807,9.4062,48.5603,0.0681,-0.1785,-0.2553,173.145
16:58:09:560,-0.3039,3.8788,9.0688,48.471,0.1781,-0.2102,-0.2455,173.4123
16:58:09:588,-0.4355,3.996,8.7625,49.0553,0.2355,-0.2701,-0.2198,173.6656
16:58:09:607,-0.4092,4.142,8.9324,48.7763,0.2001,-0.3507,-0.1807,173.9055
16:58:09:623,0.0455,3.8142,9.3966,49.788,0.0547,-0.4937,-0.1404,174.1783
16:58:09:640,0.5958,3.3404,10.0905,49.4276,-0.164,-0.6403,-0.1111,174.4551
16:58:09:659,0.9643,2.9145,11.3755,48.2285,-0.4303,-0.6354,-0.0744,174.735
16:58:09:680,1.3472,2.4383,12.7178,49.5309,-0.6075,-0.4766,-0.0268,174.9029
16:58:09:700,1.7587,2.1248,13.6223,49.2677,-0.5855,-0.3471,0.0062,174.984
16:58:09:722,2.1057,1.7539,14.199,48.1184,-0.3998,-0.3397,0.0062,175.0635
16:58:09:741,2.388,1.4453,14.0865,49.5309,-0.0675,-0.4277,-0.0305,175.2217
16:58:09:761,2.4526,1.4477,12.8016,49.2677,0.3943,-0.5181,-0.0928,175.4618
16:58:09:789,2.5938,1.6104,10.873,50.4627,0.7889,-0.5621,-0.1783,175.8187
16:58:09:807,2.7398,1.7204,9.2578,48.2467,0.9038,-0.5401,-0.2809,176.2926
16:58:09:825,2.4933,1.8664,8.3821,48.6397,0.7841,-0.3996,-0.4092,176.86
16:58:09:842,1.9358,1.9454,8.1212,49.9175,0.58,-0.2334,-0.5497,177.4984
16:58:09:862,1.1916,1.9765,7.949,51.0529,0.4249,-0.1565,-0.6743,178.2202
16:58:09:884,0.5384,2.0698,7.6403,51.2447,0.3381,-0.1968,-0.7537,179.0238
16:58:09:903,0.1484,2.2253,7.0421,50.3203,0.2685,-0.253,-0.7549,179.8292
16:58:09:923,-0.4164,2.6369,7.2455,49.6121,-0.0589,-0.1907,-0.6303,180.571
16:58:09:942,-0.5599,2.7613,7.6905,51.6749,-0.2104,-0.1675,-0.5326,181.7745
16:58:09:961,-0.201,2.8666,7.8365,50.7796,-0.2752,-0.176,-0.4031,182.1749
16:58:09:984,0.3015,3.0054,8.3557,50.7796,-0.2727,-0.1308,-0.2736,182.4319
16:58:10:002,0.859,3.015,8.4634,51.6223,-0.219,-0.027,-0.1929,182.5797
16:58:10:022,1.0074,3.1872,8.4754,52.9495,-0.1127,0.1306,-0.1905,182.6945
16:58:10:041,0.8734,3.3045,8.1763,50.8319,-0.0345,0.2051,-0.2418,182.8056
16:58:10:060,0.603,3.4098,7.8197,52.8856,0.0058,0.2027,-0.2956,182.9882
16:58:10:084,0.4714,3.5127,7.4871,50.5376,-0.0321,0.1526,-0.32,183.1904
16:58:10:104,0.4738,3.6395,7.4632,50.7563,-0.0968,0.1905,-0.2834,183.3445
16:58:10:122,0.8255,3.7759,7.7049,51.6896,-0.153,0.2735,-0.2149,183.4283
16:58:10:141,1.0098,3.9075,7.8867,51.9809,-0.1664,0.3163,-0.1905,183.4517
16:58:10:161,1.1557,3.996,8.2481,53.1971,-0.1518,0.2931,-0.2174,183.5232
16:58:10:185,1.1222,3.9386,8.6022,53.62,-0.1139,0.2308,-0.2614,183.6594
16:58:10:202,1.0337,3.9027,9.0257,51.6776,-0.0565,0.1098,-0.3127,183.9046
16:58:10:222,1.0409,3.9099,9.387,54.5269,0.0376,-0.0282,-0.3322,184.2068
16:58:10:241,0.9643,3.9577,9.8848,52.6959,0.1549,-0.1076,-0.3493,184.4703
16:58:10:349,0.7083,3.8716,10.861,53.2788,0.2795,-0.1992,-0.3725,184.8223
16:58:10:360,0.4977,3.7352,11.0883,55.1803,0.4078,-0.4033,-0.3786,185.293
16:58:10:360,0.2608,4.0606,10.4901,53.2155,0.4969,-0.5255,-0.3444,185.7705
16:58:10:361,0.28,4.0822,10.3083,55.0563,0.453,-0.2835,-0.254,186.0628
16:58:10:362,0.1747,3.8644,10.9663,54.243,0.2062,-0.0355,-0.1819,186.1839
16:58:10:362,-0.1723,3.6945,11.9689,54.34,-0.1004,-0.1052,-0.1587,186.3062
16:58:10:380,-0.4786,3.2877,11.8636,54.243,-0.1725,-0.1968,-0.149,186.4462
16:58:10:401,-0.7059,3.2806,9.612,54.9623,-0.0113,0.0597,-0.1685,186.5629
16:58:10:420,-0.3422,2.9264,9.8513,54.243,-0.2959,0.1379,-0.1196,186.6538
16:58:10:440,-0.2632,2.3857,10.2317,55.6357,-0.5928,0.1453,-0.0806,186.5964
16:58:10:459,-0.5695,2.0243,10.1695,55.0124,-0.6563,0.2222,-0.0854,186.5105
16:58:10:480,-0.8877,1.9382,9.521,55.1885,-0.5855,0.2992,-0.0695,186.393
16:58:10:504,-0.6245,1.9932,8.9683,55.8402,-0.5073,0.342,0.0208,186.1636
16:58:10:525,0.0144,1.9478,8.2911,54.7324,-0.4816,0.3188,0.1296,185.8433
16:58:10:541,0.4977,1.8497,8.3988,56.7424,-0.5,0.2234,0.1809,185.5177
16:58:10:562,0.6508,1.9262,8.7075,55.0246,-0.5488,-0.0135,0.1674,185.286
16:58:10:581,1.139,2.01,8.6979,57.8322,-0.478,-0.2115,0.1858,185.0917
16:58:10:604,1.4501,2.1224,8.1811,55.6215,-0.2287,-0.0832,0.2114,184.8639
16:58:10:622,1.4477,2.3809,7.59,56.6927,0.0522,0.2198,0.1711,184.5746
16:58:10:640,1.3567,2.5651,6.6353,54.3926,0.2318,0.3969,0.0783,184.3487
16:58:10:661,1.0648,2.6943,6.5491,56.9351,0.2551,0.331,-0.0671,184.2758
16:58:10:681,0.7489,2.7015,6.6712,55.5569,0.1658,-0.0001,-0.2174,184.4458
16:58:10:702,0.6245,2.6728,6.5444,56.2583,0.0962,-0.3165,-0.2956,184.8047
16:58:10:721,0.4905,2.7613,7.0158,58.201,0.04,-0.3752,-0.3029,185.1664
16:58:10:741,0.1603,2.8235,7.9298,55.5267,0.0083,-0.3849,-0.2992,185.5271
16:58:10:765,-0.3757,2.9839,8.0614,57.2481,0.1475,-0.4925,-0.3347,185.9479
16:58:10:783,-0.7705,3.3212,7.2239,57.3735,0.4249,-0.5914,-0.3652,186.4254
16:58:10:803,-0.4475,3.5222,7.1952,58.5958,0.4737,-0.6427,-0.3163,186.879
16:58:10:819,-0.0933,3.2423,8.1284,56.1296,0.062,-0.8431,-0.2271,187.3228
16:58:10:840,0.055,2.7135,10.5428,56.0441,-0.423,-0.8333,-0.0732,187.5868
16:58:10:866,1.4812,2.2732,13.6056,56.9351,-0.4377,-0.2884,0.3312,187.234
16:58:10:882,3.1824,1.6128,14.1081,57.602,-0.4731,-0.4424,0.3922,186.8864
16:58:10:902,4.1755,1.017,15.5725,58.9398,-0.6331,-0.5584,0.2908,186.6807
16:58:10:921,4.118,0.256,17.0417,57.0575,-0.7345,-0.5169,0.0795,186.6646
16:58:10:940,3.7807,0.0455,16.6612,57.013,-0.4902,-0.2664,-0.028,186.6925
16:58:10:963,3.9218,0.323,15.3045,58.0445,0.0608,0.1624,0.0526,186.521
16:58:10:983,4.2305,0.9954,13.1055,57.129,0.5861,0.2723,0.1308,186.2484
16:58:11:000,4.5511,1.7946,10.5428,57.7952,0.9233,0.133,0.0807,186.08
16:58:11:019,4.4602,2.4287,8.54,59.1076,0.9539,0.0219,-0.1196,186.1686
16:58:11:040,3.7352,2.5842,7.334,57.4547,0.712,0.0268,-0.4092,186.5621
16:58:11:062,2.5436,2.4526,6.6855,57.5213,0.4212,0.1868,-0.6755,187.1744
16:58:11:080,1.2969,2.4526,6.0491,59.2664,0.277,0.4153,-0.8221,187.8391
16:58:11:102,0.3948,2.6584,5.1948,57.9814,0.266,0.4959,-0.8356,188.4763
16:58:11:120,-0.2991,2.9599,4.9699,60.5653,0.2502,0.2821,-0.7623,189.0957
16:58:11:141,-0.8853,3.2064,5.3886,59.1468,0.139,-0.4216,-0.6474,189.8131
16:58:11:163,-0.4738,3.2495,5.2762,59.2604,-0.0198,-1.559,-0.4947,190.7919
16:58:11:181,0.3661,3.5438,5.3647,61.1662,-0.1298,-2.2811,-0.3469,191.8933
16:58:11:202,1.5721,3.5677,6.0132,58.5306,-0.2544,-2.1907,-0.2271,192.8598
16:58:11:221,2.1057,3.5342,7.1067,61.2831,-0.3705,-1.4979,-0.2161,193.5625
16:58:11:244,2.0722,3.472,8.6764,61.5529,-0.2935,-0.5316,-0.2772,193.9669
16:58:11:260,1.6439,3.4768,9.1382,62.8735,-0.0015,0.1367,-0.364,194.2262
16:58:11:280,0.9834,3.5581,8.5208,62.8867,0.3442,0.3481,-0.4788,194.534
16:58:11:301,0.5097,3.6036,7.8796,62.3156,0.4969,0.3493,-0.5228,194.8673
16:58:11:324,0.3446,3.8883,8.8774,60.2321,0.0938,0.59,-0.2406,195.0657
16:58:11:346,0.792,3.7759,10.6624,62.3897,-0.2043,0.9003,-0.0793,194.6942
16:58:11:364,1.3376,3.9194,12.0981,61.6425,-0.4132,1.0054,0.0367,194.1633
16:58:11:384,1.8018,3.6203,13.2969,61.8059,-0.5061,0.9821,0.0172,193.6817
16:58:11:399,1.5051,2.8044,14.1703,61.2631,-0.5159,0.8893,-0.1416,193.3954
16:58:11:419,-0.0718,2.479,13.809,63.3543,-0.3827,0.8294,-0.3273,193.3172
16:58:11:440,-1.8568,2.7278,12.1436,62.7947,-0.037,1.185,-0.3444,193.1231
16:58:11:461,-2.6225,3.1705,10.2772,64.4132,0.2392,1.56,-0.1514,192.6095
16:58:11:481,-2.1224,3.137,9.5091,63.9166,0.1585,1.4134,0.0844,191.9034
16:58:11:500,-1.1246,2.4742,9.4756,63.9911,-0.263,0.7708,0.2127,191.2915
16:58:11:519,-0.4475,1.5697,10.605,62.8231,-0.7834,0.3297,0.2652,190.7886
16:58:11:540,-0.0742,0.7777,12.3637,62.9216,-1.0558,0.4018,0.3483,190.1907
16:58:11:561,0.0861,0.5551,12.8638,63.2151,-0.8701,0.6437,0.4546,189.4269
16:58:11:579,0.3924,0.7011,11.5286,63.7678,-0.28,0.8233,0.5511,188.5199
16:58:11:600,0.6532,1.0887,9.0856,64.6486,0.3027,0.7781,0.5853,187.5905
16:58:11:622,0.9906,1.5123,7.2742,63.7971,0.5556,0.5716,0.5853,186.7227
16:58:11:647,1.1677,1.8688,6.9153,65.4805,0.4603,0.3273,0.5547,185.9548
16:58:11:662,1.3017,1.986,7.0851,64.5615,0.2807,0.1025,0.5132,185.2921
16:58:11:681,1.3495,2.0483,7.4178,63.4983,0.2318,-0.0209,0.4546,184.7475
16:58:11:700,1.2993,2.144,7.3699,64.616,0.3161,-0.1113,0.358,184.3479
16:58:11:719,1.2156,2.2277,6.8124,63.7875,0.4566,-0.2469,0.242,184.097
16:58:11:742,0.9715,2.4909,6.2094,64.9763,0.5336,-0.3874,0.1149,184.0235
16:58:11:758,0.7992,2.668,5.9677,64.4816,0.4811,-0.4473,0.0184,184.0782
16:58:11:779,0.347,2.9791,6.7071,63.5749,0.1768,-0.33,-0.0598,184.1742
16:58:11:798,0.4857,2.9839,7.1952,64.4462,0.0925,-0.3177,-0.0744,184.4685
16:58:11:818,0.603,3.1035,7.736,64.4462,0.062,-0.4424,-0.1441,184.6969
16:58:11:838,0.4498,3.1753,8.3773,64.4462,0.007,-0.6061,-0.2638,185.1059
16:58:11:859,-0.1866,3.3165,9.1669,64.4462,-0.0797,-0.6268,-0.364,185.6139
16:58:11:878,-0.9188,3.5103,9.545,64.4462,-0.1603,-0.4179,-0.3786,186.0496
16:58:11:898,-0.9643,3.4552,10.0977,64.4462,-0.3069,-0.0465,-0.2907,186.2568
16:58:11:918,0.0694,2.3904,11.3851,64.4462,-0.6038,0.3175,-0.2039,186.258
16:58:11:938,0.6102,1.1198,14.4574,64.4462,-0.9838,0.3823,-0.2931,186.3395
