Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:48:52:958,-0.8853,1.7779,9.4875,65.5938,-0.4218,-0.6494,-0.2379,240.1742
19:48:52:975,-0.8853,1.7779,9.4875,66.8287,-0.5965,-0.7069,-0.4297,68.9349
19:48:52:989,-0.8853,1.7779,9.4875,65.8714,-0.5965,-0.7069,-0.4297,69.2705
19:48:53:007,-0.3541,1.8999,9.8154,66.37,-0.5965,-0.7069,-0.4297,69.0875
19:48:53:026,-0.5049,1.8473,10.1121,67.2129,-0.2385,0.053,0.0431,68.7678
19:48:53:045,-0.5432,1.809,10.1264,63.8722,-0.1823,0.0262,0.0406,68.5692
19:48:53:067,-0.4929,1.8784,10.0403,65.5813,-0.0613,0.0811,0.076,68.2502
19:48:53:084,-0.5264,1.9454,9.9541,66.009,0.0266,0.1251,0.1054,67.9178
19:48:53:105,-0.3972,1.7683,9.8273,65.5079,0.0791,0.0787,0.0956,67.7327
19:48:53:124,-0.5551,1.718,9.7005,65.5813,0.1341,0.0591,0.0516,67.6961
19:48:53:142,-0.8327,1.7539,9.4158,66.37,0.1488,0.0677,0.0162,67.698
19:48:53:164,-1.072,1.8161,9.4971,65.8758,0.0889,0.0787,0.0186,67.744
19:48:53:185,-1.1821,1.8329,9.7962,65.4179,-0.0186,0.0848,0.0394,67.7669
19:48:53:203,-1.1198,1.7659,9.9326,65.3,-0.0797,0.0934,0.0736,67.7794
19:48:53:223,-1.2179,1.7659,9.935,65.5306,-0.0638,0.1263,0.0919,67.744
19:48:53:244,-1.3902,1.8736,9.813,65.6534,-0.0064,0.1593,0.1212,67.6271
19:48:53:267,-1.3208,1.9023,9.7053,66.1757,0.04,0.1496,0.164,67.4481
19:48:53:296,-1.2179,1.8664,9.7197,64.175,0.0571,0.0982,0.1811,67.2386
19:48:53:303,-1.2156,1.8425,9.7436,68.0179,0.062,0.053,0.1799,67.0425
19:48:53:326,-1.0792,1.8401,9.5186,65.3784,0.0865,0.0457,0.1909,66.8315
19:48:53:346,-1.0289,1.9549,9.3559,65.5823,0.1011,0.0836,0.1933,66.5753
19:48:53:377,-1.0696,1.9932,9.3177,65.1755,0.0718,0.1324,0.1799,66.2888
19:48:53:387,-1.0696,1.9765,9.3296,65.8439,0.0413,0.1496,0.175,66.0179
19:48:53:415,-0.9787,1.943,9.2554,65.4396,0.051,0.1349,0.1677,65.7523
19:48:53:425,-0.8614,1.9717,9.1621,66.2493,0.0791,0.1007,0.1579,65.5175
19:48:53:445,-0.6724,1.9789,9.0329,65.3338,0.062,0.0481,0.1298,65.2946
19:48:53:465,-0.6724,1.8831,9.1669,66.2494,-0.0064,0.0396,0.0797,65.1573
19:48:53:492,-0.8806,1.8831,9.4469,65.081,-0.0858,0.0323,0.0321,65.0842
19:48:53:504,-1.0552,1.8042,9.7005,65.4487,-0.1176,0.0091,0.0199,65.0725
19:48:53:523,-1.0911,1.7707,9.5665,67.0885,-0.0662,0.0164,0.0479,65.0404
19:48:53:545,-0.9428,1.919,9.2363,64.2079,0.0095,0.0396,0.0919,64.8798
19:48:53:583,-0.7585,1.9908,9.0473,66.0942,0.0095,0.0543,0.1041,64.7281
