Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
14:36:41:559,-2.8047,3.4626,8.8072,54.3375,0.0317,-1.0614,0.2444,177.5625
14:36:41:577,-2.6682,3.4686,9.7337,54.9365,0.0914,-1.0403,0.2764,177.5625
14:36:41:594,-2.1104,3.7392,10.0103,54.9076,0.1987,-0.8592,0.2444,191.9688
14:36:41:611,-1.6471,3.9235,9.7948,55.8762,0.2538,-0.4798,0.1714,191.9062
14:36:41:641,-1.5765,3.969,9.3746,56.0928,0.2149,0.0526,0.1323,191.8438
14:36:41:657,-1.8291,4.1294,8.618,55.5514,0.0708,0.344,0.1328,191.7969
14:36:41:675,-1.9344,4.1677,8.5582,54.4835,-0.057,0.4686,0.1427,191.7188
14:36:41:689,-1.9919,4.1115,8.891,55.3667,-0.0879,0.5384,0.1618,191.5312
14:36:41:709,-1.8805,4.0743,8.8084,55.0075,-0.0415,0.5003,0.1914,191.2656
14:36:41:730,-1.9943,4.0815,8.5522,53.5,0.0269,0.3813,0.2138,191
14:36:41:762,-1.8039,3.8744,8.2457,54.2143,0.0959,0.2529,0.2322,190.6562
14:36:41:776,-0.7445,3.9295,7.9608,53.7722,0.1454,0.1546,0.0585,190.3125
14:36:41:791,-2.3402,4.3892,7.4449,54.6666,0.1145,0.152,0.0764,189.9844
14:36:41:808,-2.0948,3.9307,7.0439,54.0396,0.0192,0.1275,0.1206,189.7812
14:36:41:829,-2.9244,3.8625,7.646,55.3092,0.0256,0.0518,0.2673,189.6719
14:36:41:853,-2.5509,3.7571,8.1236,55.8705,0.1212,-0.0515,0.4119,189.5
14:36:41:870,-2.272,4.0564,7.6891,54.6473,0.1566,-0.1687,0.4207,189.2031
14:36:41:887,-2.2433,4.3521,7.0163,57.0307,0.0288,-0.2672,0.392,188.7656
14:36:41:906,-2.0912,4.3856,6.8607,56.1275,-0.2056,-0.2217,0.347,188.3438
14:36:41:927,-2.102,4.3581,7.1372,55.2801,-0.4245,-0.071,0.3304,188.1719
14:36:41:946,-2.09,4.291,7.5514,55.5071,-0.534,-0.0073,0.3406,187.8125
