Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
20:59:03:370,-1.9392,0.5441,7.1923,61.9731,-0.0067,-0.6467,-0.9383,57.7812
20:59:03:422,-1.179,1.3892,6.7206,62.5227,0.3212,-0.4401,0.724,59.6094
20:59:03:436,-1.4424,1.5963,6.3579,60.8282,0.2312,-0.7373,0.5288,59.6094
20:59:03:454,-1.4544,1.6418,6.3448,61.5321,0.0671,-0.9349,0.3797,59.6094
20:59:03:473,-1.2221,1.722,6.6273,61.5047,-0.1366,-0.9746,0.2481,210.5312
20:59:03:492,-0.8905,1.8549,6.9158,60.1955,-0.3385,-0.9738,0.1182,210.0312
20:59:03:513,-0.9743,1.9255,7.4952,59.8734,-0.4975,-0.9157,-0.0049,209.7188
20:59:03:537,-1.2185,1.4443,9.1963,59.5815,-0.535,-0.2891,-0.0597,209.5469
20:59:03:554,-1.3335,1.4311,9.7757,61.8254,-0.4392,0.1882,-0.0395,209.5156
20:59:03:571,-1.4975,1.3761,10.3562,59.8592,-0.2977,0.2966,-0.0696,209.5938
20:59:03:591,-1.5286,1.0517,10.9907,59.9517,-0.0823,0.2731,-0.1316,209.6875
20:59:03:612,-1.4807,0.5225,11.4839,60.0349,0.1982,0.2761,-0.1492,209.7344
20:59:03:639,-1.2305,0.4842,11.5486,59.7805,0.4743,0.3283,-0.0872,209.8594
20:59:03:650,-1.2676,1.0313,11.1774,60.3881,0.6804,0.2798,0.0327,209.9375
20:59:03:670,-1.422,1.558,10.7142,60.3535,0.7553,0.0577,0.2311,210.0469
20:59:03:689,-0.948,2.0548,9.8535,60.904,0.5984,-0.1594,0.3251,210.0938
20:59:03:709,0.0193,2.4044,9.2058,60.5833,0.2011,-0.1655,0.1443,209.9688
20:59:03:735,0.4634,2.6103,9.2585,60.8519,-0.3111,-0.3562,-0.2645,209.6719
20:59:03:752,0.2252,2.0225,10.7465,59.937,-0.6408,-0.6385,-0.5777,209.4062
20:59:03:768,0.0947,0.8769,12.8163,59.863,-0.6125,-0.7959,-0.6717,209.4844
20:59:03:789,-0.1866,-0.1706,13.6914,59.285,-0.2594,-0.4483,-0.5774,210
20:59:03:807,-0.8331,-0.5429,12.007,61.1277,0.1992,0.1573,-0.2193,210.8125
20:59:03:833,-1.0605,0.0545,8.8671,58.4584,0.4802,0.4225,0.2964,211.6094
20:59:03:850,-0.3351,1.2324,6.5267,60.075,0.4754,0.0313,0.5744,211.9375
20:59:03:867,1.354,2.4571,6.0515,61.273,0.3108,-0.8971,0.2625,212.1719
20:59:03:886,2.3273,2.8557,7.1217,59.7975,0.1888,-1.9418,-0.3884,211.7969
20:59:03:906,2.0448,2.2344,8.7437,60.1419,0.1398,-2.5874,-0.9133,211.1562
20:59:03:926,1.4079,0.75,9.5015,58.5324,0.0541,-2.5069,-1.1492,210.9688
20:59:03:949,0.467,-0.149,9.6667,58.9882,-0.0067,-2.0041,-1.0762,212.25
20:59:03:969,-0.4297,-0.2532,9.6212,59.023,-0.0674,-1.3738,-0.8315,213.8125
20:59:03:985,-0.5075,0.0365,9.6224,58.2799,-0.1209,-0.6374,-0.5852,215.3281
20:59:04:004,-0.2585,0.6135,8.812,58.4048,-0.2621,-0.0182,-0.4605,216.6562
20:59:04:025,-0.14,1.2576,8.0279,58.5726,-0.494,0.3048,-0.4408,217.5938
20:59:04:050,-0.037,1.6634,7.828,59.4872,-0.7044,0.3514,-0.4701,218.2188
20:59:04:066,0.0181,1.8501,8.1608,60.5823,-0.8306,0.2209,-0.5327,218.7188
20:59:04:083,-0.2441,1.7603,8.8251,59.5453,-0.8461,0.0012,-0.5697,219.2344
20:59:04:103,-0.796,1.5221,9.6918,58.3313,-0.7404,-0.1458,-0.4994,219.8438
20:59:04:123,-0.9899,1.1702,10.2353,58.4206,-0.5795,-0.1338,-0.3396,220.5
20:59:04:144,-1.0629,1.0924,10.2736,58.7478,-0.4469,-0.0073,-0.1479,221.1875
20:59:04:168,-1.1036,1.2516,10.106,57.5941,-0.3686,0.1184,0.0287,221.75
20:59:04:185,-0.9552,1.3366,9.8834,57.8975,-0.3153,0.2273,0.173,222.0781
20:59:04:203,-0.8786,1.4168,9.5518,58.8872,-0.2953,0.2923,0.3046,222.1562
20:59:04:222,-0.8666,1.5365,9.4859,57.602,-0.2834,0.3094,0.4378,221.9219
20:59:04:241,-0.6499,1.6514,9.6272,59.0336,-0.2328,0.2851,0.5376,221.5781
20:59:04:266,-0.3423,1.7173,9.5841,59.6843,-0.1976,0.2087,0.5776,221.0938
20:59:04:283,-0.2214,1.7735,9.8762,57.3365,-0.1691,0.1461,0.5936,220.4844
20:59:04:300,-0.195,1.7149,10.1934,58.8793,-0.1228,0.0974,0.6053,220.1562
20:59:04:320,-0.14,1.6239,10.4616,57.4145,-0.07,0.0686,0.6167,219.5156
20:59:04:340,-0.1436,1.564,10.5981,58.0253,-0.0288,0.047,0.6298,218.8438
20:59:04:367,-0.0226,1.4682,10.786,58.0163,0.0144,0.0872,0.6516,218.1406
20:59:04:382,0.2132,1.4216,10.519,58.5969,0.0117,0.0638,0.6418,217.4219
20:59:04:399,0.7555,1.4024,10.0582,59.2853,-0.1044,-0.2733,0.5584,216.7188
20:59:04:418,1.2463,1.2707,10.7297,59.4918,-0.2421,-0.81,0.4013,215.9688
20:59:04:438,1.3157,0.7129,12.4141,57.1219,-0.2037,-1.0704,0.27,215.2656
20:59:04:458,0.9303,-0.0784,13.7177,57.7297,0.0546,-0.8806,0.3115,214.7812
20:59:04:484,0.4849,-0.6734,13.2472,56.1182,0.3776,-0.1905,0.5336,214.3594
20:59:04:498,0.0959,-0.665,12.1722,56.8797,0.7236,0.928,0.8796,214.0312
20:59:04:519,0.3916,-0.3609,10.4484,56.76,1.0091,1.7541,1.1376,213.4219
20:59:04:537,0.5723,0.6734,7.8806,57.6193,1.0322,1.6969,1.2079,212.2969
20:59:04:557,0.9554,1.5628,5.2698,56.3851,0.6261,0.7208,1.0045,210.8125
20:59:04:576,1.3097,1.6909,5.915,55.8573,0.1039,-0.7136,0.605,209.3438
20:59:04:596,1.4306,0.8326,9.9217,55.3828,-0.1134,-1.6699,0.2628,208.1094
20:59:04:617,1.208,-0.3609,14.2492,56.1838,0.0858,-1.6864,0.1307,207.4688
20:59:04:635,1.1422,-0.9367,16.0628,57.1156,0.5697,-0.8968,0.1568,207.2969
20:59:04:655,1.4295,-0.9547,14.8597,56.5808,1.0786,0.1805,0.1557,207.2656
20:59:04:675,1.0488,-0.5596,11.3618,55.8081,1.3167,0.8628,0.2042,207.1094
