Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
12:58:36:905,-0.7756,3.3669,10.3646,53.6567,-0.1254,-0.1261,-0.1031,196.7969
12:58:36:964,0.03,2.7683,9.7481,53.5848,-0.1494,-0.5783,-0.0485,197.0312
12:58:36:980,0.1115,2.8772,9.6775,51.8149,-0.0996,-0.5969,-0.0408,197.0312
12:58:36:996,0.2635,2.9718,9.5614,52.7166,-0.0072,-0.5919,-0.0307,197.0312
12:58:37:014,0.4215,3.0556,8.958,53.965,0.0525,-0.4712,-0.0187,197.0312
12:58:37:030,0.4035,3.1849,8.3583,53.9274,0.0341,-0.3309,-0.0219,195.6094
12:58:37:048,0.2336,3.2268,8.1703,52.2384,-0.0559,-0.2494,-0.019,195.7188
12:58:37:085,0.2431,3.2435,8.2027,53.3475,-0.187,-0.2116,-0.0096,195.8125
12:58:37:095,0.3449,3.0305,8.5043,52.1533,-0.319,-0.2504,-0.0192,195.875
12:58:37:110,-0.1471,2.9072,8.7509,52.9323,-0.3846,-0.2379,0.0045,195.9375
12:58:37:127,-0.383,2.8784,8.9508,52.8848,-0.3409,-0.0952,0.1352,195.9844
12:58:37:146,0.0109,2.9287,8.3571,53.6495,-0.3507,0.1632,0.3395,196.0625
12:58:37:167,0.3712,3.2507,7.5897,53.0766,-0.477,0.3988,0.4764,196.0312
12:58:37:194,0.1246,3.2352,7.5083,55.0645,-0.6751,0.8372,0.5403,195.7656
12:58:37:209,0.1653,1.8729,7.8854,53.2755,-0.931,0.6905,0.6756,195.5312
12:58:37:225,0.4023,1.479,9.8367,52.5791,-1.0109,0.4609,0.7326,194.9844
12:58:37:245,0.5053,0.993,10.531,52.6676,-0.9324,0.7592,0.5853,194.2812
12:58:37:268,0.8465,1.7149,10.4089,53.8097,-0.6972,0.9182,0.3637,193.4375
12:58:37:291,0.4837,2.5468,9.7996,53.312,-0.3989,0.7123,0.1398,192.5625
12:58:37:311,-0.3447,2.6797,9.4141,53.7416,-0.0895,0.2087,-0.0067,191.8594
12:58:37:326,0.4814,3.3908,10.2605,53.5585,0.0727,-0.0246,-0.1812,191.3594
12:58:37:344,0.297,2.6594,10.033,52.5889,0.1143,0.0481,-0.4944,191.1094
12:58:37:363,-1.1288,2.3218,10.045,52.8092,0.1907,-0.0118,-0.5982,191.1875
12:58:37:383,-1.9524,2.1171,10.3299,54.026,0.2724,-0.3112,-0.4741,191.5938
12:58:37:409,-1.8865,2.153,10.3814,53.628,0.3763,-0.5226,-0.2616,192.25
12:58:37:425,-1.5621,2.4714,10.203,53.9173,0.4421,-0.5056,-0.129,192.875
12:58:37:443,-1.3933,2.7515,9.6739,53.6496,0.4173,-0.3815,-0.1093,193.3281
12:58:37:462,-1.4328,2.7743,9.2776,55.0316,0.3097,-0.2933,-0.1476,193.5938
12:58:37:483,-1.5226,2.712,9.2346,52.8899,0.1782,-0.276,-0.1694,193.75
12:58:37:502,-1.5657,2.6546,9.5578,53.0441,0.0948,-0.3452,-0.1686,193.9375
12:58:37:526,-1.6148,2.6151,10.1982,52.2027,0.0921,-0.4185,-0.1572,194.1562
12:58:37:562,-1.5262,2.4726,10.719,54.0061,0.175,-0.3791,-0.1335,194.3594
12:58:37:563,-1.2844,2.4283,10.2724,52.1327,0.3561,-0.1815,-0.1074,194.5938
12:58:37:581,-1.1048,2.4702,9.1735,53.6967,0.3995,-0.1876,-0.0664,194.7969
12:58:37:601,-0.9456,2.578,8.3355,54.4787,0.2386,-0.1876,-0.0134,195.0156
12:58:37:626,-0.5278,2.8282,8.4564,53.1891,0.0069,-0.2094,0.0045,195.1094
12:58:37:643,-0.3506,2.9682,8.7318,52.9654,-0.1593,-0.0933,-0.0927,195.1406
12:58:37:659,-0.5075,2.9012,8.7521,52.7171,-0.2591,0.0228,-0.1921,195.1562
12:58:37:678,-0.8427,2.7934,8.7856,53.0468,-0.2903,0.0659,-0.2139,195.2031
12:58:37:698,-1.0282,2.815,8.9042,53.4725,-0.2349,-0.0185,-0.1612,195.375
12:58:37:724,-1.0569,2.9455,9.0454,53.4725,-0.1033,-0.1881,-0.0959,195.625
12:58:37:740,-0.8666,3.1143,9.0993,53.4576,0.0431,-0.3389,-0.0493,195.8438
12:58:37:757,-0.7397,3.2411,8.7988,51.3777,0.1004,-0.3255,-0.0501,196
12:58:37:777,-0.8319,3.1669,8.5151,52.4003,0.0085,-0.2267,-0.068,196.1094
12:58:37:798,-0.8857,3.2412,9.0682,53.5347,-0.0943,-0.1,-0.0888,196.2031
12:58:37:816,-1.1742,3.2938,9.1974,52.1718,-0.0716,-0.146,-0.1061,196.2969
12:58:37:842,-1.0222,3.3142,9.4644,53.8162,0.004,-0.1916,-0.0539,196.3906
12:58:37:857,-0.8474,3.1095,9.0945,51.8411,0.074,-0.1463,-0.0184,196.5312
12:58:37:877,-0.6547,2.9766,8.4313,53.7188,0.0399,-0.0792,0.0255,196.6875
12:58:37:897,-0.2884,2.8581,8.2457,52.9995,-0.106,-0.1117,-0.0568,196.7188
12:58:37:918,-1.4759,3.7643,8.7892,51.0182,-0.1909,0.0388,-0.1215,196.6875
12:58:37:941,-1.7632,3.6434,9.2549,51.9994,-0.2083,0.03,0.0082,196.7656
12:58:37:955,-0.9324,3.1681,9.395,50.7805,-0.1912,0.1917,0.1225,196.9062
12:58:37:975,-0.1459,3.5081,8.9018,51.5024,-0.1768,0.3597,0.0985,196.9062
12:58:37:996,0.6322,4.1833,8.5642,51.8287,-0.1894,0.2359,-0.1055,196.7656
12:58:38:016,0.5616,3.8265,9.7373,52.9505,-0.0799,-0.374,-0.509,196.625
12:58:38:046,-0.9719,2.7994,11.0745,52.2527,0.278,-1.0912,-0.8254,196.7188
12:58:38:055,-2.2816,1.9651,11.849,53.4214,0.7199,-1.5759,-0.7101,197.3438
12:58:38:079,-2.6311,2.7456,11.8227,51.2603,1.0216,-1.6728,-0.3234,198.3438
12:58:38:094,-1.75,3.7667,10.792,51.7073,0.9769,-1.2648,-0.0813,199.2812
12:58:38:114,1.0727,2.8353,9.9923,52.1966,0.5356,-0.6954,-0.0962,199.7812
12:58:38:140,1.4953,2.1099,11.0158,52.3577,0.0383,-0.0648,-0.264,199.9375
12:58:38:155,1.0224,1.9902,11.8131,53.6971,-0.1614,0.7235,-0.2323,200
12:58:38:177,0.8608,2.232,10.8949,52.085,-0.0639,1.2124,-0.0975,200
12:58:38:193,0.4311,2.0153,8.7677,52.1184,0.0075,1.1259,0.0106,200.4062
12:58:38:212,0.5388,2.6881,8.4169,52.1226,-0.1254,0.4955,0.1422,200.5156
12:58:38:231,1.7084,2.7456,8.9712,52.1428,-0.2426,0.0667,0.1344,200.5156
12:58:38:251,2.107,2.4858,9.1268,54.0527,-0.3633,-0.1599,0.0148,200.3438
12:58:38:275,2.7642,2.4451,9.1077,53.8162,-0.4288,-0.2153,-0.0749,200.125
12:58:38:295,2.8791,2.9634,8.4768,53.3018,-0.4629,-0.2014,-0.1505,199.9844
12:58:38:311,2.5248,3.2867,8.3451,52.7239,-0.5108,0.0806,-0.2307,200.0156
12:58:38:330,2.1501,2.9036,8.29,53.1303,-0.4972,0.2375,-0.346,200.1562
12:58:38:351,1.2008,2.3445,8.7186,53.8248,-0.3904,0.0737,-0.5223,200.375
12:58:38:377,0.7052,2.2847,9.0083,52.3502,-0.2306,-0.1455,-0.5237,200.6562
12:58:38:393,1.1386,2.1973,9.1759,53.211,-0.1076,-0.1263,-0.4121,201.0625
12:58:38:410,1.3959,2.1745,8.8192,53.113,-0.0493,0.1078,-0.3386,201.6719
12:58:38:431,1.2858,2.39,8.2386,51.3103,-0.0501,0.234,-0.2717,202.5312
12:58:38:451,1.1074,2.6366,7.9608,53.9541,-0.0788,0.1565,-0.2017,202.9688
12:58:38:477,0.9039,2.7097,8.0602,53.1959,-0.0852,0.0116,-0.141,203.2812
12:58:38:494,1.2535,2.1721,8.1883,52.7984,-0.0541,-0.0624,-0.1034,203.5312
12:58:38:513,0.2084,2.718,8.7114,52.7053,0.0008,-0.1141,-0.1239,203.7344
12:58:38:532,-0.0681,2.9072,8.8658,53.5553,0.1103,-0.0387,0.0186,203.8594
12:58:38:552,0.455,3.0556,8.7964,51.4889,0.2008,0.0372,0.1342,204.0156
12:58:38:574,0.2659,3.5237,9.0801,52.3768,0.2999,0.0974,0.1893,204.0938
12:58:38:591,-0.1651,3.8002,8.9365,52.7352,0.5012,-0.0398,0.2918,204.0625
12:58:38:611,0.2491,4.1354,7.9848,52.4009,0.6887,-0.4441,0.4796,203.8906
12:58:38:631,1.5468,4.8465,6.4848,53.4425,0.5342,-1.0592,0.3248,203.6562
12:58:38:651,2.4985,5.2271,6.9421,52.0169,-0.066,-1.2531,-0.1631,203.2969
12:58:38:676,1.2762,5.4354,9.48,52.945,-0.538,0.1847,-0.6627,202.75
12:58:38:699,0.048,4.3928,9.9373,51.9555,-0.6911,1.3056,-0.7449,202.5
12:58:38:715,-0.875,3.0903,10.956,51.9379,-0.6352,0.8593,-0.4869,203.2344
12:58:38:731,-1.7058,2.4223,12.1339,53.51,-0.2184,0.4169,-0.1236,204.0469
12:58:38:751,-1.6028,2.3697,12.1088,52.8143,0.3009,0.132,0.2282,204.6406
12:58:38:775,-0.8846,2.7851,10.8387,52.7629,0.4938,0.1304,0.43,204.9688
12:58:38:791,-0.4105,2.8952,9.6871,52.996,0.2208,0.4646,0.5081,204.8594
12:58:38:811,-0.2704,2.973,9.7864,52.9268,-0.2085,0.8319,0.5486,204.4531
12:58:38:832,0.1797,2.9227,10.8111,54.5298,-0.4887,0.7296,0.5129,203.8438
12:58:38:852,0.7435,2.42,12.675,52.7821,-0.5206,0.1125,0.3421,203.1562
12:58:38:875,0.4885,1.8765,14.6359,54.0807,-0.2384,-0.4877,0.1674,202.4531
12:58:38:932,0.4861,1.3055,14.5437,52.462,0.298,-0.6297,0.1667,201.9375
12:58:38:942,0.7615,0.7787,12.0609,52.2682,0.7065,-0.419,0.1081,201.7031
12:58:38:943,0.4658,1.4084,9.3208,51.5249,0.6938,0.0473,0.095,201.5938
12:58:38:956,1.5587,2.232,8.4145,52.6733,0.3438,0.4154,0.0647,201.4688
12:58:38:975,0.8908,2.4008,8.3391,53.5637,0.0426,0.606,-0.1939,201.2656
12:58:38:999,-0.4883,1.9603,8.3918,52.8431,-0.0173,0.4292,-0.3892,201.125
12:58:39:012,-1.434,1.3198,8.2733,53.223,0.078,-0.0049,-0.3644,201.2656
12:58:39:032,-1.6268,1.1211,7.7944,52.5697,0.2202,-0.1767,-0.1833,201.6562
