Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
20:08:09:829,-3.1076,1.8621,8.5007,53.1773,-0.0083,0.409,0.2449,61.625
20:08:09:848,-2.3139,2.3589,8.6025,54.7046,0.0386,-0.0552,0.5097,61.625
20:08:09:867,-1.3849,2.8569,8.6743,54.965,0.0362,-0.3841,0.4039,61.625
20:08:09:887,-0.9671,3.064,8.9951,55.564,0.0083,-0.5341,0.2106,179.0781
20:08:09:913,-1.0833,2.73,9.444,55.1701,0.013,-0.4273,0.087,178.5312
20:08:09:929,-1.5274,2.3804,9.4069,54.7144,0.0208,-0.215,0.07,178.125
20:08:09:946,-1.9416,2.1494,9.1113,56.3163,-0.0075,-0.0337,0.1533,177.9688
20:08:09:966,-1.9308,2.1291,8.9377,54.8795,-0.0317,0.0231,0.2591,177.9219
20:08:09:986,-1.5154,2.4547,8.7677,56.0988,-0.0301,-0.0992,0.274,177.875
20:08:10:012,-1.0306,2.7216,8.7246,55.3501,-0.0128,-0.2491,0.1994,177.7031
20:08:10:030,-0.7026,2.7719,8.5307,54.9629,-0.012,-0.3682,0.0918,177.3906
20:08:10:046,-0.7385,2.7013,8.3295,54.3522,-0.0362,-0.5325,0.0053,177.1094
20:08:10:066,-0.7792,2.5636,8.4959,54.6334,-0.029,-0.7322,-0.0549,176.8594
20:08:10:087,-0.7708,2.4439,8.5977,53.3136,0.0448,-0.9288,-0.0568,176.8594
20:08:10:107,-0.79,2.3936,8.3822,53.3313,0.1196,-1.2236,-0.0299,176.9688
20:08:10:128,-0.6068,2.3349,8.2601,54.4166,0.1406,-1.4462,-0.0022,177.1562
20:08:10:146,-0.3997,2.0524,9.3902,55.0509,0.1318,-0.9274,0.0857,177.3594
20:08:10:169,0.1893,2.2404,8.9724,52.3366,-0.0234,-0.4395,0.1275,177.5625
20:08:10:187,0.3868,2.4307,8.8958,54.2805,-0.2948,0.0872,0.0804,177.7031
20:08:10:207,0.2299,2.584,9.1615,54.5706,-0.5385,0.4886,0.0196,177.7031
20:08:10:227,0.0001,2.5552,9.7002,53.6891,-0.5723,0.5965,0.0042,177.6094
20:08:10:247,-0.2417,2.5002,9.9971,54.1451,-0.432,0.4409,0.0503,177.4844
