Time,Cell_Type,Cell_ID,Cell_RSSI
12:58,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 239, 178, 172, 163, 178, 249]","[-75, -94, -83, -133, -134, -124, -134, -135]"
12:58,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 239, 178, 172, 163, 178, 172, 249]","[-70, -90, -77, -132, -131, -135, -132, -124, -133]"
12:58,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 239, 178, 172, 163, 178, 172, 249]","[-65, -85, -74, -133, -129, -131, -132, -129, -134]"
12:58,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 178, 172, 163, 178, 172, 249]","[-65, -94, -133, -131, -128, -129, -127, -131]"
12:58,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 178, 163, 178, 172, 249]","[-61, -132, -131, -131, -131, -127]"
12:58,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 178, 163, 178, 249]","[-63, -132, -131, -130, -134]"
12:58,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 178, 163, 172, 178, 172, 176]","[-65, -133, -134, -130, -131, -133, -134]"
12:58,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 172, 163, 172]","[-74, -97, -130, -133, -123]"
12:58,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 172, 163, 178, 172, 178]","[-79, -129, -132, -134, -127, -135]"
12:58,['Lte'],[473],[-77]
12:58,['Lte'],[473],[-77]
12:58,['Lte'],[473],[-75]
12:59,['Lte'],[473],[-78]
12:59,['Lte'],[473],[-81]
12:59,['Lte'],[473],[-86]
12:59,['Lte'],[473],[-77]
12:59,['Lte'],[473],[-77]
12:59,['Lte'],[473],[-75]
12:59,['Lte'],[473],[-72]
12:59,['Lte'],[473],[-65]
12:59,['Lte'],[473],[-73]
12:59,['Lte'],[473],[-82]
12:59,['Lte'],[473],[-87]
12:59,['Lte'],[473],[-81]
12:59,['Lte'],[473],[-86]
12:59,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 249, 163, 28]","[-85, -110, -132, -111, -118]"
12:59,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 481, 249, 163, 28]","[-79, -119, -130, -113, -121]"
12:59,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 249, 163]","[-76, -103, -121, -116]"
12:59,"['Lte', 'Lte', 'Lte']","[473, 249, 163]","[-73, -124, -110]"
12:59,"['Lte', 'Lte', 'Lte']","[473, 249, 163]","[-66, -123, -116]"
12:59,"['Lte', 'Lte', 'Lte']","[473, 249, 163]","[-74, -135, -118]"
12:59,"['Lte', 'Lte']","[473, 163]","[-78, -125]"
12:59,"['Lte', 'Lte']","[473, 163]","[-75, -125]"
12:59,"['Lte', 'Lte']","[473, 163]","[-79, -130]"
12:59,['Lte'],[473],[-82]
12:59,['Lte'],[473],[-82]
12:59,['Lte'],[473],[-85]
12:59,['Lte'],[473],[-81]
12:59,['Lte'],[473],[-85]
12:59,['Lte'],[473],[-83]
12:59,['Lte'],[473],[-88]
13:00,['Lte'],[473],[-88]
13:00,['Lte'],[473],[-89]
13:00,['Lte'],[473],[-91]
13:00,['Lte'],[473],[-91]
13:00,['Lte'],[473],[-90]
13:00,['Lte'],[473],[-92]
13:00,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 163, 249]","[-90, -103, -123, -133]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 163, 249]","[-84, -102, -126, -135]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 163, 172, 249]","[-85, -101, -131, -133, -131]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 163, 249]","[-82, -103, -131, -130]"
13:00,"['Lte', 'Lte', 'Lte']","[473, 163, 249]","[-84, -127, -132]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 473, 492]","[-86, -100, -87, -88, -107]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 473, 492]","[-80, -95, -87, -88, -107]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 473, 492]","[-88, -106, -87, -88, -107]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 473, 492]","[-75, -98, -87, -88, -107]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 473, 492]","[-68, -89, -87, -88, -107]"
13:00,"['Lte', 'Lte']","[473, 474]","[-63, -86]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 249, 163, 172]","[-71, -129, -127, -135]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 172, 249, 163, 172]","[-86, -131, -135, -124, -128]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 172, 249, 163, 172]","[-83, -132, -127, -123, -131]"
13:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 172, 249, 163, 172]","[-80, -133, -133, -126, -131]"
13:00,['Lte'],[473],[-73]
13:00,['Lte'],[473],[-73]
13:00,['Lte'],[473],[-71]
13:00,['Lte'],[473],[-77]
13:00,['Lte'],[473],[-86]
13:00,['Lte'],[473],[-81]
13:00,['Lte'],[473],[-80]
13:00,['Lte'],[473],[-75]
13:01,['Lte'],[473],[-76]
13:01,['Lte'],[473],[-72]
