Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:43:55:831,0.0528,3.3573,9.2489,57.7847,0.0911,0.0348,0.6282,42.625
19:43:55:886,0.4107,3.6865,8.9437,58.3633,0.2144,0.0971,0.4135,41.3438
19:43:55:896,0.449,3.7667,8.4337,58.0062,0.2352,0.0963,0.4447,41.3438
19:43:55:916,0.4586,3.8194,8.2793,56.0442,0.2072,0.1261,0.5001,41.3438
19:43:55:936,0.4706,3.7559,8.3284,56.2915,0.1896,0.0963,0.5493,149.8906
19:43:55:968,0.5735,3.8864,8.2697,58.1704,0.1712,0.0074,0.5779,149.3438
19:43:55:984,0.7316,4.0444,8.2015,56.8349,0.1246,-0.0731,0.5975,148.7031
19:43:56:001,0.8381,4.1653,8.2637,57.0905,0.0916,-0.1604,0.6151,148.0469
19:43:56:014,1.1314,4.2731,8.5474,57.8502,0.1007,-0.1516,0.6322,147.4062
19:43:56:034,1.5911,4.3054,8.6683,57.5336,0.1302,-0.0984,0.6029,146.7344
19:43:56:056,1.9801,4.315,8.7354,57.101,0.1374,-0.052,0.523,146.0625
19:43:56:085,2.1333,4.3138,8.8826,57.8767,0.1228,-0.0219,0.4298,145.4062
19:43:56:103,2.2507,4.3066,9.395,57.4515,0.1081,0.0593,0.3363,144.7656
19:43:56:114,2.4446,4.23,10.0689,57.5336,0.1593,0.1251,0.2151,143.9844
19:43:56:135,2.6242,4.2276,10.5226,57.6456,0.2892,0.1184,0.0617,143.5938
19:43:56:152,2.6206,4.3952,10.4496,56.9303,0.4437,0.0108,-0.0616,143.3125
19:43:56:185,2.5571,4.4945,9.7553,58.8941,0.4764,-0.0502,-0.1231,143.2031
19:43:56:201,2.4602,4.5843,9.4237,59.2026,0.3931,0.0087,-0.1359,143.2031
19:43:56:211,2.5284,4.485,9.4943,58.7561,0.2884,0.0497,-0.0898,143.2969
19:43:56:236,3.0767,4.1713,9.4859,58.1571,0.1691,0.0236,-0.081,143.4375
19:43:56:254,3.5352,3.8206,9.2405,58.5373,-0.0274,-0.006,-0.1665,143.5469
19:43:56:270,3.6142,3.4566,9.3543,59.9817,-0.2983,0.1496,-0.2781,143.5938
19:43:56:302,3.4801,3.0113,10.2377,58.6435,-0.4503,0.3464,-0.3979,143.7188
19:43:56:310,3.3185,2.6019,11.0661,60.0265,-0.3292,0.361,-0.5306,143.9688
19:43:56:336,3.1353,2.3745,10.8075,57.206,-0.0216,0.1181,-0.6691,144.3125
19:43:56:353,2.8947,2.5492,9.4057,58.8816,0.1806,-0.1298,-0.7468,144.7344
19:43:56:373,2.8349,2.8353,8.3188,57.8786,0.1294,-0.0512,-0.7444,145.3594
19:43:56:402,2.7331,2.8222,7.8854,57.3751,-0.0344,0.112,-0.6957,146.6406
19:43:56:409,2.6098,2.5887,8.0602,58.7427,-0.1923,0.202,-0.6579,147.4531
19:43:56:439,2.3452,2.165,8.466,59.3274,-0.3127,0.1914,-0.6499,148.2188
19:43:56:448,2.046,1.7663,8.9736,57.7681,-0.3502,0.0529,-0.6741,148.9219
19:43:56:471,1.718,1.5532,9.2094,56.3334,-0.2517,-0.2028,-0.7298,149.5938
19:43:56:502,1.3576,1.6514,8.6707,59.8664,-0.0932,-0.4555,-0.7878,150.3438
19:43:56:507,1.0955,1.9675,7.7729,55.3724,0.0061,-0.5591,-0.8035,151.2344
19:43:56:544,0.9027,2.2931,7.0175,59.4988,0.0511,-0.5216,-0.7692,152.2031
19:43:56:546,0.8477,2.6474,6.3807,57.0498,0.0336,-0.4222,-0.7053,153.2656
19:43:56:566,0.856,2.9934,6.0922,59.268,-0.0671,-0.264,-0.6118,154.2812
19:43:56:586,0.8943,3.2448,6.2107,56.9901,-0.2139,-0.1026,-0.513,155.1875
19:43:56:607,0.9326,3.3669,6.7829,58.182,-0.3244,-0.0041,-0.4504,155.9219
19:43:56:634,0.9386,3.5368,7.8926,57.5799,-0.3374,0.0907,-0.4163,156.5312
19:43:56:650,0.6382,3.6841,8.8395,57.1216,-0.2503,0.0875,-0.3591,157.0469
19:43:56:667,0.8321,3.7906,8.8922,58.1545,-0.1819,-0.035,-0.3508,157.0469
19:43:56:688,1.2918,3.9486,8.6516,58.7113,-0.2077,-0.003,-0.4326,157.6875
19:43:56:706,1.0129,4.0767,9.1352,57.5446,-0.2863,0.2204,-0.4565,157.6875
19:43:56:730,0.1581,4.1174,10.2545,57.9105,-0.3403,0.4806,-0.3276,158.75
19:43:56:749,-0.5075,4.0743,11.5246,58.9829,-0.3284,0.6452,-0.1266,159.2188
19:43:56:765,-0.6858,3.8217,12.456,58.3661,-0.236,0.5823,0.0101,159.2188
19:43:56:785,-0.7924,3.4554,13.1203,57.4503,-0.0903,0.3972,0.075,159.4844
19:43:56:805,-0.869,2.9958,12.997,59.1622,0.045,0.2066,0.0814,159.4688
19:43:56:831,-0.8582,2.8473,12.2333,59.1622,0.069,0.107,0.0932,159.1562
19:43:56:847,-1.1359,2.5205,11.4875,59.3986,-0.0397,0.1618,0.1933,159.0156
19:43:56:867,-1.1515,2.2164,11.3271,57.2787,-0.163,0.2303,0.3123,158.9688
19:43:56:885,-0.9288,1.7173,11.7329,57.65,-0.2005,0.2015,0.4029,158.7969
19:43:56:908,-0.4787,1.2899,12.0609,56.6794,-0.0652,0.0002,0.3957,158.4531
19:43:56:931,0.0061,1.1438,11.9017,58.5535,0.1965,-0.2188,0.3003,157.9688
19:43:56:949,-0.104,1.339,10.9536,56.903,0.44,-0.2656,0.2314,157.5
19:43:56:966,-0.6966,1.6957,9.7505,58.0157,0.4815,-0.0198,0.3168,157.2812
19:43:56:985,-1.1707,1.965,8.9077,57.7159,0.3545,0.2497,0.5406,157
19:43:57:005,-1.2545,1.8322,8.4852,57.6892,0.1651,0.2942,0.7898,156.8125
19:43:57:030,-0.6128,1.5712,8.2314,57.8863,0.0165,0.1109,0.9027,156.4844
19:43:57:046,0.1557,1.4778,7.8148,58.6456,-0.0469,-0.1554,0.8801,155.8125
19:43:57:065,0.6992,1.5844,7.2665,58.0532,-0.0434,-0.3349,0.7877,154.8438
19:43:57:084,1.0404,1.8382,6.7554,58.3726,-0.0109,-0.3192,0.698,153.8281
19:43:57:104,1.2679,2.0896,6.4537,57.884,0.0272,-0.1431,0.6287,152.8594
19:43:57:125,1.2487,2.3529,6.3352,56.3904,0.049,0.0492,0.5765,152.0469
19:43:57:148,1.0763,2.6402,6.4214,57.7266,0.0463,0.1312,0.5549,151
19:43:57:166,0.8153,2.882,6.8068,58.2218,0.0386,0.1277,0.5885,150.3281
19:43:57:185,0.7483,3.0125,7.3216,59.4179,0.0562,0.1008,0.6537,149.6562
19:43:57:207,0.9781,3.1765,7.6831,58.0756,0.0495,0.1293,0.715,149.0156
19:43:57:233,1.3073,3.2065,7.9153,56.5129,-0.0093,0.1469,0.7331,148.2812
19:43:57:247,1.5719,3.2914,8.1751,59.3027,-0.1063,0.0646,0.7059,147.4688
19:43:57:265,1.7575,3.3525,8.6863,59.1558,-0.1931,-0.0654,0.6524,146.5938
19:43:57:284,2.0148,3.3896,9.304,57.6357,-0.2173,-0.2227,0.5659,145.7812
19:43:57:307,2.3967,3.5105,9.8116,58.2026,-0.1633,-0.3514,0.4458,145
19:43:57:330,2.7056,3.7044,10.0306,58.2848,-0.0943,-0.3306,0.3232,144.3281
19:43:57:348,2.9234,3.9594,10.5837,57.4361,-0.0509,-0.2198,0.2029,143.8438
19:43:57:365,3.1257,3.9678,10.9871,57.8855,0.0024,-0.0701,0.1075,143.5
19:43:57:391,3.5759,4.1366,10.8746,60.7689,0.0898,-0.0773,0.0085,143.2656
19:43:57:404,4.0092,4.5292,10.5681,58.0429,0.122,-0.2933,-0.1364,143.125
19:43:57:426,4.0236,4.9518,10.5334,58.7556,0.0378,-0.4592,-0.297,143.0625
19:43:57:450,3.7554,4.9327,10.8662,58.3,-0.1457,-0.5165,-0.3881,143.1719
