Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:25:42:745,0.558,2.9503,8.5941,55.7388,-0.0085,-0.1333,-0.1409,193.5781
19:25:42:765,0.5508,3.2567,8.7557,53.9989,-0.0591,0.308,-0.1058,194.0156
19:25:42:789,0.8704,3.3585,8.1967,55.1277,-0.0991,0.3008,-0.122,194.3125
19:25:42:806,0.6669,3.3178,8.5031,53.8098,-0.1571,-0.039,-0.1985,194.5
19:25:42:825,0.4406,3.4926,9.1436,55.5682,-0.0815,-0.566,-0.2131,194.5938
19:25:42:846,0.2515,3.4076,9.7601,55.0577,-0.0453,-0.7796,-0.2461,194.7344
19:25:42:865,-0.8893,2.9108,10.0258,54.4735,-0.1441,-0.4752,-0.2675,195.0156
19:25:42:887,-3.3302,2.9491,10.5621,54.6405,-0.3276,0.0657,-0.0113,195.4062
19:25:42:907,-1.9069,1.9232,11.7652,54.4759,-0.4344,0.4204,0.56,195.8125
19:25:42:925,-0.0154,1.6765,12.7121,56.4058,-0.273,0.5139,0.8242,196.0469
19:25:42:945,0.0815,2.1602,12.5122,55.3382,0.1249,0.2835,0.8916,195.6875
19:25:42:965,-0.1783,2.5504,11.1463,55.4237,0.3728,0.1416,0.8063,194.7969
19:25:42:988,0.2527,2.5684,10.4592,55.2074,0.3297,0.0175,0.8769,193.7188
19:25:43:005,0.7639,3.1502,10.4017,53.4375,0.1438,0.0108,0.9126,192.7344
19:25:43:025,1.0524,2.6019,11.8897,56.0914,-0.0205,-0.0206,0.7968,191.7812
19:25:43:045,0.8022,1.9746,13.2018,55.558,0.2061,-0.1591,0.7403,190.7969
19:25:43:065,0.8872,2.1243,11.5976,54.48,0.6147,-0.0451,0.6987,189.8125
19:25:43:087,0.6645,2.4307,9.1771,55.4085,0.7209,0.0521,0.6263,188.9688
19:25:43:105,0.8261,2.7491,7.9537,54.1205,0.5087,0.0359,0.5549,188.2031
19:25:43:125,0.8656,2.7348,8.3391,54.6049,0.2365,-0.112,0.4378,187.4531
19:25:43:145,1.1805,2.3182,8.8168,53.8125,0.1132,-0.3413,0.3038,187.1094
19:25:43:165,1.4941,1.8801,9.0598,53.7367,0.0685,-0.4049,0.184,186.4688
19:25:43:187,1.1086,1.7065,8.958,53.7111,0.0943,-0.2054,0.1323,186.0312
19:25:43:206,0.7375,1.7603,8.1272,55.8044,0.1782,0.169,0.1794,185.75
19:25:43:226,0.552,2.4702,6.3017,54.6377,0.1955,0.5371,0.287,185.6719
19:25:43:246,1.0081,3.0305,5.2327,56.4357,0.0013,0.5248,0.3563,185.4219
19:25:43:266,1.1015,2.584,6.2083,55.9952,-0.2575,0.1456,0.3022,185.0781
19:25:43:291,0.8129,2.6522,7.8304,56.7136,-0.294,-0.0787,0.2194,184.5781
19:25:43:310,0.2802,2.4235,8.041,54.2127,-0.2091,0.0436,0.1366,184.1406
19:25:43:326,-0.0226,2.8509,7.8651,55.063,-0.1193,0.1597,0.1994,183.8281
19:25:43:344,0.7651,3.1143,7.6089,54.9591,-0.1843,0.2311,0.1997,183.6562
19:25:43:364,0.4335,3.4231,8.5139,55.1685,-0.2993,0.1474,0.1003,183.4531
19:25:43:390,0.1186,3.6266,9.5434,56.1459,-0.2871,-0.0022,0.0388,183.1562
19:25:43:413,0.3796,3.386,10.3622,54.9593,-0.1734,-0.0851,0.0106,182.9375
19:25:43:425,0.1462,2.9922,11.0925,53.2771,-0.0325,-0.1692,0.0181,182.8594
19:25:43:485,0.9674,3.1957,11.6072,56.1653,0.1414,-0.3381,-0.0025,182.8438
19:25:43:485,0.9877,2.9491,11.8742,54.8552,0.3073,-0.5399,-0.1306,182.8594
19:25:43:492,0.9602,2.7887,12.0549,55.0064,0.3907,-0.6124,-0.1527,182.875
19:25:43:510,0.9267,2.3134,11.3331,54.239,0.3281,-0.525,-0.0533,183.0312
19:25:43:527,2.0974,2.1195,11.2636,56.4852,0.1233,-0.2451,0.1166,183.3125
19:25:43:544,3.2658,2.8114,11.1643,54.4514,0.0069,0.014,0.0926,183.5625
19:25:43:565,3.3867,3.3094,10.7752,55.6709,-0.0434,0.0841,-0.109,183.5938
19:25:43:586,1.8664,3.2962,11.0278,55.3167,-0.1302,-0.0185,-0.3721,183.4688
19:25:43:606,0.5663,2.7575,11.6228,53.7757,-0.2048,-0.2483,-0.3684,183.4531
19:25:43:624,2.0651,1.4371,12.5589,52.9575,-0.2232,-0.2502,-0.1388,183.7188
19:25:43:644,3.7003,0.7033,13.4208,54.6729,-0.1705,0.0657,-0.1053,184.5469
19:25:43:664,4.3061,0.8865,12.3338,53.3787,0.0898,0.4375,-0.182,184.625
