Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:11:45:319,0.0738,0.1384,9.1335,36.6996,0.0202,-0.0577,-0.0297,354.63
19:11:45:339,0.0514,0.1172,9.5412,42.4067,-0.0229,-0.0609,-0.0084,354.63
19:11:45:361,0.1,0.1108,9.7744,42.4322,0.0373,-0.0764,-0.0036,134.12
19:11:45:382,0.143,0.171,9.6249,42.728,0.0889,-0.0412,-0.0164,133.94
19:11:45:401,0.0435,0.1992,9.3829,42.7497,0.0633,-0.0476,-0.026,133.72
19:11:45:421,0.0089,0.1831,9.447,42.6502,0.0176,-0.0583,-0.0148,133.72
19:11:45:441,0.0005,0.1928,9.5644,42.6363,-0.0064,-0.0519,-0.0025,133.75
19:11:45:465,0.0279,0.2342,9.6906,42.5408,-0.0074,-0.038,0.0076,133.74
19:11:45:481,0.1012,0.2651,9.7077,42.5486,0.0058,-0.0162,0.0017,133.71
19:11:45:502,0.0918,0.2979,9.701,42.5993,0.0192,-0.0008,-0.0132,133.69
19:11:45:521,0.0025,0.2466,9.6744,42.7558,0.0341,-0.004,-0.0217,133.7
19:11:45:542,-0.0758,0.15,9.6706,42.6009,0.0522,-0.012,-0.01,133.73
19:11:45:561,-0.0606,0.134,9.6589,42.5868,0.0649,-0.0061,0.0187,133.77
19:11:45:582,0.0563,0.2138,9.5379,42.4837,0.0548,0.0146,0.0251,133.77
19:11:45:606,0.0853,0.2455,9.3896,42.479,0.017,0.0146,0.0198,133.76
19:11:45:622,0.1269,0.2528,9.3837,42.3873,-0.0266,0.0184,0.0204,133.74
19:11:45:641,0.1449,0.2701,9.383,42.3343,-0.0655,0.0253,0.0225,133.72
19:11:45:661,0.138,0.2722,9.4178,42.2259,-0.0947,0.02,0.0219,133.69
19:11:45:681,0.1411,0.2616,9.6108,42.2384,-0.0926,0.0045,0.0267,133.67
19:11:45:701,0.1855,0.2608,9.7098,42.0165,-0.0633,0.004,0.0251,133.64
19:11:45:721,0.1385,0.2394,9.7491,42.126,-0.0447,-0.0151,0.0214,133.6
19:11:45:741,0.1351,0.2286,9.8411,41.8708,-0.0261,-0.0077,0.031,133.57
19:11:45:761,0.1577,0.2762,9.7994,41.8,-0.0027,0.0136,0.0315,133.54
19:11:45:781,0.1328,0.2761,9.7432,41.8696,0.0042,-0.0018,0.0251,133.52
19:11:45:801,0.1419,0.2462,9.7258,41.926,0.0106,-0.012,0.0187,133.51
19:11:45:821,0.1243,0.211,9.6608,41.959,0.0165,0.0008,0.0166,133.52
19:11:45:841,0.1167,0.2209,9.4788,42.0709,0.0096,0.0146,0.0166,133.53
19:11:45:865,0.1076,0.2064,9.38,41.826,-0.016,-0.0322,0.0076,133.55
19:11:45:881,0.1085,0.1401,9.5839,41.6498,-0.0309,-0.0535,0.0113,133.59
19:11:45:902,0.1384,0.1147,9.7223,41.6967,-0.0213,-0.0301,0.0209,133.63
19:11:45:921,0.2073,0.1593,9.5489,41.6977,-0.0138,-0.0253,0.0235,133.68
19:11:45:942,0.2491,0.2013,9.3267,41.6187,-0.0191,-0.0918,0.0225,133.72
19:11:45:961,0.3223,0.2183,9.192,41.5333,-0.0431,-0.2105,0.006,133.75
19:11:45:981,0.4749,0.2194,9.3703,41.4933,-0.075,-0.2073,-0.0094,133.81
19:11:46:001,0.4559,0.1842,9.4428,41.619,-0.1166,-0.1019,-0.0137,133.9
19:11:46:021,0.3878,0.1368,9.4252,41.4695,-0.1522,-0.0817,-0.0052,133.99
19:11:46:041,0.4221,0.1479,9.4869,41.5569,-0.1496,-0.1296,0.0092,134.06
19:11:46:061,0.452,0.1728,9.5202,41.586,-0.1256,-0.1301,0.0113,134.12
19:11:46:081,0.5998,0.1264,9.5136,41.6387,-0.1049,-0.0859,-0.01,134.17
19:11:46:102,0.3865,0.2014,9.4907,41.6043,-0.1182,-0.0865,-0.0137,134.24
19:11:46:121,0.3517,0.0738,9.7213,41.898,-0.1379,-0.0993,-0.002,134.31
19:11:46:141,0.2987,-0.0276,10.024,41.7579,-0.1139,-0.0785,0.0283,134.36
19:11:46:161,0.2926,-0.0109,10.1988,41.7681,-0.042,-0.0732,0.0709,134.38
19:11:46:181,0.3749,0.0167,10.0939,41.7198,0.0538,-0.0338,0.1039,134.35
19:11:46:204,0.4251,0.1082,9.776,41.7826,0.124,0.0221,0.1156,134.29
19:11:46:221,0.4381,0.1664,9.4563,41.9223,0.1437,0.0136,0.1039,134.22
19:11:46:241,0.3448,0.1381,9.3188,42.0505,0.1155,-0.0125,0.0683,134.17
19:11:46:261,-0.501,-0.5871,9.5107,41.9465,0.0692,0.0562,0.1465,134.16
19:11:46:281,0.2842,-0.1989,9.5091,42.0827,0.0165,0.0391,0.287,134.07
19:11:46:301,0.4218,0.1994,9.7218,42.1627,-0.057,0.1834,0.2535,133.82
19:11:46:321,0.3299,0.365,9.9635,42.2333,-0.0511,0.3841,0.1619,133.62
19:11:46:341,-0.0023,0.3636,9.9244,42.2758,0.058,0.5086,0.1279,133.52
19:11:46:361,-0.0631,0.5428,9.7741,42.3225,0.1283,0.5113,0.0645,133.37
19:11:46:381,-0.1763,0.4018,9.7837,42.5662,0.0846,0.2042,-0.0584,133.29
19:11:46:401,-0.5099,-0.0396,10.2474,42.5646,-0.0133,-0.2158,-0.1234,133.35
19:11:46:422,-0.6995,-0.4433,10.8031,42.7847,-0.041,-0.2792,-0.0574,133.49
19:11:46:441,-0.7325,-0.3682,10.93,42.9743,0.0623,0.1339,0.1114,133.55
19:11:46:461,-0.4949,0.049,9.975,43.2255,0.2539,0.4873,0.2897,133.42
19:11:46:481,-0.0237,0.766,8.8333,43.2423,0.3577,0.621,0.295,133.08
19:11:46:502,-0.1597,1.6597,8.1173,43.5193,0.3556,0.5448,0.2013,132.72
19:11:46:521,-0.2336,1.7923,7.679,43.8291,0.2938,0.2813,0.08,132.47
19:11:46:541,-0.3632,1.5004,7.6449,43.975,0.1698,-0.029,-0.0377,132.36
19:11:46:561,-0.7146,1.1424,8.2926,44.1521,0,-0.2164,-0.1207,132.4
