Time,Cell_Type,Cell_ID,Cell_RSSI
18:47,['Lte'],[296],[-61]
18:47,['Lte'],[296],[-63]
18:47,['Lte'],[296],[-64]
18:47,['Lte'],[296],[-65]
18:47,['Lte'],[296],[-60]
18:47,['Lte'],[296],[-63]
18:47,['Lte'],[296],[-63]
18:47,"['Lte', 'Lte']","[296, 117]","[-68, -86]"
18:47,"['Lte', 'Lte']","[296, 117]","[-69, -91]"
18:47,"['Lte', 'Lte']","[296, 117]","[-66, -88]"
18:47,['Lte'],[296],[-65]
18:47,"['Lte', 'Lte']","[296, 117]","[-68, -89]"
18:47,"['Lte', 'Lte']","[296, 117]","[-70, -90]"
18:47,"['Lte', 'Lte']","[296, 117]","[-72, -94]"
18:47,['Lte'],[296],[-82]
18:47,['Lte'],[296],[-73]
18:47,['Lte'],[296],[-75]
18:47,['Lte'],[296],[-81]
18:47,['Lte'],[296],[-76]
18:47,['Lte'],[296],[-74]
18:47,['Lte'],[296],[-75]
18:48,"['Lte', 'Lte']","[296, 298]","[-72, -91]"
18:48,"['Lte', 'Lte']","[296, 298]","[-76, -90]"
18:48,"['Lte', 'Lte']","[296, 298]","[-67, -89]"
18:48,"['Lte', 'Lte']","[296, 298]","[-75, -97]"
18:48,"['Lte', 'Lte']","[296, 298]","[-83, -92]"
18:48,"['Lte', 'Lte']","[296, 298]","[-79, -95]"
18:48,"['Lte', 'Lte']","[296, 298]","[-83, -86]"
18:48,"['Lte', 'Lte']","[296, 298]","[-83, -87]"
18:48,"['Lte', 'Lte']","[296, 298]","[-85, -83]"
18:48,"['Lte', 'Lte']","[296, 298]","[-83, -92]"
18:48,"['Lte', 'Lte']","[296, 298]","[-81, -96]"
18:48,"['Lte', 'Lte']","[296, 298]","[-83, -98]"
18:48,"['Lte', 'Lte']","[296, 298]","[-77, -98]"
18:48,"['Lte', 'Lte']","[296, 298]","[-74, -87]"
18:48,"['Lte', 'Lte']","[296, 298]","[-70, -79]"
18:48,"['Lte', 'Lte']","[296, 298]","[-71, -83]"
18:48,"['Lte', 'Lte']","[296, 298]","[-79, -83]"
18:48,"['Lte', 'Lte']","[296, 298]","[-77, -80]"
18:48,"['Lte', 'Lte']","[296, 298]","[-79, -84]"
18:48,"['Lte', 'Lte']","[296, 298]","[-85, -89]"
18:48,"['Lte', 'Lte']","[296, 298]","[-87, -84]"
18:48,"['Lte', 'Lte']","[296, 298]","[-84, -85]"
18:48,"['Lte', 'Lte']","[296, 298]","[-93, -80]"
18:48,"['Lte', 'Lte']","[298, 296]","[-86, -77]"
18:48,"['Lte', 'Lte']","[296, 298]","[-83, -88]"
18:48,"['Lte', 'Lte']","[296, 298]","[-84, -87]"
18:48,"['Lte', 'Lte', 'Lte']","[298, 296, 460]","[-89, -89, -101]"
18:48,"['Lte', 'Lte', 'Lte']","[298, 296, 460]","[-91, -86, -97]"
18:48,"['Lte', 'Lte', 'Lte']","[298, 296, 460]","[-86, -90, -104]"
18:49,"['Lte', 'Lte', 'Lte']","[298, 296, 460]","[-92, -84, -105]"
18:49,"['Lte', 'Lte']","[296, 298]","[-85, -93]"
18:49,"['Lte', 'Lte']","[296, 298]","[-85, -97]"
18:49,"['Lte', 'Lte']","[296, 298]","[-87, -94]"
18:49,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[296, 298, 297, 257, 460, 172, 332, 176, 177, 331, 132]","[-96, -100, -106, -106, -107, -110, -115, -117, -121, -124, -131]"
18:49,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[296, 298, 297, 257, 460, 172, 332, 176, 177, 132]","[-100, -102, -105, -106, -111, -111, -113, -118, -128, -131]"
18:49,"['Lte', 'Lte', 'Lte', 'Lte']","[296, 257, 298, 297]","[-101, -100, -100, -105]"
18:49,"['Lte', 'Lte', 'Lte', 'Lte']","[296, 297, 298, 257]","[-97, -101, -108, -110]"
18:49,"['Lte', 'Lte', 'Lte', 'Lte']","[296, 297, 298, 257]","[-93, -101, -105, -106]"
18:49,"['Lte', 'Lte', 'Lte', 'Lte']","[296, 297, 298, 257]","[-92, -98, -105, -108]"
18:49,"['Lte', 'Lte', 'Lte', 'Lte']","[296, 298, 297, 257]","[-99, -102, -103, -106]"
18:49,"['Lte', 'Lte', 'Lte', 'Lte']","[296, 298, 297, 257]","[-100, -98, -100, -107]"
