Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
18:52:01:738,0.1619,0.0342,8.6627,45.1638,-0.0015,-0.1317,-0.0169,359.22
18:52:01:759,0.173,0.0639,9.1379,44.8985,-0.3022,-0.0476,0.0735,359.22
18:52:01:780,0.2136,-0.0293,10.1435,45.0824,-0.3203,-0.0481,0.1316,136.61
18:52:01:799,0.2544,-0.0728,10.7724,45.17,-0.0616,-0.0651,0.1577,136.5
18:52:01:820,0.274,0.0224,10.5638,45.0294,0.2604,-0.0806,0.1742,136.1
18:52:01:839,0.3876,0.227,9.8338,45.0692,0.426,-0.1125,0.1784,135.82
18:52:01:860,0.5615,0.4974,9.1925,45.1051,0.3807,-0.1274,0.105,135.54
18:52:01:881,0.495,0.5359,9.1001,45.091,0.212,-0.1056,0.0241,135.31
18:52:01:901,0.2359,0.4281,9.211,45.2599,0.0512,-0.0076,-0.002,135.19
18:52:01:920,-0.0111,0.3548,9.4248,45.3615,-0.027,0.0594,0.0012,135.15
18:52:01:940,-0.2242,0.2653,9.7174,45.5951,0.0038,0.0637,0.0214,135.15
18:52:01:959,-0.2726,0.171,10.1035,45.7219,0.1385,0.0472,0.0608,135.07
18:52:01:981,-0.1234,0.0923,9.9679,45.7951,0.2801,-0.0013,0.0954,135
18:52:01:998,0.1199,0.1292,9.7153,46.0317,0.3435,-0.08,0.0959,134.95
18:52:02:019,0.4253,0.1646,9.5209,46.1511,0.3057,-0.1125,0.0794,134.86
18:52:02:039,0.5796,0.1002,9.4906,46.3524,0.2035,-0.0561,0.0693,134.81
18:52:02:059,0.5878,0.0677,9.4861,46.5551,0.1199,0.0339,0.1097,134.77
18:52:02:080,0.7238,0.1567,9.3315,46.6159,0.0715,0.0727,0.1672,134.74
18:52:02:103,1.0208,0.3834,9.1679,46.786,0.0454,0.004,0.172,134.67
18:52:02:119,1.2549,0.508,9.2104,46.6919,0.0257,-0.0758,0.138,134.53
18:52:02:139,1.4074,0.5681,9.2555,46.7135,-0.0004,-0.0891,0.1028,134.39
18:52:02:160,1.4525,0.6253,9.262,46.7961,-0.0531,-0.055,0.072,134.29
18:52:02:180,1.485,0.6786,9.2779,46.8794,-0.1095,-0.0369,0.0256,134.24
18:52:02:201,1.3206,0.6166,9.4209,46.9233,-0.1585,-0.0401,-0.026,134.22
18:52:02:220,1.0404,0.5206,9.7171,46.7091,-0.1628,-0.0598,-0.0457,134.27
18:52:02:239,0.8328,0.4433,9.9158,46.6756,-0.1138,-0.0587,-0.0324,134.36
18:52:02:260,0.746,0.4669,9.8831,46.8456,-0.059,-0.0433,-0.0047,134.49
18:52:02:279,0.7067,0.508,9.8015,46.6365,-0.0265,-0.0273,0.023,134.59
18:52:02:299,0.7518,0.5708,9.7513,46.6862,-0.0121,-0.0071,0.0134,134.65
18:52:02:319,0.7154,0.5475,9.6926,46.6862,-0.0105,-0.0007,-0.0153,134.66
18:52:02:339,0.6457,0.5063,9.6061,46.6601,-0.0196,0.0158,-0.0393,134.68
18:52:02:359,0.5667,0.4871,9.4987,46.4531,-0.0409,0.0099,-0.0547,134.72
18:52:02:380,0.5429,0.3926,9.4674,46.5087,-0.0643,-0.0273,-0.0595,134.78
18:52:02:401,0.5431,0.312,9.5534,46.4029,-0.0765,-0.055,-0.0462,134.85
18:52:02:420,0.6025,0.2643,9.6586,46.6363,-0.0707,-0.038,-0.0116,134.93
18:52:02:440,0.6974,0.2697,9.6522,46.4971,-0.0414,-0.0199,0.0209,134.99
18:52:02:459,0.788,0.3353,9.5156,46.6666,-0.0164,-0.022,0.0411,135
18:52:02:479,0.8707,0.4041,9.4497,46.535,-0.0217,-0.0343,0.0384,134.98
18:52:02:499,0.8794,0.3971,9.547,46.2917,-0.0334,-0.0406,0.0256,134.94
18:52:02:521,0.8642,0.363,9.7113,46.2475,-0.0206,-0.0465,0.0198,134.9
18:52:02:539,0.8489,0.3579,9.7287,46.3791,-0.0073,-0.0076,0.0299,134.88
18:52:02:559,0.882,0.4321,9.5911,46.3429,-0.0143,0.0317,0.0352,134.87
18:52:02:579,0.8944,0.4707,9.5103,46.3588,-0.0164,0.003,0.0145,134.84
18:52:02:599,0.8893,0.4042,9.6533,46.0893,-0.0169,-0.0337,-0.0164,134.81
18:52:02:619,0.7754,0.2959,9.7721,46.2205,0.0001,-0.0034,-0.0228,134.79
18:52:02:639,0.6589,0.2303,9.67,46.1608,0.0161,0.0402,-0.0031,134.8
18:52:02:660,0.6573,0.2453,9.4984,46.424,0.0171,0.0413,0.0177,134.83
