Time,Cell_Type,Cell_ID,Cell_RSSI
18:42,['Lte'],[297],[-81]
18:42,['Lte'],[297],[-74]
18:42,['Lte'],[297],[-83]
18:42,['Lte'],[297],[-72]
18:42,['Lte'],[297],[-76]
18:42,['Lte'],[297],[-78]
18:42,['Lte'],[297],[-79]
18:42,['Lte'],[297],[-81]
18:42,['Lte'],[297],[-83]
18:42,['Lte'],[297],[-90]
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-86, -95, -100]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-88, -94, -103]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-82, -95, -99]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-83, -96, -103]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-83, -95, -100]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-92, -101, -110]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-83, -93, -96]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-82, -94, -98]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-91, -101, -103]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-87, -97, -101]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 295, 300]","[-88, -86, -100]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 295, 300]","[-82, -85, -94]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 295, 300]","[-77, -87, -89]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 295, 300]","[-80, -88, -92]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-81, -92, -93]"
18:43,"['Lte', 'Lte', 'Lte']","[297, 300, 295]","[-73, -84, -92]"
18:43,"['Lte', 'Lte']","[297, 295]","[-79, -103]"
18:43,"['Lte', 'Lte']","[297, 295]","[-81, -88]"
18:43,"['Lte', 'Lte']","[297, 295]","[-85, -96]"
18:43,"['Lte', 'Lte']","[297, 295]","[-84, -96]"
18:43,"['Lte', 'Lte']","[297, 295]","[-86, -95]"
18:43,"['Lte', 'Lte']","[297, 295]","[-87, -101]"
18:43,"['Lte', 'Lte']","[297, 295]","[-84, -98]"
18:43,"['Lte', 'Lte']","[297, 295]","[-95, -98]"
18:43,"['Lte', 'Lte']","[297, 295]","[-86, -111]"
18:43,"['Lte', 'Lte']","[297, 295]","[-79, -99]"
18:43,"['Lte', 'Lte']","[297, 295]","[-76, -140]"
18:43,"['Lte', 'Lte']","[297, 295]","[-73, -140]"
18:43,"['Lte', 'Lte']","[297, 295]","[-74, -95]"
18:44,"['Lte', 'Lte']","[297, 295]","[-85, -111]"
18:44,"['Lte', 'Lte']","[297, 295]","[-92, -111]"
18:44,"['Lte', 'Lte']","[297, 295]","[-85, -110]"
18:44,['Lte'],[297],[-89]
18:44,['Lte'],[297],[-84]
18:44,['Lte'],[297],[-88]
18:44,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[297, 296, 295, 176, 85]","[-87, -95, -105, -126, -126]"
18:44,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[297, 296, 295, 257, 176, 85]","[-88, -96, -104, -106, -127, -130]"
