Time,Cell_Type,Cell_ID,Cell_RSSI
18:56,['Lte'],[296],[-72]
18:56,['Lte'],[296],[-64]
18:56,['Lte'],[296],[-65]
18:56,['Lte'],[296],[-57]
18:56,['Lte'],[296],[-60]
18:56,['Lte'],[296],[-66]
18:56,['Lte'],[296],[-62]
18:57,['Lte'],[296],[-63]
18:57,['Lte'],[296],[-63]
18:57,['Lte'],[296],[-63]
18:57,['Lte'],[296],[-64]
18:57,['Lte'],[296],[-64]
18:57,['Lte'],[296],[-67]
18:57,['Lte'],[296],[-72]
18:57,['Lte'],[296],[-74]
18:57,['Lte'],[296],[-74]
18:57,['Lte'],[296],[-74]
18:57,['Lte'],[296],[-82]
18:57,"['Lte', 'Lte']","[296, 298]","[-74, -96]"
18:57,"['Lte', 'Lte']","[296, 298]","[-70, -90]"
18:57,"['Lte', 'Lte']","[296, 298]","[-70, -92]"
18:57,"['Lte', 'Lte']","[296, 298]","[-74, -140]"
18:57,"['Lte', 'Lte']","[296, 298]","[-66, -88]"
18:57,"['Lte', 'Lte']","[296, 298]","[-77, -100]"
18:57,"['Lte', 'Lte']","[296, 298]","[-74, -92]"
18:57,"['Lte', 'Lte']","[296, 298]","[-77, -96]"
18:57,"['Lte', 'Lte']","[296, 298]","[-76, -90]"
18:57,"['Lte', 'Lte']","[296, 298]","[-79, -91]"
18:57,"['Lte', 'Lte']","[296, 298]","[-86, -84]"
18:57,"['Lte', 'Lte']","[296, 298]","[-81, -81]"
18:57,"['Lte', 'Lte']","[296, 298]","[-84, -91]"
18:57,"['Lte', 'Lte']","[296, 298]","[-81, -90]"
18:57,"['Lte', 'Lte']","[296, 298]","[-84, -91]"
18:57,"['Lte', 'Lte']","[296, 298]","[-78, -92]"
18:57,"['Lte', 'Lte']","[296, 298]","[-78, -86]"
18:57,"['Lte', 'Lte']","[296, 298]","[-69, -90]"
18:57,"['Lte', 'Lte']","[296, 298]","[-70, -79]"
18:58,"['Lte', 'Lte']","[296, 298]","[-77, -86]"
18:58,"['Lte', 'Lte']","[296, 298]","[-74, -77]"
18:58,"['Lte', 'Lte']","[296, 298]","[-83, -68]"
18:58,"['Lte', 'Lte']","[296, 298]","[-78, -78]"
18:58,"['Lte', 'Lte']","[296, 298]","[-82, -80]"
18:58,"['Lte', 'Lte']","[296, 298]","[-81, -75]"
18:58,"['Lte', 'Lte']","[296, 298]","[-75, -86]"
18:58,"['Lte', 'Lte']","[296, 298]","[-79, -91]"
18:58,"['Lte', 'Lte']","[296, 298]","[-79, -86]"
18:58,"['Lte', 'Lte', 'Lte']","[296, 298, 460]","[-86, -83, -96]"
18:58,"['Lte', 'Lte', 'Lte']","[296, 298, 460]","[-88, -86, -97]"
18:58,"['Lte', 'Lte', 'Lte']","[296, 298, 460]","[-92, -92, -100]"
18:58,"['Lte', 'Lte', 'Lte']","[296, 298, 460]","[-92, -89, -103]"
