Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
18:56:45:346,0.7828,0.4454,10.5915,58.9351,0.025,0.5015,0.1826,307.7344
18:56:45:479,-0.5722,0.5578,9.871,58.6892,-0.0611,0.0128,-0.1106,21.2812
18:56:45:499,-0.5961,0.5459,10.0241,58.6957,-0.0672,-0.0043,-0.0953,21.2812
18:56:45:519,-0.5339,0.51,10.0098,58.7563,-0.0507,0.0024,-0.0666,21.2812
18:56:45:539,-0.5004,0.5195,9.9835,59.0239,-0.0275,0.0049,-0.0556,21.2812
18:56:45:560,-0.4956,0.5243,10.0098,58.9976,-0.0116,0.0018,-0.0599,21.2812
18:56:45:577,-0.4884,0.5171,10.0457,59.0737,0.0006,0.011,-0.0672,21.2812
18:56:45:595,-0.4597,0.5363,10.0289,59.0654,0.0116,0.0324,-0.0751,21.2812
18:56:45:613,-0.5243,0.5937,9.9212,59.2113,0.0226,0.0403,-0.088,21.2812
18:56:45:633,-0.5841,0.6296,9.8375,59.0746,0.0238,0.0122,-0.0971,21.2812
18:56:45:655,-0.5578,0.6535,9.8157,58.9106,0.0098,-0.0012,-0.0855,21.2812
18:56:45:673,-0.5315,0.6703,9.8447,58.8663,-0.0122,0.0195,-0.0739,21.2812
18:56:45:691,-0.5746,0.6823,9.8157,58.8737,-0.0269,0.0476,-0.0709,21.2812
18:56:45:710,-0.6966,0.6966,9.7822,58.8493,-0.0312,0.0409,-0.0641,21.2812
18:56:45:729,-0.6846,0.6511,9.7965,58.9379,-0.0312,0.0037,-0.0397,21.2812
18:56:45:748,-0.4884,0.577,9.8207,59.0343,-0.036,-0.0037,-0.0006,21.2812
18:56:45:769,-0.3544,0.4693,9.8901,59.1585,-0.0501,0.0263,0.0177,21.2812
18:56:45:790,-0.3162,0.4597,9.9069,59.1106,-0.0654,0.0513,0.0104,21.2812
18:56:45:808,-0.4478,0.4669,9.9117,59.4672,-0.055,0.0128,-0.0195,21.4375
18:56:45:831,-0.5148,0.5315,9.8973,59.5407,-0.0342,-0.0183,-0.0348,21.4531
18:56:45:847,-0.498,0.5243,9.9619,59.3848,-0.0403,0.036,-0.0226,21.5781
18:56:45:867,-0.4645,0.5506,9.9787,59.2293,-0.036,0.0782,-0.0165,21.5938
18:56:45:888,-0.5554,0.565,9.8614,59.4902,-0.0134,0.0574,-0.0367,21.7188
18:56:45:911,-0.6153,0.6248,9.7343,59.3595,-0.0098,0.0305,-0.0428,21.7344
18:56:45:931,-0.6607,0.6583,9.7104,59.298,-0.0226,0.0269,-0.0367,21.9219
18:56:45:947,-0.6224,0.6846,9.6841,59.4632,-0.0367,0.0574,-0.0214,22.125
18:56:45:969,-0.5937,0.7181,9.5644,59.3242,-0.0513,0.0733,-0.0134,22.125
18:56:45:992,-0.5554,0.7277,9.6529,59.239,-0.0764,0.069,-0.0147,22.2656
18:56:46:009,-0.4525,0.6942,9.7391,59.2421,-0.0983,0.1045,-0.0079,22.2656
18:56:46:031,-0.2321,0.632,9.8013,59.3695,-0.0904,0.11,-0.0195,22.3125
18:56:46:048,-0.0431,0.553,9.9547,59.0574,-0.0593,0.0452,-0.0751,22.3125
18:56:46:069,-0.0096,0.5841,10.0696,59.0677,-0.0134,-0.0464,-0.1515,27.9219
18:56:46:093,-0.0694,0.6607,10.0122,58.9638,0.0299,-0.0928,-0.1949,27.9219
18:56:46:107,-0.1077,0.6535,9.9739,58.9295,0.0544,-0.0727,-0.182,28.0312
18:56:46:129,0.0431,0.644,9.9571,59.0197,0.0764,0.0049,-0.1228,28.0312
18:56:46:148,0.1364,0.6583,9.7702,58.8369,0.1008,0.0935,-0.0745,28.0625
18:56:46:169,0.1531,0.6129,9.6171,58.7608,0.1209,0.1216,-0.0593,28.0781
18:56:46:188,0.1412,0.5961,9.7343,58.8638,0.1209,0.1191,-0.0623,28.1406
18:56:46:211,0.0167,0.5435,9.926,58.9144,0.113,0.1277,-0.0782,28.1562
18:56:46:230,-0.1842,0.5363,9.9571,58.9812,0.1191,0.1545,-0.0794,28.2188
18:56:46:249,-0.498,0.5985,10.0576,58.9407,0.1582,0.1374,-0.0666,28.2188
18:56:46:269,-0.6799,0.7469,10.3687,58.9252,0.3042,0.0195,-0.0593,28.2344
18:56:46:294,-0.8282,0.6966,10.0002,58.8599,0.587,-0.1417,-0.0684,28.2188
18:56:46:308,-0.7588,0.5985,7.8287,59.1024,0.8668,-0.1136,-0.2388,28.2344
18:56:46:331,-1.4653,0.7708,7.7091,59.3109,0.3897,0.19,-0.2138,28.2188
18:56:46:347,-1.5706,1.0941,8.7864,59.2849,-0.2138,0.3219,0.0183,28.4375
18:56:46:369,-1.1827,1.3358,9.9763,59.3674,-0.5669,0.1063,0.1649,28.4219
18:56:46:394,-0.984,1.6113,10.7064,59.5571,-0.6622,-0.1063,0.124,28.8125
18:56:46:408,-1.1085,2.0375,11.1374,59.5006,-0.6493,-0.08,0.0043,28.8281
18:56:46:429,-1.4342,2.394,11.5828,59.5998,-0.5999,0.1246,-0.1203,29.0312
18:56:46:448,-1.7142,2.7652,11.2642,59.7857,-0.4496,0.2694,-0.1997,29.0312
18:56:46:470,-1.8864,2.9399,10.515,59.848,-0.234,0.1527,-0.2254,29.1562
