Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
13:58:10:093,-0.7708,1.9801,9.318,57.0642,0.2028,0.0819,-0.0116,88.2344
13:58:10:226,-0.146,1.8051,9.2701,57.5103,0.077,-0.2596,-0.3854,238.0312
13:58:10:244,0.2465,2.0016,9.3682,57.5017,-0.3787,0.1277,-0.3909,238.0312
13:58:10:264,-0.1029,1.319,9.2749,57.6016,-0.678,0.3854,-0.2773,238.0312
13:58:10:283,-0.6799,0.8955,9.1454,57.5846,-0.7898,0.3946,-0.011,238.0312
13:58:10:303,-0.7875,1.1372,9.5788,57.707,-0.7458,0.2785,0.2028,238.0312
13:58:10:322,-0.1412,1.5538,10.1151,57.8408,-0.5553,0.1338,0.2297,238.0312
13:58:10:341,0.2994,2.0112,10.9555,57.7328,-0.2779,0.281,0.1216,238.0312
13:58:10:360,0.8019,2.1308,11.0991,57.6288,-0.0116,0.6768,-0.069,238.0312
13:58:10:379,1.0104,1.4629,10.1581,57.6645,0.2089,0.7391,-0.2602,238.0312
13:58:10:399,-1.4151,1.5467,9.4161,57.7131,0.394,0.5803,-0.2987,238.0312
13:58:10:421,-1.0869,1.8386,8.4081,57.6207,0.4429,0.4539,-0.1796,238.0312
13:58:10:437,-1.2903,1.5802,8.5612,57.5757,0.2792,0.2156,-0.102,238.0312
13:58:10:456,-1.1061,1.9968,8.8798,57.5379,0.0208,0.1026,-0.1179,238.0312
13:58:10:476,-0.9218,1.7046,9.3873,57.9412,-0.16,0.0928,-0.1765,238.0312
13:58:10:495,-1.6591,1.3789,9.5022,58.1559,-0.2346,0.0489,-0.2614,238.0312
13:58:10:514,-1.8625,1.197,9.562,58.4658,-0.1949,-0.1344,-0.1888,241.9219
13:58:10:534,-1.6089,1.2257,9.7798,58.6238,-0.1008,-0.4343,-0.0232,241.9531
13:58:10:554,-1.0152,1.506,10.3304,58.6833,-0.0281,-0.7055,0.1313,242.6094
13:58:10:574,0.055,1.9896,11.0297,58.6499,0.0312,-0.7159,0.204,242.2812
13:58:10:592,0.4262,2.1595,10.5891,58.6812,0.0745,-0.3873,0.1484,242.2812
13:58:10:613,-0.0502,2.1715,10.4671,58.5828,0.0397,-0.1588,0.0214,241.8594
13:58:10:633,-0.5004,1.9032,10.3567,58.1542,0.0037,-0.0379,-0.0629,241.8125
13:58:10:655,-0.6511,1.6089,10.005,57.9561,0.033,-0.0287,-0.0953,241.8125
13:58:10:673,-0.9434,1.5275,9.5644,57.596,0.0812,-0.0959,-0.0849,242.0625
13:58:10:693,-1.6878,1.8051,9.1406,57.5957,0.1191,-0.2859,0.0153,242.0625
13:58:10:714,-0.766,1.5538,8.9276,57.5043,0.0922,-0.4435,0.2651,242.5625
13:58:10:732,-0.3305,1.506,8.9157,57.3105,-0.0354,-0.4184,0.3818,242.5625
13:58:10:755,-0.2827,1.4605,9.0951,57.226,-0.2138,-0.4184,0.383,242.7969
13:58:10:773,-0.2106,1.2305,9.507,56.8052,-0.3494,-0.5052,0.405,242.7969
13:58:10:794,0.2608,1.1468,10.0241,56.6257,-0.3628,-0.5852,0.4948,243.25
13:58:10:813,1.0199,1.3669,10.4671,56.3536,-0.2566,-0.529,0.5882,243.5
13:58:10:834,1.4629,1.7788,10.7542,56.1939,-0.0874,-0.2187,0.5687,243.5156
13:58:10:856,1.506,2.0255,10.206,55.7453,0.0977,0.2419,0.4264,243.2969
13:58:10:873,1.1779,2.1595,9.3395,55.5907,0.223,0.452,0.2181,243.2812
13:58:10:894,0.7421,2.2265,8.9085,55.4653,0.2315,0.3402,0.0428,243.1562
13:58:10:913,0.4621,2.1595,8.8008,55.5259,0.1625,0.1668,-0.044,243.1406
13:58:10:933,0.3927,2.1308,8.8056,55.6967,0.0831,0.058,-0.0312,243.3125
13:58:10:956,0.5626,2.2552,9.0066,55.4759,0.0293,-0.014,0.0373,243.3281
13:58:10:973,0.6966,2.4969,9.3036,55.6069,0.0128,-0.0354,0.1002,243.4375
13:58:10:993,0.7995,2.6815,9.306,55.483,0.0342,0.0312,0.1295,243.4531
13:58:11:014,0.7229,2.7987,9.2339,55.5031,0.0531,0.1307,0.1191,242.875
13:58:11:034,0.6464,2.8178,9.186,55.1527,0.0269,0.2162,0.088,242.8125
13:58:11:059,0.6511,2.758,9.2868,55.0177,-0.044,0.2749,0.0495,242.0625
13:58:11:076,0.5722,2.6264,9.629,54.6079,-0.1222,0.2859,0.0079,242
13:58:11:094,0.3544,2.4299,9.8782,54.5278,-0.0391,0.2847,0.011,240.9688
13:58:11:115,0.4167,2.6815,9.5907,54.4454,0.1051,0.2993,0.0776,240.8594
