Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
10:45:44:731,-0.0335,1.4055,9.1047,57.0891,0.0776,0.1765,-0.3671,32.1875
10:45:44:752,-0.2728,1.7955,8.9659,57.1454,-0.0696,0.3042,-0.2016,32.1875
10:45:44:769,-0.1292,1.4725,8.8152,57.0632,-0.1912,0.1423,-0.0745,32.1875
10:45:44:787,0.4908,1.6639,8.9109,57.0616,-0.3384,-0.1179,-0.0751,32.1875
10:45:44:806,0.5291,1.3334,9.4304,57.0161,-0.4697,-0.2071,-0.1979,32.1875
10:45:44:827,0.5626,1.2329,10.1845,56.8662,-0.5174,0.0024,-0.281,32.1875
10:45:44:845,0.4143,1.3502,10.9651,56.8261,-0.4838,0.3757,-0.3329,32.1875
10:45:44:865,-0.201,1.343,10.7542,56.9773,-0.306,0.4007,-0.3415,32.1875
10:45:44:883,-0.6918,1.439,10.6059,57.0722,-0.0336,-0.0874,-0.2981,32.1875
10:45:44:904,-0.7325,1.4079,10.5389,57.0675,0.1759,-0.5247,-0.2126,32.1875
10:45:44:922,-0.1436,1.5969,10.328,57.1474,0.2761,-0.5699,-0.0904,32.1875
10:45:44:941,0.3138,1.5802,9.7893,57.1931,0.3244,-0.4013,-0.0012,32.1875
10:45:44:962,0.4454,1.5706,9.2988,57.141,0.3653,-0.4178,-0.0067,32.1875
10:45:44:980,0.2874,1.5634,9.1549,57.42,0.347,-0.6677,-0.0733,32.1875
10:45:45:001,0.2827,1.7548,9.0497,57.5474,0.2236,-0.7202,-0.0776,32.1875
10:45:45:019,0.28,1.7213,8.164,57.3347,0.0165,-0.6084,0.0183,32.1875
10:45:45:039,0.9242,1.7189,9.5142,57.1524,-0.2712,-0.8625,0.1381,32.1875
10:45:45:072,1.5897,1.6567,10.8739,57.1353,-0.4074,-1.0354,0.1381,32.1875
10:45:45:080,1.7142,1.063,10.4958,57.0348,-0.1704,-0.9694,0.0232,32.3281
10:45:45:098,1.2544,1.6352,10.0648,57.0285,0.0684,-0.7746,-0.1405,32.8281
10:45:45:119,1.0319,1.7189,10.285,56.788,0.1527,-0.3909,-0.1881,32.8281
10:45:45:139,1.1515,1.6496,10.1964,56.7277,0.2303,0.2266,-0.0159,33.4688
10:45:45:163,1.051,1.5993,9.6027,56.6158,0.2645,0.5174,0.1478,33.4688
10:45:45:179,1.0415,1.398,8.3291,56.4479,0.1888,0.0806,0.201,34.1562
10:45:45:199,1.3478,1.2185,7.6899,56.2705,-0.0299,-0.8815,0.1686,34.1562
10:45:45:219,2.0925,1.4677,8.2334,56.1103,-0.3641,-1.5498,0.1252,34.1719
10:45:45:239,1.9582,1.7237,8.5732,56.0162,-0.6768,-1.631,0.0867,34.3594
10:45:45:259,1.2855,1.3956,7.8144,55.558,-0.9346,-1.8387,0.1484,34.3594
10:45:45:279,2.2433,1.185,9.3778,55.5098,-1.1368,-2.6719,0.281,34.5625
10:45:45:298,4.5129,0.9051,12.6024,55.0702,-1.0617,-2.893,0.3097,34.7812
10:45:45:319,5.2167,0.8692,12.3703,54.3938,-0.4673,-1.9071,0.1668,34.7812
10:45:45:338,3.0957,0.766,9.6099,54.0756,0.0922,-0.879,-0.0354,34.7031
10:45:45:359,-0.3784,1.0319,9.5764,53.8811,0.2187,-0.5693,0.0043,34.7031
10:45:45:379,0.0431,0.6799,10.9675,53.6965,0.2883,-0.193,0.543,35.0156
10:45:45:399,5.1449,1.6639,9.5764,53.4942,0.656,0.4423,1.4246,35.0156
10:45:45:420,7.2278,1.7836,6.3203,53.226,0.7764,0.6011,1.6433,35.2188
10:45:45:438,6.871,0.3903,7.5461,53.0186,0.3415,0.1246,1.0042,35.2344
10:45:45:460,6.5815,-0.1125,7.7904,52.6336,-0.2297,0.157,0.2254,34.8125
10:45:45:479,4.7979,0.498,8.8223,52.691,-0.5589,-0.1014,-0.4172,34.7656
10:45:45:500,3.414,1.1085,10.1868,52.6191,-0.5388,0.8656,-0.7367,34.7344
10:45:45:521,2.9183,1.0128,10.218,52.9208,-0.3769,1.3775,-0.6499,34.7344
10:45:45:539,2.5499,0.9218,11.0704,52.8985,-0.1179,1.5834,-0.5534,34.9688
10:45:45:559,2.825,0.8524,11.1326,53.079,0.2388,1.9047,-0.46,34.9844
10:45:45:579,3.1244,0.7971,10.6298,53.4066,0.5797,2.2834,-0.5088,35.0938
10:45:45:599,2.5427,1.0463,9.7343,53.669,0.766,2.5046,-0.7013,35.2188
10:45:45:618,1.4438,1.2449,9.0305,54.0571,0.7898,2.2779,-0.7886,35.2188
10:45:45:639,0.9912,1.2832,8.7362,54.2728,0.6292,1.6365,-0.6915,34.625
10:45:45:660,1.5586,1.5467,9.5309,54.5102,0.3793,0.9627,-0.6151,34.625
10:45:45:680,1.3693,1.5873,9.9906,54.6371,0.2346,0.6799,-0.6738,34.5625
10:45:45:699,0.4478,1.4414,9.3323,54.8339,0.2352,0.6438,-0.7397,30.8281
10:45:45:719,-0.0885,1.6543,8.5181,54.831,0.2364,0.4105,-0.6371,30.7969
10:45:45:738,0.0191,1.9582,8.4918,55.0806,0.0861,0.1112,-0.3763,29.4219
10:45:45:759,0.2393,1.9271,8.9515,55.133,-0.1961,0.0892,-0.1191,29.4062
10:45:45:779,0.2201,1.5562,9.3586,55.0101,-0.4355,0.2052,0.0079,30.9531
10:45:45:799,-0.1484,1.3573,9.775,55.1899,-0.5174,0.1747,0.0183,32.5469
10:45:45:819,-0.1699,1.3525,10.5126,55.2657,-0.4447,0.014,0.0287,32.5469
10:45:45:838,0.2441,1.2233,10.9555,55.3261,-0.2553,-0.0281,0.1002,33.4531
10:45:45:859,0.297,1.1755,10.5341,55.5759,-0.0214,0.0562,0.1521,33.4531
10:45:45:880,0.2273,1.1683,10.0289,55.6296,0.1704,-0.0208,0.1515,34.3125
10:45:45:899,0.4238,1.2281,9.8758,55.6589,0.2321,-0.1167,0.1344,34.3125
10:45:45:919,0.4908,1.1444,9.7678,55.5912,0.193,-0.047,0.0916,35.5312
10:45:45:939,0.4621,1.1635,9.562,55.775,0.113,0.0299,0.0458,35.5312
10:45:45:959,0.4836,1.2903,9.361,55.7381,0.0458,-0.0513,0.0067,36.6562
10:45:45:979,0.7851,1.506,9.6171,55.601,-0.0104,-0.223,-0.0519,36.7656
10:45:45:999,0.6583,1.6089,9.6171,55.4957,-0.0385,-0.2517,-0.1142,38.0469
10:45:46:021,0.4765,1.5826,9.4567,55.1422,-0.0409,-0.2052,-0.1161,38.1719
10:45:46:039,0.5818,1.9056,9.95,55.1199,-0.1252,-0.0458,-0.0055,38.6562
10:45:46:059,0.5506,1.7357,10.0863,55.015,-0.1155,0.0043,0.0354,38.7031
10:45:46:080,0.7277,1.5754,9.8734,55.0462,-0.0452,-0.0269,0.11,38.6562
10:45:46:099,1.0606,1.6496,9.7678,54.8066,-0.0055,-0.099,0.1478,38.5312
10:45:46:119,1.1276,1.6472,9.9284,54.5735,-0.0098,-0.0861,0.0837,38.5312
10:45:46:139,0.929,1.7166,9.993,54.6648,-0.0165,0.0171,0.0116,38.2188
10:45:46:159,0.929,1.8673,9.8518,54.6553,0.0257,0.0281,0.0092,38.2188
10:45:46:180,1.0175,2.0064,9.641,54.8142,0.091,-0.0385,0.0275,38.1719
10:45:46:199,1.0367,2.0327,9.6338,54.7553,0.1191,-0.0696,0.0421,37.9375
10:45:46:219,1.1611,2.0231,9.6745,54.8409,0.1087,0.0202,0.0715,37.9375
10:45:46:239,1.3549,2.059,9.6242,54.7809,0.0715,0.1698,0.1136,37.875
10:45:46:259,1.4773,2.1547,9.7319,54.9695,0.0574,0.1955,0.1063,37.875
10:45:46:280,1.6208,2.2241,9.5836,55.0435,0.1136,0.0947,0.0354,38.1094
10:45:46:298,1.7453,2.2098,9.2052,55.0055,0.1875,-0.0501,-0.0208,38.3281
10:45:46:320,1.7979,2.3677,9.0305,54.9144,0.1796,-0.102,-0.0617,38.3281
10:45:46:339,1.4868,2.3079,8.8582,54.8808,0.0983,-0.036,-0.1026,38.3125
10:45:46:359,1.252,2.2528,8.7673,54.9515,-0.0092,0.0348,-0.1057,38.3125
10:45:46:380,1.4557,2.3868,8.918,54.9073,-0.1497,0.0996,-0.044,38.0469
10:45:46:399,1.4414,2.2983,9.294,54.9855,-0.2688,0.1374,0.0037,38.0469
10:45:46:420,1.2568,2.1763,9.4663,54.9706,-0.3134,0.1258,0.0012,37.9375
10:45:46:439,1.1372,2.15,9.4352,55.1054,-0.2871,0.0397,-0.0189,37.9375
10:45:46:459,1.264,2.2265,9.6434,55.1328,-0.2724,-0.0342,-0.0275,37.9062
10:45:46:482,1.3836,2.2744,9.9236,55.3338,-0.2828,0.0012,-0.0421,37.8906
10:45:46:498,1.2185,2.2504,10.0265,55.1733,-0.2504,0.0959,-0.0855,37.7812
10:45:46:565,0.8186,2.1236,9.9093,55.4313,-0.1454,0.113,-0.1423,37.7656
10:45:46:565,0.833,2.2672,9.6769,55.1672,-0.0647,0.0806,-0.1674,37.5156
10:45:46:566,0.7516,2.1858,9.7367,55.2161,-0.0788,0.1472,-0.1991,37.5
10:45:46:582,0.4789,2.0207,9.6912,55.2119,-0.0776,0.1283,-0.2223,37.4688
10:45:46:598,0.7923,2.205,10.0648,55.1901,-0.1399,0.0916,-0.193,37.6406
10:45:46:618,0.929,2.0662,10.6274,55.3308,-0.1949,0.0977,-0.1686,37.6406
10:45:46:639,0.6679,1.5754,10.7614,55.3173,-0.1203,0.0977,-0.1778,37.6562
10:45:46:658,0.7947,1.5802,10.625,55.2698,-0.0098,0.124,-0.1839,37.7969
10:45:46:680,1.0439,1.6807,10.6418,55.1348,0.0183,0.1759,-0.1955,37.8125
10:45:46:699,0.7205,1.3478,10.649,55.2549,0.0275,0.1851,-0.2364,37.7969
10:45:46:719,0.4501,1.1922,10.3065,55.2255,0.0513,0.1185,-0.27,37.7969
10:45:46:738,0.4741,1.3669,10.2443,55.085,0.0238,0.0379,-0.2792,37.8594
10:45:46:760,0.3951,1.1731,10.3591,54.8966,-0.0147,-0.0244,-0.2767,37.7344
10:45:46:779,0.2489,0.8115,10.3519,54.8056,0.0098,-0.0641,-0.2504,26.5
10:45:46:799,0.2874,0.6679,10.1151,54.7779,0.0446,-0.0385,-0.2138,26.7188
10:45:46:819,0.4119,0.5913,10.2371,54.9329,0.0012,0.0409,-0.1833,26.7188
10:45:46:839,0.2225,0.4167,10.7901,54.9977,-0.0611,0.168,-0.1814,27.1094
