Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:13:20:562,-0.6751,3.0452,7.9603,66.5978,-0.2285,0.3146,0.4905,37.0469
19:13:20:692,-0.1795,4.3262,8.6139,65.4495,-0.0257,-0.0525,-0.036,60.0156
19:13:20:710,-0.364,4.4507,8.8152,65.7537,-0.014,-0.0024,-0.0403,60.0156
19:13:20:730,-0.5865,4.7354,8.6545,65.6447,0.055,0.0281,-0.0483,60.0156
19:13:20:749,-0.7229,4.8051,8.1975,65.7321,0.0837,0.0244,-0.0843,60.0156
19:13:20:768,-0.8764,4.611,8.1951,65.7327,0.0043,-0.014,-0.1313,60.0156
19:13:20:789,-1.0439,4.3813,8.741,65.7484,-0.1277,-0.0458,-0.1582,60.0156
19:13:20:809,-1.2927,4.2114,9.5429,65.36,-0.2248,-0.033,-0.1503,60.0156
19:13:20:827,-1.4557,4.2951,9.9428,65.5966,-0.2285,0.0446,-0.0941,60.0156
19:13:20:847,-1.4294,4.6397,9.8662,65.6413,-0.149,0.1515,-0.0092,60.0156
19:13:20:867,-1.2497,4.9175,9.3562,65.6119,-0.0147,0.2052,0.0568,60.0156
19:13:20:889,-1.1587,5.1879,8.4775,65.6335,0.1167,0.1924,0.077,56.8594
19:13:20:907,-1.2616,5.3509,7.7737,65.7009,0.1466,0.1503,0.0593,53.875
19:13:20:927,-1.3573,5.4203,7.6205,65.7824,0.0635,0.1026,0.0287,56.1719
19:13:20:947,-1.2903,5.4084,7.8694,66.0462,-0.0837,0.1203,0.0043,53.625
19:13:20:968,-1.2903,5.2956,8.298,66.0272,-0.2321,0.1759,-0.0183,52.2969
19:13:20:989,-1.4414,5.0946,8.863,65.9023,-0.2859,0.1607,-0.0397,49.3906
19:13:21:007,-1.7979,4.8864,8.9587,66.0295,-0.2114,0.1405,-0.036,52.4375
19:13:21:027,-1.9439,4.8601,8.4296,65.9715,-0.0819,0.1503,0.0275,50.2969
19:13:21:047,-1.8649,4.9774,7.8048,66.0459,0.0122,0.1527,0.1161,53.7656
19:13:21:068,-1.6831,5.1305,7.5221,66.0376,0.0556,0.1002,0.1888,52.8594
19:13:21:090,-1.4797,5.2167,7.3762,66.1723,0.0855,0.0098,0.2236,53
