Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
14:17:44:901,0.1699,2.3509,9.5094,61.9274,-0.1912,-0.1332,-0.0415,183.375
14:17:44:918,-0.2417,2.3318,9.0592,61.961,-0.168,0.0244,0.1155,183.375
14:17:44:938,0.1388,2.8633,8.4272,62.0804,-0.1399,0.0831,0.2883,183.375
14:17:44:956,0.5076,3.402,8.578,62.1294,-0.146,-0.0092,0.3476,183.375
14:17:44:975,0.699,3.6583,9.1789,61.753,-0.1313,-0.1356,0.2926,183.375
14:17:44:996,0.7732,3.6631,9.507,61.7556,-0.0678,-0.182,0.1839,183.375
14:17:45:017,0.5339,3.4953,9.4998,61.6918,-0.036,-0.0812,0.0641,183.375
14:17:45:034,0.2058,3.3063,9.3084,61.5512,-0.0556,0.0928,-0.0159,183.375
14:17:45:053,-0.0096,3.1842,9.3562,61.1856,-0.099,0.223,-0.047,183.375
14:17:45:073,-0.0287,3.1866,9.5453,61.162,-0.1106,0.2694,-0.0367,183.375
14:17:45:092,0.1029,3.2201,9.7869,61.1276,-0.0715,0.2639,-0.0104,183.375
14:17:45:114,0.1436,3.3398,9.7702,60.9341,-0.0073,0.2755,0.014,183.375
14:17:45:134,0.1172,3.5121,9.6147,60.8219,0.036,0.303,0.0208,183.375
14:17:45:153,-0.0239,3.5169,9.6506,60.6426,0.0409,0.3085,-0.0024,183.375
14:17:45:174,-0.213,3.3613,10.0911,60.4304,0.0373,0.2657,-0.0287,183.375
14:17:45:192,-0.364,3.1603,10.637,60.556,0.066,0.2217,-0.0238,183.375
14:17:45:214,-0.3927,3.0523,10.9938,60.7142,0.1234,0.2376,0.0189,183.375
14:17:45:233,-0.4119,3.038,10.7303,60.7617,0.1888,0.3146,0.0764,183.375
14:17:45:253,-0.4645,3.2369,10.3929,60.6787,0.2395,0.3158,0.1283,182.6562
14:17:45:273,-0.4095,3.335,10.4408,60.7922,0.273,0.179,0.1387,182.1562
14:17:45:293,-0.7493,3.1125,11.214,61.0954,0.2908,-0.0446,0.0721,182.1562
14:17:45:317,-1.6208,2.4802,11.7838,61.2439,0.3225,-0.1686,0.0098,182.0781
14:17:45:334,-2.2959,1.7979,11.4604,61.6204,0.3628,-0.1301,0.0776,182.0781
14:17:45:353,-2.3486,1.4773,10.7925,61.6328,0.3396,-0.0281,0.259,182.1094
14:17:45:373,-2.0518,1.2473,10.2036,61.6268,0.1857,0.0874,0.419,182.1094
14:17:45:393,-1.9199,0.9051,10.4958,61.5031,-0.0611,0.157,0.4954,182.0156
14:17:45:415,-2.0877,0.7062,11.2092,61.6641,-0.1912,0.149,0.5711,182.0156
14:17:45:434,-2.083,0.9505,10.9122,61.5369,-0.0635,0.1081,0.7251,181.9219
14:17:45:455,-1.6113,1.6113,9.574,61.5282,0.1368,0.0782,0.8863,181.9219
14:17:45:476,-0.9769,2.1643,8.6521,61.4123,0.1472,0.0428,0.9053,181.9219
14:17:45:494,-0.6105,2.205,8.7769,61.0144,-0.0287,0.0092,0.7483,181.9219
14:17:45:517,-0.7947,1.7118,9.6817,60.8422,-0.2132,-0.0147,0.5162,181.7812
14:17:45:535,-1.3741,0.8306,9.6601,60.6607,-0.1753,0.1442,0.4215,181.7812
