Time,Cell_Type,Cell_ID,Cell_RSSI
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-91, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-95, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-94, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-94, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-91, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-86, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-92, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-88, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-86, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-85, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-80, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-73, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-82, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-88, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-85, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-88, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-84, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-84, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-78, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-71, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-79, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-91, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-93, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-86, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-83, -113, -128]"
10:05,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-90, -113, -128]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-83, -113, -128]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-77, -113, -128]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-87, -113, -128]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-96, -113, -128]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-92, -113, -128]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-92, -113, -128]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 478, 482]","[-97, -113, -128]"
10:06,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 478, 482, 480]","[-103, -100, -134, -132, -125]"
10:06,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 480, 482, 478]","[-98, -112, -132, -132, -133]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 474, 480]","[-103, -105, -134]"
10:06,"['Lte', 'Lte']","[473, 474]","[-103, -102]"
10:06,"['Lte', 'Lte']","[473, 474]","[-98, -107]"
10:06,"['Lte', 'Lte']","[473, 474]","[-100, -100]"
10:06,"['Lte', 'Lte']","[473, 474]","[-100, -97]"
10:06,"['Lte', 'Lte']","[473, 474]","[-97, -99]"
10:06,"['Lte', 'Lte']","[473, 474]","[-99, -109]"
10:06,"['Lte', 'Lte']","[473, 474]","[-97, -111]"
10:06,"['Lte', 'Lte']","[473, 474]","[-93, -114]"
10:06,"['Lte', 'Lte']","[473, 474]","[-101, -111]"
10:06,"['Lte', 'Lte']","[473, 474]","[-102, -106]"
10:06,"['Lte', 'Lte']","[473, 474]","[-94, -107]"
10:06,"['Lte', 'Lte']","[473, 474]","[-96, -118]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 474, 477]","[-101, -107, -105]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 474, 477]","[-98, -106, -97]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 477, 474]","[-99, -100, -113]"
10:06,"['Lte', 'Lte', 'Lte']","[473, 477, 474]","[-104, -112, -108]"
10:06,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 477, 480]","[-105, -110, -110, -118]"
10:06,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 477, 474, 480]","[-106, -102, -111, -117]"
10:06,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-106, -113, -116]"
10:07,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-99, -113, -123]"
10:07,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-102, -111, -119]"
10:07,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-95, -110, -122]"
10:07,"['Lte', 'Lte', 'Lte']","[477, 473, 474]","[-100, -107, -123]"
10:07,"['Lte', 'Lte', 'Lte']","[477, 473, 492]","[-101, -98, -116]"
10:07,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 492, 124]","[-102, -99, -112, -124]"
10:07,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 492, 124]","[-101, -105, -121, -120]"
10:07,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 492, 124]","[-99, -102, -115, -122]"
10:07,"['Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 492, 124]","[-103, -96, -112, -132]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-98, -103, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-92, -109, -133]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-97, -108, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-102, -106, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-92, -107, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-86, -102, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-89, -105, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-89, -104, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-98, -103, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-92, -99, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-95, -105, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-96, -96, -127]"
10:07,"['Lte', 'Lte', 'Lte']","[473, 477, 124]","[-104, -97, -130]"
10:07,"['Lte', 'Lte', 'Lte']","[477, 473, 124]","[-97, -100, -132]"
10:07,"['Lte', 'Lte']","[477, 473]","[-94, -104]"
10:07,"['Lte', 'Lte']","[477, 473]","[-97, -109]"
10:07,"['Lte', 'Lte']","[477, 473]","[-90, -103]"
10:07,"['Lte', 'Lte']","[477, 473]","[-90, -101]"
10:07,"['Lte', 'Lte']","[477, 473]","[-84, -104]"
10:07,"['Lte', 'Lte']","[477, 473]","[-81, -102]"
10:08,"['Lte', 'Lte']","[477, 473]","[-81, -102]"
10:08,"['Lte', 'Lte']","[477, 473]","[-77, -102]"
10:08,"['Lte', 'Lte']","[477, 473]","[-77, -102]"
10:08,"['Lte', 'Lte']","[477, 473]","[-86, -104]"
10:08,"['Lte', 'Lte']","[477, 473]","[-82, -100]"
10:08,"['Lte', 'Lte']","[477, 473]","[-88, -109]"
10:08,"['Lte', 'Lte']","[477, 473]","[-85, -112]"
10:08,['Lte'],[477],[-83]
10:08,['Lte'],[477],[-75]
10:08,['Lte'],[477],[-83]
10:08,['Lte'],[477],[-91]
10:08,['Lte'],[477],[-94]
10:08,"['Lte', 'Lte']","[477, 473]","[-87, -108]"
10:08,"['Lte', 'Lte']","[477, 473]","[-87, -110]"
10:08,"['Lte', 'Lte']","[477, 473]","[-85, -103]"
10:08,"['Lte', 'Lte']","[477, 473]","[-86, -103]"
10:08,"['Lte', 'Lte']","[477, 473]","[-84, -104]"
10:08,"['Lte', 'Lte']","[477, 473]","[-87, -103]"
10:08,"['Lte', 'Lte']","[477, 473]","[-91, -102]"
10:08,"['Lte', 'Lte']","[477, 473]","[-90, -106]"
10:08,"['Lte', 'Lte']","[477, 473]","[-94, -102]"
10:08,"['Lte', 'Lte']","[477, 473]","[-92, -99]"
10:08,"['Lte', 'Lte']","[477, 473]","[-96, -97]"
10:08,"['Lte', 'Lte']","[477, 473]","[-94, -100]"
10:08,"['Lte', 'Lte']","[477, 473]","[-95, -105]"
10:08,"['Lte', 'Lte']","[477, 473]","[-97, -106]"
10:08,"['Lte', 'Lte']","[477, 473]","[-89, -111]"
10:08,"['Lte', 'Lte']","[477, 473]","[-97, -97]"
10:08,"['Lte', 'Lte']","[477, 473]","[-94, -100]"
10:09,"['Lte', 'Lte']","[477, 473]","[-98, -102]"
10:09,"['Lte', 'Lte']","[477, 473]","[-96, -115]"
10:09,"['Lte', 'Lte']","[477, 473]","[-95, -109]"
10:09,"['Lte', 'Lte']","[477, 473]","[-99, -116]"
10:09,"['Lte', 'Lte']","[477, 473]","[-101, -115]"
10:09,"['Lte', 'Lte']","[477, 473]","[-99, -117]"
10:09,"['Lte', 'Lte']","[477, 473]","[-99, -109]"
10:09,"['Lte', 'Lte']","[477, 473]","[-94, -114]"
10:09,"['Lte', 'Lte']","[477, 473]","[-93, -117]"
10:09,"['Lte', 'Lte']","[477, 473]","[-92, -113]"
10:09,"['Lte', 'Lte']","[477, 473]","[-93, -102]"
10:09,"['Lte', 'Lte']","[477, 473]","[-94, -110]"
10:09,"['Lte', 'Lte']","[477, 473]","[-92, -108]"
10:09,['Lte'],[477],[-95]
10:09,['Lte'],[477],[-92]
10:09,['Lte'],[477],[-89]
10:09,['Lte'],[477],[-91]
10:09,['Lte'],[477],[-88]
