Time,Cell_Type,Cell_ID,Cell_RSSI
19:05,"['Lte', 'Lte']","[478, 487]","[-114, -123]"
19:05,"['Lte', 'Lte']","[478, 487]","[-113, -129]"
19:05,"['Lte', 'Lte']","[478, 487]","[-116, -132]"
19:05,"['Lte', 'Lte', 'Lte', 'Lte']","[478, 309, 480, 487]","[-124, -118, -122, -126]"
19:05,"['Lte', 'Lte', 'Lte', 'Lte']","[478, 309, 480, 487]","[-125, -133, -125, -129]"
19:05,"['Lte', 'Lte']","[309, 478]","[-124, -125]"
19:06,"['Lte', 'Lte', 'Lte']","[309, 478, 480]","[-119, -120, -123]"
19:06,"['Lte', 'Lte']","[309, 480]","[-112, -121]"
19:06,"['Lte', 'Lte']","[309, 480]","[-120, -120]"
19:06,"['Lte', 'Lte']","[309, 480]","[-117, -119]"
19:06,"['Lte', 'Lte']","[309, 480]","[-116, -113]"
19:06,"['Lte', 'Lte']","[309, 480]","[-117, -113]"
19:06,"['Lte', 'Lte']","[309, 480]","[-112, -117]"
19:06,"['Lte', 'Lte', 'Lte']","[473, 474, 480]","[-82, -107, -106]"
19:06,['Lte'],[473],[-80]
19:06,['Lte'],[473],[-81]
19:06,"['Lte', 'Lte']","[473, 474]","[-82, -105]"
19:06,"['Lte', 'Lte', 'Lte']","[473, 474, 309]","[-81, -103, -103]"
19:06,['Lte'],[473],[-77]
19:06,['Lte'],[473],[-72]
19:06,['Lte'],[473],[-85]
19:06,['Lte'],[473],[-90]
19:06,['Lte'],[473],[-96]
19:06,['Lte'],[473],[-95]
19:06,['Lte'],[473],[-92]
19:06,['Lte'],[473],[-100]
19:06,"['Lte', 'Lte']","[473, 474]","[-98, -106]"
19:06,"['Lte', 'Lte']","[473, 474]","[-94, -106]"
19:06,"['Lte', 'Lte']","[473, 474]","[-98, -104]"
19:06,"['Lte', 'Lte']","[473, 474]","[-96, -104]"
19:06,"['Lte', 'Lte']","[473, 474]","[-100, -102]"
19:06,"['Lte', 'Lte']","[473, 474]","[-94, -104]"
19:06,"['Lte', 'Lte']","[473, 474]","[-94, -103]"
19:06,"['Lte', 'Lte']","[473, 474]","[-98, -104]"
19:06,"['Lte', 'Lte', 'Lte']","[473, 474, 477]","[-101, -104, -105]"
19:07,"['Lte', 'Lte', 'Lte']","[473, 477, 474]","[-95, -103, -106]"
19:07,"['Lte', 'Lte', 'Lte']","[473, 477, 474]","[-99, -100, -115]"
19:07,"['Lte', 'Lte', 'Lte']","[473, 477, 474]","[-96, -99, -117]"
19:07,"['Lte', 'Lte', 'Lte']","[473, 477, 474]","[-103, -109, -113]"
19:07,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 477, 474, 480, 481, 480]","[-108, -108, -118, -129, -128, -133]"
