Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
18:47:17:640,0.5219,0.7564,10.1294,61.0935,0.0904,0.1515,-0.0623,335.4375
18:47:17:789,-0.2898,0.309,10.328,60.8252,-0.1002,0.0928,-0.0177,35.3125
18:47:17:807,-0.4501,0.3353,10.2084,60.7783,-0.091,0.0904,-0.0562,35.3125
18:47:17:827,-0.7732,0.3975,10.1079,60.8541,-0.0501,-0,-0.1069,35.3125
18:47:17:846,-1.0463,0.4214,9.9571,60.7604,0.0202,-0.0409,-0.1148,35.3125
18:47:17:865,-1.1587,0.352,9.6817,60.7095,0.0721,0.0293,-0.0562,35.3125
18:47:17:885,-0.9936,0.2946,9.5836,61.2047,0.0458,0.1191,0.0275,35.3125
18:47:17:902,-0.8306,0.1866,9.6529,61.4233,-0.0354,0.1527,0.0513,35.3125
18:47:17:922,-0.8043,0.1531,9.8686,61.2607,-0.0965,0.1258,0.0134,35.3125
18:47:17:941,-0.8859,0.2106,10.0887,61.3743,-0.0971,0.1032,-0.0415,35.3125
18:47:17:962,-1.0367,0.268,10.206,61.3356,-0.0336,0.1234,-0.0837,35.3125
18:47:17:983,-1.0941,0.3616,10.127,61.3227,0.0641,0.1698,-0.0983,35.3125
18:47:18:002,-1.2018,0.4932,9.9595,61.3307,0.1466,0.2181,-0.1075,35.3125
18:47:18:018,-1.3095,0.6368,9.8973,61.3953,0.1729,0.2535,-0.1087,35.3125
18:47:18:037,-1.4246,0.8091,9.8542,61.1031,0.1478,0.2602,-0.1026,35.3125
18:47:18:057,-1.5036,0.8764,9.9188,60.8683,0.1026,0.204,-0.0843,35.3125
18:47:18:076,-1.3932,0.9051,9.9308,60.8211,0.0757,0.1209,-0.0391,35.6562
18:47:18:095,-1.2018,0.8596,9.8734,60.735,0.0794,0.0605,0.0134,35.7031
18:47:18:117,-0.9793,0.7899,9.9045,61.0845,0.0928,0.0531,0.0617,35.9219
18:47:18:134,-0.8043,0.7062,9.8471,61.2431,0.1051,0.0947,0.0922,35.9531
18:47:18:153,-0.7564,0.6368,9.8133,61.4302,0.1234,0.0916,0.0941,35.9844
18:47:18:172,-0.9075,0.6368,9.8495,61.358,0.1338,0.0586,0.0776,35.9844
18:47:18:191,-0.996,0.6344,9.8662,61.3877,0.1533,0.0079,0.0782,35.9062
18:47:18:210,-0.9625,0.6559,10.0074,61.2363,0.19,-0.0226,0.0965,35.9062
18:47:18:230,-0.984,0.6416,10.0576,61.5064,0.2388,0.014,0.1136,35.9062
18:47:18:249,-0.8644,0.6823,9.8157,61.6403,0.3115,0.0293,0.1277,36.0469
18:47:18:268,-0.7995,0.8115,9.3993,61.5338,0.3543,-0.0043,0.1063,36.0469
18:47:18:289,-0.7684,0.9505,9.0975,61.5395,0.3219,-0.022,0.066,36.2656
18:47:18:310,-0.711,1.0941,9.0233,61.5761,0.2223,0.0147,0.0312,36.2656
18:47:18:327,-0.8453,1.1515,9.0808,61.6429,0.1112,0.0428,-0.0153,36.4844
18:47:18:347,-0.8692,1.1994,9.4065,61.7048,0.0336,0.0183,-0.0464,36.4844
18:47:18:369,-0.7995,1.1587,9.6027,61.9322,0.0006,0.0507,-0.0635,36.625
18:47:18:388,-0.7134,1.1635,9.7247,61.831,-0.0031,0.0892,-0.0947,36.625
18:47:18:408,-0.9266,1.1276,9.5907,61.7315,-0.0086,0.0812,-0.1552,36.5312
18:47:18:427,-1.1946,1.1276,9.6218,61.7884,-0.0538,0.0134,-0.1704,44.625
18:47:18:447,-1.3143,1.0223,9.6338,61.6317,-0.1142,-0.0305,-0.1081,44.625
18:47:18:468,-1.1563,0.8979,9.574,61.6165,-0.1356,-0.014,0.0079,44.5469
18:47:18:488,-1.0367,0.7756,9.2507,61.6178,-0.1069,0.036,0.0892,44.5469
18:47:18:508,-1.0678,0.6607,8.9061,61.7179,-0.0629,0.0312,0.1191,44.3438
18:47:18:527,-1.0199,0.5602,8.8415,61.5576,-0.0513,-0.0012,0.1393,44.3438
18:47:18:547,-0.9482,0.3808,9.3084,61.4865,-0.0721,0.0385,0.1778,44.3594
18:47:18:568,-0.7923,0.3688,9.4639,61.32,-0.069,0.1539,0.2285,44.1406
18:47:18:587,-0.8186,0.376,9.8207,61.3609,-0.0373,0.1778,0.2401,44.1406
18:47:18:608,-0.9218,0.5148,10.1366,61.3337,-0.0483,0.2065,0.2486,44.0625
18:47:18:627,-1.2688,0.6511,10.2419,61.3507,-0.0922,0.226,0.2449,44.125
18:47:18:647,-1.5371,1.0295,10.0672,61.4695,-0.1209,0.1093,0.2425,44.1406
18:47:18:668,-1.6184,1.5467,10.0193,61.5284,-0.1356,-0.0654,0.2663,44.2969
18:47:18:688,-1.6998,2.0686,9.7487,61.7841,-0.193,-0.1038,0.3036,44.2656
18:47:18:708,-2.0686,2.4012,9.6171,61.8567,-0.3219,-0.0849,0.3647,44.5781
18:47:18:727,-2.0447,2.6647,10.4145,62.2356,-0.5272,-0.0953,0.4789,44.625
18:47:18:747,-1.8482,2.7365,12.0832,62.2029,-0.6237,-0.1704,0.5375,44.7188
18:47:18:768,-1.6615,2.6121,13.0549,62.1365,-0.4129,-0.4044,0.5204,44.7656
18:47:18:788,-1.3813,2.4778,12.0446,62.2833,-0.0147,-0.7165,0.5516,44.5469
18:47:18:809,-0.5722,2.6264,9.95,62.0508,0.3237,-0.8766,0.6438,44.5625
18:47:18:829,0.0526,2.5977,8.2813,61.7951,0.3977,-0.6835,0.642,44.2188
18:47:18:848,-0.3951,2.5642,8.2837,61.4884,-0.1527,0.212,0.3543,44.2344
18:47:18:868,-0.9793,1.8793,9.4663,61.4403,-0.2572,0.1875,0.3702,43.7344
18:47:18:888,-0.4813,1.3932,9.3682,61.2013,-0.2651,0.0513,0.5675,43.7031
18:47:18:908,0.4717,1.1563,9.5333,61.0637,-0.281,-0.2908,0.6023,43.1875
18:47:18:929,0.7828,1.2353,10.1868,61.1243,-0.3292,-0.2822,0.4557,42.625
18:47:18:952,0.565,1.197,10.5269,60.9209,-0.2559,0.1759,0.2999,42.625
18:47:18:968,0.6727,1.1396,10.0074,61.0506,-0.0538,0.8014,0.2529,41.8125
18:47:18:988,0.9912,1.3406,9.1549,61.2495,0.1533,1.2809,0.2285,41.8125
18:47:19:008,1.0702,1.7477,5.9877,61.346,0.215,1.4753,0.124,40.7344
18:47:19:029,1.0726,1.841,6.9643,61.2824,-0.1222,0.3824,-0.0709,40.625
18:47:19:047,0.2728,1.8793,10.1581,61.3137,-0.4062,-0.7294,-0.3738,40.6094
18:47:19:070,-0.0814,2.1188,11.2427,61.4682,-0.5143,-0.6438,-0.4551,39.4375
18:47:19:088,-0.0311,2.3222,9.926,61.3814,-0.3244,-0.4465,-0.5571,39.4219
18:47:19:109,-0.711,1.6711,9.9547,61.2937,-0.3335,-0.2993,-0.6835,38.0781
18:47:19:129,-0.5841,1.9463,10.4551,61.0157,-0.3787,0.0611,-0.6194,37.0781
18:47:19:147,-0.9745,1.8338,10.1964,60.9055,-0.2895,0.3384,-0.6041,37.0781
18:47:19:170,-0.9242,1.6831,10.5556,61.0468,-0.1906,0.3323,-0.5779,36.0156
18:47:19:189,-1.1228,1.4916,11.9752,61.2596,-0.0428,0.1637,-0.5999,36.0156
18:47:19:209,-1.6926,1.427,13.5577,61.0806,0.3457,-0.0733,-0.7006,34.8438
18:47:19:228,-2.2409,1.2616,13.4166,60.9456,0.8766,-0.0287,-0.7483,34.8438
18:47:19:247,-2.0877,1.2305,11.6426,61.2077,1.1551,0.2627,-0.6084,34.2812
18:47:19:272,-1.908,1.4557,10.4575,61.4105,0.9945,0.3995,-0.427,34.2188
18:47:19:290,-2.2552,1.4222,10.625,61.7046,0.5919,0.3799,-0.3384,33.8594
18:47:19:310,-2.3103,1.1779,11.2618,61.7133,0.234,0.383,-0.237,33.8281
18:47:19:329,-1.8745,0.8835,11.566,61.493,0.1387,0.2089,-0.1069,34.2344
18:47:19:347,-0.9123,0.5961,10.2395,61.2918,0.2547,0.0935,-0.1142,34.2812
18:47:19:370,-0.5937,0.4334,9.8157,61.34,0.2578,0.1643,-0.1112,35.2344
18:47:19:389,-0.2034,0.2994,9.2677,61.1148,0.2437,0.2376,-0.1093,35.3281
18:47:19:409,0.0574,0.268,8.7697,60.9918,0.1997,0.2407,-0.1558,36.6094
18:47:19:429,-0.0215,0.2297,8.8128,60.8256,0.0593,0.2614,-0.2529,37.9062
18:47:19:448,-0.0024,0.0861,9.7319,60.469,-0.0684,0.2871,-0.3683,37.9062
18:47:19:469,-1.2162,0.0407,9.7989,60.2126,-0.0806,0.2975,-0.4728,39.3438
18:47:19:489,-1.1611,0.0598,10.218,60.0856,-0.1649,0.2089,-0.2914,39.3438
18:47:19:509,-1.1061,-0.0718,10.3424,60.0481,-0.2382,0.1466,-0.1142,39.4688
18:47:19:528,-0.7851,-0.0574,10.3208,60.0363,-0.2437,-0.0018,-0.0122,41.0781
18:47:19:548,-0.4501,0.0598,9.6864,60.1789,-0.1735,-0.1509,0.0134,41.0938
18:47:19:569,-0.1005,0.285,8.9779,60.0071,-0.0904,-0.2712,-0.0379,42.0156
18:47:19:622,0.0383,0.5267,8.4488,59.8995,-0.0318,-0.2761,-0.1454,42.0156
18:47:19:622,-0.1125,0.8429,8.0225,59.9026,-0.0012,-0.1203,-0.2895,42.4375
18:47:19:630,-1.2425,1.0128,7.666,59.9453,0.0226,0.0861,-0.4697,42.7031
18:47:19:647,-1.9367,1.2879,7.7569,60.092,0.0244,0.182,-0.5278,42.7031
18:47:19:670,-2.2217,1.3765,7.6612,59.9484,0.0134,0.2627,-0.4899,42.9688
18:47:19:689,-2.2433,1.4438,7.8311,59.846,-0.0238,0.295,-0.3482,42.9688
18:47:19:709,-1.7429,1.5658,8.0608,59.7515,-0.0922,0.2804,-0.1851,43.4375
18:47:19:729,-1.5682,1.5227,8.5014,59.6913,-0.1753,0.2529,-0.1142,43.4375
18:47:19:747,-1.4605,1.6041,8.9898,59.6143,-0.2321,0.2492,-0.0764,44.2344
18:47:19:770,-1.398,1.6352,9.4448,59.7299,-0.2462,0.2779,-0.058,44.3281
18:47:19:789,-1.3167,1.6735,9.9045,59.5054,-0.2395,0.3488,-0.0348,44.6875
18:47:19:811,-1.9992,1.6472,10.5556,59.4115,-0.0983,0.3573,-0.0049,44.7344
18:47:19:829,-1.829,1.7596,10.4504,59.3814,0.0385,0.2621,0.0904,44.7031
18:47:19:848,-1.3669,1.829,9.9428,59.5305,0.0825,0.2773,0.2065,44.6875
18:47:19:870,-1.3238,1.6807,10.0074,59.5894,-0.0183,0.2346,0.223,44.875
18:47:19:890,-1.6041,1.2784,10.7183,59.6687,-0.1723,0.0599,0.1839,44.8906
18:47:19:910,-1.6567,0.9697,11.3862,59.6428,-0.2181,-0.1985,0.1607,45.6406
18:47:19:927,-1.9056,0.6942,11.6474,59.5772,-0.1851,-0.3598,0.1344,46.7344
18:47:19:948,-2.0518,0.3544,11.6713,59.8691,-0.1704,-0.3671,0.1264,46.7344
18:47:19:971,-2.1141,0.0574,11.621,60.1198,-0.1643,-0.3787,0.1295,46.8438
18:47:19:988,-2.3414,-0.0646,11.5732,60.2706,-0.1509,-0.3274,0.1222,47.3594
18:47:20:009,-2.849,-0.0574,11.9273,60.2941,-0.1625,-0.1429,0.1191,47.4062
18:47:20:029,-3.122,-0.1555,12.6239,60.1678,-0.1539,0.066,0.1778,47.5781
18:47:20:048,-2.9112,-0.3185,12.4995,60.164,0.0128,0.0886,0.27,47.5781
18:47:20:070,-2.5475,-0.3473,11.2307,60.2069,0.2847,-0.1234,0.3054,47.625
18:47:20:088,-2.4969,-0.1819,9.5764,60.3887,0.4881,-0.3671,0.2871,47.625
18:47:20:109,-2.3342,-0.0287,8.432,60.5484,0.493,-0.4343,0.2859,47.6094
18:47:20:128,-1.908,0.0598,8.3411,60.3389,0.3231,-0.2785,0.3097,47.2969
18:47:20:147,-1.4222,0.0909,9.0281,60.2528,0.1222,0.0263,0.2975,47.2969
18:47:20:170,-1.319,0.1747,9.7678,60.2977,0.0238,0.3366,0.212,46.8281
18:47:20:189,-1.5251,0.3999,9.7534,60.3715,0.0599,0.5247,0.0855,46.8281
18:47:20:209,-1.6663,0.6511,9.0209,60.335,0.1368,0.5559,-0.0134,46.4531
18:47:20:228,-1.9534,0.929,8.4703,60.3247,0.1338,0.485,-0.0605,46.4531
18:47:20:248,-2.059,1.0678,8.5875,60.0824,0.0684,0.3738,-0.0305,46.1562
18:47:20:272,-1.8051,1.0726,8.4727,59.9492,0.0666,0.2303,0.0428,46.125
18:47:20:291,-1.4557,1.1348,7.8814,59.9247,0.1307,0.0024,0.0806,45.8594
18:47:20:309,-1.7692,1.331,7.587,59.7171,0.1576,-0.259,0.0556,45.8281
18:47:20:328,-2.7843,1.5514,7.5317,59.5133,0.1448,-0.3824,0.0947,45.3594
18:47:20:350,-2.6719,1.707,7.5799,59.5493,0.1313,-0.2981,0.3054,45.3125
18:47:20:372,-1.6304,1.7883,7.5365,59.3895,0.1142,-0.0189,0.5156,44.7969
18:47:20:389,-1.8817,2.0112,8.0847,59.4623,0.099,0.2712,0.493,44.75
18:47:20:409,-2.3605,2.2744,7.9173,59.5245,0.1271,0.4581,0.3286,44.2344
18:47:20:428,-2.4179,2.5113,8.1206,59.6789,0.168,0.2639,0.1405,44.1875
18:47:20:447,-2.2265,2.7269,8.6976,59.6858,0.1161,-0.0226,0.1228,43.6719
18:47:20:469,-1.6974,2.9303,8.8558,59.7984,0.0904,-0.3134,0.1032,43.625
18:47:20:488,-1.1276,3.0858,9.5166,59.8798,0.0305,-0.5705,0.0464,43.5625
18:47:20:510,-0.8596,2.9542,10.448,59.8041,-0.0269,-0.6933,-0.0513,43.5469
