Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
21:06:05:120,-0.8151,1.0074,8.8706,51.944,0.5435,-1.1445,-0.08,40.3281
21:06:05:142,-0.8822,1.6143,7.6735,51.7358,0.6288,-0.9099,-0.0616,40.3281
21:06:05:160,-0.4344,2.0608,6.7075,51.6671,0.3699,-0.6044,-0.0837,184.5938
21:06:05:179,-0.5398,2.1111,7.7454,51.0905,-0.0328,-0.9604,-0.223,184.6719
21:06:05:211,-0.6775,1.8441,10.0522,48.5093,-0.3507,-1.1799,-0.3404,184.75
21:06:05:220,-0.4787,1.0888,12.2177,51.2201,-0.4277,-0.9716,-0.4163,185.1719
21:06:05:238,0.2778,0.5321,12.5637,51.4146,-0.2924,-0.4835,-0.4427,185.6094
21:06:05:258,0.8417,1.1019,11.0458,51.8256,-0.1289,0.0896,-0.5207,186.1562
21:06:05:277,0.7974,1.6634,9.0071,51.5158,-0.0027,0.5099,-0.5758,186.6875
21:06:05:306,-0.1974,1.9543,8.3284,50.4542,0.1103,0.47,-0.5258,187.2812
21:06:05:317,-1.0186,2.1123,8.6073,52.7097,0.2248,-0.0028,-0.3631,187.8906
21:06:05:343,-1.0521,2.1458,8.9066,50.484,0.274,-0.3785,-0.1551,188.4531
21:06:05:361,-0.6164,2.238,9.0969,50.3262,0.1933,-0.3322,-0.0334,188.875
21:06:05:376,-0.4069,2.3254,9.2585,49.9353,0.045,-0.105,-0.0011,189.0625
21:06:05:395,-0.4129,2.4367,9.2717,51.4569,-0.0722,0.0952,0.0058,189.1094
21:06:05:416,-0.5817,2.6091,8.9604,51.3519,-0.0898,0.2478,0.0082,189.125
21:06:05:443,-0.8462,2.7863,8.5079,51.8503,-0.0312,0.2814,-0.0086,189.1094
21:06:05:461,-0.93,2.7958,7.9979,50.5664,0.0471,0.0918,-0.0608,189.0938
21:06:05:477,-1.0713,2.6833,7.8759,50.5101,0.1097,-0.203,-0.1098,189.0781
21:06:05:497,-1.1491,2.6199,7.9644,49.6439,0.1167,-0.4323,-0.1415,189.0781
21:06:05:526,-0.9995,2.5504,8.46,50.3057,0.0695,-0.5889,-0.1748,189.2031
21:06:05:542,-0.7804,2.5756,9.3315,50.7747,0.0069,-0.6483,-0.2198,189.2031
21:06:05:559,-0.4285,2.6378,10.1551,50.7979,-0.0314,-0.4955,-0.2741,189.4688
21:06:05:576,-0.1316,2.6306,10.3754,49.5448,-0.0016,-0.1628,-0.3324,189.7031
21:06:05:594,0.0971,2.5732,10.0079,49.5729,0.0738,0.3104,-0.3519,189.9844
21:06:05:614,0.0384,3.4973,8.9772,51.0757,0.0394,0.8976,-0.3356,190.3281
21:06:05:642,-0.0573,3.6901,7.6209,51.4609,-0.3377,0.6851,-0.3878,190.7188
21:06:05:662,0.7339,2.6402,8.8144,50.8384,-0.7414,0.2822,-0.6808,191.0781
21:06:05:676,0.3161,2.0524,11.2756,51.9436,-0.865,0.4023,-0.937,191.4062
21:06:05:694,-0.0322,1.054,11.9065,52.2585,-0.7611,0.5594,-1.0278,191.7969
21:06:05:714,-0.0801,0.4639,11.1631,49.6556,-0.5417,0.7158,-1.035,192.5781
21:06:05:744,0.1067,0.0976,9.7744,51.4143,-0.3507,0.7131,-1.0786,193.5781
21:06:05:761,-0.541,0.5752,8.8742,49.5089,-0.2021,0.6185,-1.044,194.7188
21:06:05:776,-1.2712,0.9822,8.6504,52.793,-0.0676,0.4084,-0.9146,195.875
21:06:05:794,-2.1942,0.9906,8.5163,50.5866,0.0389,0.1597,-0.6643,198.2031
21:06:05:814,-3.1579,1.1762,8.3942,51.7582,0.1116,-0.096,-0.2416,199.2344
21:06:05:842,-3.4092,1.5963,8.7856,51.0672,0.1499,-0.3293,0.2812,199.6562
21:06:05:861,-2.1618,1.7891,9.4225,51.1326,0.1486,-0.3269,0.654,200.1719
21:06:05:878,-0.0741,1.6741,9.9528,51.6813,0.1284,-0.2337,0.6247,200.1562
21:06:05:894,0.3042,1.9662,10.355,51.5073,0.1209,-0.0491,0.4085,199.5938
21:06:05:914,-0.1459,1.9674,10.0546,52.1685,0.0514,0.0369,0.2231,198.8594
21:06:05:944,-0.5015,1.8358,9.5937,52.1885,-0.1329,0.0154,0.0934,198.2656
21:06:05:962,-0.6032,1.7579,9.5661,52.6021,-0.3979,-0.1034,0.0252,197.9219
21:06:05:974,-0.5865,1.6227,10.215,51.0256,-0.5494,-0.1844,0.0263,197.75
21:06:05:994,-0.4213,1.394,10.7309,52.0466,-0.4794,-0.1889,0.0987,197.6875
21:06:06:015,-0.2561,1.3773,10.2832,52.0466,-0.2517,-0.161,0.2311,197.6562
21:06:06:039,0.0947,1.6706,9.1125,52.3702,0.008,-0.1812,0.3595,197.5938
21:06:06:057,0.7004,2.2164,7.8076,52.2792,0.1899,-0.2427,0.377,197.5156
21:06:06:078,1.4833,2.6498,6.5339,51.8679,0.2149,-0.2893,0.218,197.2656
21:06:06:094,1.9825,2.906,5.4517,52.5366,0.0077,-0.333,-0.1109,196.8594
21:06:06:114,1.6988,3.0652,4.9202,52.071,-0.4104,-0.3737,-0.5069,196.625
21:06:06:136,0.5292,2.7827,5.5547,51.5829,-0.89,-0.3186,-0.8017,196.2031
21:06:06:158,-1.1108,2.2931,7.1372,54.5644,-1.2376,-0.0659,-0.8416,196.5781
21:06:06:174,-2.2169,1.6682,8.8479,51.6169,-1.3414,0.2436,-0.6986,197.3594
21:06:06:194,-3.8294,1.825,11.3642,51.8793,-1.2072,0.3879,-0.4318,198.2812
21:06:06:216,-3.9371,2.1446,12.1902,52.8856,-0.9252,0.3397,-0.0722,199.1875
21:06:06:238,-3.4152,1.9854,12.9492,54.2017,-0.5515,0.0428,0.2854,199.8594
21:06:06:254,-2.2923,1.4144,13.1994,51.9531,-0.1377,-0.2864,0.597,200.1562
21:06:06:273,-1.0821,1.3845,12.0884,52.2781,0.1518,-0.26,0.8218,200.0312
21:06:06:293,-0.7636,1.7568,11.7269,52.0992,0.0804,-0.2097,0.8636,199.5
