Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
20:42:48:497,-0.9588,3.9726,10.7345,52.8023,0.0253,-0.0137,0.3035,304.9844
20:42:48:514,-0.9348,3.9211,9.9887,54.3247,0.1297,0.0641,0.3541,304.9844
20:42:48:531,-0.9121,3.8337,9.3638,52.8473,0.196,0.3663,0.3991,304.9844
20:42:48:552,-1.0438,3.6458,8.8467,54.4806,0.1912,0.5661,0.4207,183.375
20:42:48:583,-1.1515,3.5321,8.4193,52.3119,0.1806,0.4252,0.4343,182.8594
20:42:48:599,-1.1898,3.6003,7.8016,52.8028,0.1955,0.1514,0.4713,182.5625
20:42:48:615,-1.0186,3.7715,7.2007,52.2356,0.1787,0.0558,0.5493,181.9688
20:42:48:629,-0.6547,3.9055,6.735,52.2898,0.0839,0.2186,0.6383,181.4375
20:42:48:649,-0.0957,3.9917,6.7278,51.0855,-0.1153,0.4452,0.6804,180.8594
20:42:48:669,0.3174,4.0229,7.2139,54.0072,-0.3358,0.499,0.646,180.1562
20:42:48:699,0.3592,4.1258,7.9812,53.4079,-0.4455,0.271,0.5629,179.3594
20:42:48:715,0.1976,4.309,8.5438,53.9777,-0.376,0.0867,0.5549,178.4531
20:42:48:728,0.394,4.5544,8.4744,51.9318,-0.1989,0.1541,0.5986,177.6562
20:42:48:757,0.4574,4.7256,8.0303,55.0807,-0.0621,0.3597,0.609,177
20:42:48:769,0.2072,4.892,7.8244,53.8351,-0.0179,0.503,0.5922,176.3125
20:42:48:789,-0.2477,4.9985,7.81,53.1755,-0.0176,0.52,0.5856,175.1562
20:42:48:823,-0.6032,5.0548,7.8711,52.576,-0.0192,0.4476,0.6354,174.4062
20:42:48:828,-0.6104,5.0871,7.9237,54.9648,-0.0024,0.3309,0.7099,173.625
20:42:48:849,-0.3674,5.1565,7.8555,53.84,0.0432,0.2739,0.7656,172.8125
20:42:48:866,-0.1555,5.1661,7.8447,53.6416,0.0775,0.3552,0.7898,171.9219
20:42:48:886,0.03,5.0679,7.9824,53.9735,0.1025,0.4337,0.792,171.0312
20:42:48:906,0.4562,5.1242,8.2134,52.6888,0.1411,0.3773,0.7603,170.0625
20:42:48:931,0.6501,5.1182,8.4397,52.7047,0.208,0.2982,0.7083,169.0625
20:42:48:948,0.7232,5.0392,8.6635,53.8426,0.2653,0.2489,0.6993,168.1719
20:42:48:965,0.783,4.9339,8.9425,54.8622,0.2967,0.0731,0.7249,167.2969
20:42:48:991,1.2152,4.7387,9.3938,52.9211,0.2831,-0.1618,0.7845,166.4531
20:42:49:013,1.8724,4.5879,9.541,54.1859,0.2863,-0.4286,0.7462,165.6719
20:42:49:026,2.0436,4.5676,9.1101,52.8096,0.3076,-0.7554,0.6743,164.8281
20:42:49:048,3.2802,4.3616,8.0746,54.5356,0.3028,-1.1375,0.6644,164.0938
20:42:49:067,4.5443,5.4702,7.1432,52.7221,0.1409,-1.4236,0.5014,164.0938
20:42:49:085,3.7506,5.2391,7.2438,53.7313,-0.1571,-1.5605,0.3411,163.5312
20:42:49:106,4.3468,5.7156,7.8148,54.7176,-0.4674,-1.3445,0.4527,163.0938
20:42:49:130,5.0088,5.2966,8.818,55.1313,-0.7467,-0.9546,0.5406,162.8906
20:42:49:148,5.4505,4.5125,10.227,54.1812,-0.8764,-0.4358,0.5368,162.7344
20:42:49:163,5.1848,3.3118,11.6144,52.9616,-0.7902,0.0348,0.3323,162.7344
20:42:49:183,3.7423,2.2847,11.6383,53.5484,-0.6514,0.7608,0.1629,162.3594
20:42:49:205,2.3907,1.9423,10.8961,53.7345,-0.4194,1.0223,0.2617,161.8906
20:42:49:229,1.8748,2.9227,10.2916,55.439,-0.127,0.9845,0.5336,161.5469
20:42:49:249,2.9258,4.3221,8.5211,53.6847,0.1712,0.2846,0.7733,161.2344
20:42:49:263,3.9613,3.7906,6.3723,53.5642,0.1406,-0.7237,0.7272,160.7344
20:42:49:283,4.1577,3.2675,5.3835,53.9109,-0.3337,-1.4233,0.4308,159.9219
20:42:49:304,3.3496,2.4128,6.0527,53.3771,-0.8653,-1.9349,0.1672,159.0156
20:42:49:323,2.6936,1.9639,6.6321,54.2777,-1.0951,-2.5251,0.1017,158.3438
20:42:49:346,3.2287,3.635,7.8519,54.3874,-1.2594,-2.7048,0.0181,158.1406
20:42:49:365,7.0917,5.8568,9.6583,53.8965,-1.3089,-1.9479,-0.3923,158.375
20:42:49:383,6.9469,4.8285,8.4265,52.3405,-1.04,-0.9221,-1.2723,159.0938
20:42:49:404,3.0096,2.3385,7.7202,53.7519,-0.5976,-0.6584,-1.8278,159.7969
20:42:49:429,1.445,1.9615,7.0103,53.3905,-0.1361,-0.5245,-1.696,161.0312
20:42:49:448,2.5835,3.0496,7.7753,53.2742,0.3151,0.1054,-1.2928,163.1406
20:42:49:465,2.7128,3.143,7.6616,53.7031,0.7992,1.3477,-1.0166,165.3906
20:42:49:489,2.1549,2.7216,6.9421,52.1501,0.9835,1.9142,-0.7998,166.3438
20:42:49:503,1.9706,3.4076,6.2849,53.5446,0.9593,1.9951,-0.6153,167.6875
20:42:49:525,1.0739,3.896,6.0778,52.9034,0.6767,1.4883,-0.4797,168.5156
20:42:49:546,0.54,4.3221,5.7737,53.2275,0.3276,0.8172,-0.2885,168.9688
20:42:49:566,1.3756,3.9882,5.9437,52.9132,-0.241,0.3006,-0.1718,169.2031
20:42:49:583,1.8532,3.4686,7.1576,52.7126,-0.7436,-0.284,-0.2342,169.5
