Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
20:43:15:811,0.607,1.4539,9.9133,53.0025,-0.0309,-0.1724,0.2745,223.3125
20:43:15:827,0.7926,1.2851,9.8618,54.848,-0.0309,0.0257,0.278,223.3125
20:43:15:846,1.0607,1.3701,9.2884,54.856,0.0264,0.2351,0.2623,223.3125
20:43:15:867,1.2583,1.5497,8.557,55.969,0.0943,0.2452,0.1973,193.7969
20:43:15:887,0.9745,1.5688,8.5618,53.8179,0.1366,-0.0068,0.0761,193.4688
20:43:15:912,0.6573,1.2312,9.116,54.6459,0.1971,-0.3311,-0.0089,193.1719
20:43:15:930,0.358,1.011,9.778,54.706,0.2511,-0.4976,-0.0001,192.9062
20:43:15:948,0.2551,0.9308,10.136,54.5289,0.3214,-0.4813,0.0679,192.8594
20:43:15:966,0.2958,1.0936,9.9588,55.6948,0.4032,-0.3841,0.164,192.8906
20:43:15:987,0.461,1.473,9.1316,54.3539,0.4586,-0.2869,0.2548,192.8906
20:43:16:012,0.8106,2.0584,8.1679,54.3581,0.474,-0.3474,0.2934,192.7969
20:43:16:030,1.2655,2.5444,7.4904,53.8568,0.3838,-0.488,0.2327,192.5625
20:43:16:047,1.6437,2.7695,7.5622,55.3824,0.1734,-0.5469,0.1073,192.25
20:43:16:068,1.7706,2.7587,8.2386,55.6548,-0.0519,-0.4547,-0.0568,191.9531
20:43:16:093,1.8113,2.6342,8.9305,55.894,-0.2184,-0.1921,-0.2027,191.7969
20:43:16:112,1.2822,2.5313,9.1579,56.7863,-0.2895,0.1395,-0.2983,191.7969
20:43:16:130,1.1793,2.5624,8.9473,53.1749,-0.2983,0.3488,-0.2778,191.9062
20:43:16:146,1.1398,2.7504,8.7174,55.9698,-0.2666,0.3501,-0.281,192.1875
20:43:16:167,1.0452,2.9024,8.5342,56.3943,-0.2146,0.1938,-0.3018,192.5312
20:43:16:198,0.9386,3.0029,8.5055,55.4178,-0.1784,0.0273,-0.333,192.8125
20:43:16:215,0.722,3.0209,8.5271,56.464,-0.1782,-0.0214,-0.3745,193.125
20:43:16:229,0.309,2.961,8.5582,54.7469,-0.2322,0.0582,-0.3814,193.4531
20:43:16:246,0.0205,2.9694,8.8383,54.6378,-0.2983,0.1871,-0.3218,193.8281
20:43:16:266,-0.0298,3.1262,9.0861,54.8007,-0.2975,0.254,-0.2374,194.4844
20:43:16:298,-0.0609,3.404,9.3052,55.1565,-0.232,0.2313,-0.1647,194.9062
20:43:16:311,0.0025,3.5105,9.2214,55.1299,-0.1377,0.1594,-0.1298,195.2031
20:43:16:329,-0.0573,3.6314,9.0466,55.1299,-0.0908,0.0865,-0.1154,195.4219
20:43:16:346,-0.1411,3.6661,9.1029,54.9767,-0.0887,0.046,-0.1335,195.5781
20:43:16:368,-0.4835,3.4339,9.4081,55.6375,-0.1326,0.0694,-0.1431,195.7031
20:43:16:400,-0.8031,2.9191,10.2856,53.8608,-0.143,0.1546,-0.0733,195.8281
20:43:16:406,-0.851,2.6785,10.5202,53.9161,-0.053,0.263,0.0564,196
20:43:16:432,-0.7146,2.463,9.9277,54.5039,-0.0178,0.3248,0.1592,196.1406
20:43:16:447,-0.4392,2.1003,9.5111,53.2001,-0.1292,0.2193,0.2138,196.1406
20:43:16:467,-0.3722,1.7615,10.0749,52.1002,-0.2626,-0.0552,0.2338,195.9844
20:43:16:493,-0.4308,1.4934,10.6639,52.8385,-0.2599,-0.2632,0.237,195.7344
20:43:16:509,-0.0442,1.0972,10.1898,53.1114,-0.2256,-0.2592,0.2159,195.4844
20:43:16:527,0.2934,1.096,9.966,52.6764,-0.3808,-0.0132,0.1797,195.25
20:43:16:547,0.3257,1.1857,10.6304,53.8614,-0.5228,0.2619,0.1049,195.0156
20:43:16:568,-0.201,1.1271,10.7321,52.5267,-0.4234,0.4082,0.0484,194.7344
20:43:16:590,-0.6906,1.0672,9.8211,54.5285,-0.196,0.3938,0.0766,194.6094
20:43:16:608,-0.8594,1.3378,8.6947,53.5278,-0.0408,0.1578,0.1342,194.5469
20:43:16:627,-0.845,1.5892,8.6013,51.7928,-0.0242,-0.2259,0.1366,194.4531
20:43:16:646,-0.772,1.6382,9.5422,51.3266,-0.082,-0.4949,0.0748,194.375
20:43:16:667,-0.8618,1.4934,10.7022,52.7019,-0.1369,-0.5042,-0.0227,194.2188
20:43:16:688,-1.1683,1.3174,11.2146,53.4965,-0.1792,-0.2933,-0.0978,194.1094
20:43:16:708,-1.6303,1.0792,11.4265,53.0886,-0.1942,-0.0496,-0.1138,194.1094
20:43:16:726,-2.0637,0.7955,11.363,52.2176,-0.1174,0.1671,-0.0344,194.2188
20:43:16:746,-2.1595,0.6434,10.4149,52.8685,0.0487,0.3397,0.132,194.3594
20:43:16:767,-1.926,0.8613,8.8934,53.5496,0.1779,0.3488,0.3224,194.4688
20:43:16:790,-1.5178,1.1929,7.8555,50.4179,0.1915,0.1805,0.4569,194.4062
20:43:16:806,-1.1,1.3761,7.7226,52.0289,0.1209,-0.0286,0.5267,194.125
20:43:16:827,-0.8247,1.6239,8.2649,51.8321,0.0487,-0.1777,0.556,193.6406
20:43:16:846,-0.6906,1.74,8.9724,53.3481,0.0336,-0.223,0.5541,193.0938
20:43:16:867,-0.687,1.8681,9.1951,52.3949,0.0589,-0.1524,0.564,192.1562
20:43:16:892,-0.6858,2.0285,9.0945,52.925,0.0807,-0.0542,0.5906,191.5312
20:43:16:910,-0.5972,2.2452,8.897,51.8378,0.1073,-0.0214,0.621,190.9219
20:43:16:927,-0.3698,2.548,8.7737,53.2107,0.1348,-0.0289,0.6386,190.25
20:43:16:947,-0.0645,2.7958,8.648,54.5247,0.1601,-0.039,0.6199,189.5312
20:43:16:967,0.1581,2.9898,8.5714,51.6825,0.1739,-0.0305,0.5632,188.8281
20:43:16:990,0.2611,3.222,8.6851,51.67,0.1763,-0.039,0.4857,188.1094
20:43:17:008,0.0887,3.2926,8.4935,51.8872,0.1917,-0.0499,0.4085,187.4531
20:43:17:028,0.194,3.3166,8.6552,52.2158,0.1768,-0.1021,0.3549,186.9219
20:43:17:047,0.4814,3.3561,9.2537,52.3654,0.1041,-0.2012,0.3411,186.4531
20:43:17:072,0.546,3.155,9.9636,53.5219,0.0149,-0.313,0.3211,186.0469
20:43:17:087,0.4622,2.876,11.126,53.0718,-0.0567,-0.4134,0.2921,185.8438
20:43:17:108,0.6693,2.6665,12.207,52.5677,-0.0842,-0.4574,0.3288,185.5
20:43:17:128,1.4007,2.6737,11.5845,52.1783,0.0772,-0.3951,0.4047,185.1719
20:43:17:148,1.5145,2.8545,9.9097,53.9542,0.4496,-0.2632,0.4591,184.6875
20:43:17:167,2.6218,2.9287,8.8479,53.4234,0.237,-0.3679,0.4016,184.25
20:43:17:193,3.4394,3.0233,9.1759,52.7265,-0.1494,-0.5815,0.1464,183.7031
20:43:17:208,3.5878,2.4571,11.0984,52.2975,-0.5137,-0.7024,-0.2288,183.1562
20:43:17:226,2.6206,1.3246,13.1216,53.0735,-0.5886,-0.4907,-0.5434,182.7188
20:43:17:245,1.1565,0.4555,13.2005,54.1875,-0.3611,0.0265,-0.6203,182.6094
20:43:17:265,0.2575,0.2101,11.4061,52.1188,-0.0402,0.4447,-0.4509,182.9688
20:43:17:285,0.6334,0.5585,9.1053,52.5396,0.183,0.4713,-0.2134,183.6875
20:43:17:306,1.6461,1.1307,8.0183,52.6021,0.2573,0.0529,-0.1156,184.3906
20:43:17:325,2.8121,1.3892,8.2134,53.5572,0.2256,-0.4536,-0.2376,184.8906
