Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
21:00:20:663,-2.9615,0.6351,9.8379,59.0407,0.2906,-0.2928,0.8812,80.0938
21:00:20:682,-2.9316,-0.2269,10.6591,60.4548,0.1401,-0.46,0.7304,77.7812
21:00:20:699,-2.4899,-0.1538,11.442,59.2253,0.114,-0.557,0.83,77.7812
21:00:20:731,-1.7453,0.1191,12.2991,59.4792,0.0924,-0.7192,0.7725,205.625
21:00:20:748,-0.699,0.185,13.4364,58.2182,0.1372,-0.8803,0.4665,204.7812
21:00:20:764,-1.2964,-0.349,14.333,58.1126,0.3238,-0.8441,0.1688,203.8438
21:00:20:781,-2.6347,-1.1785,13.8637,58.4457,0.5508,-0.3333,0.2178,203.1094
21:00:20:797,-2.8023,-1.564,12.3817,58.5988,0.7358,0.4841,0.4567,202.8281
21:00:20:816,-3.0034,-1.3569,9.0741,56.9574,0.5984,0.5882,0.7443,202.7031
21:00:20:839,-3.0704,-0.908,7.3012,56.6835,0.2906,-0.0099,0.9438,202.4219
21:00:20:866,-2.6239,-0.6877,7.8256,58.3903,0.1422,-0.9642,0.9608,201.8125
21:00:20:876,-2.0601,-0.6782,8.8335,56.6352,0.1127,-1.6254,0.9406,200.9062
21:00:20:900,-1.2616,-0.7715,9.6284,56.6752,0.0991,-1.7791,0.9371,200.375
21:00:20:916,-0.7169,-0.8051,10.1108,56.7683,0.1268,-1.4313,0.9198,199.3281
21:00:20:939,-0.4775,-0.7452,9.7302,55.4087,0.2171,-0.8627,0.9398,198.3281
21:00:20:964,-0.134,-0.4471,9.0083,55.2177,0.3872,-0.3607,0.9525,196.9062
21:00:20:979,-0.3459,-0.3047,7.4652,54.7279,0.408,-0.3333,0.9917,195.9219
21:00:20:994,-0.6439,-0.0832,6.9325,54.5956,0.3225,-0.3239,1.0476,194.875
21:00:21:029,-0.3087,0.1,6.9134,54.5752,0.2466,-0.41,1.0359,193.8594
21:00:21:033,-0.0202,0.3035,7.0905,54.9425,0.232,-0.3961,0.9954,192.7344
21:00:21:060,0.3293,0.4878,6.9433,55.0887,0.2277,-0.406,0.9475,191.5625
21:00:21:073,0.4682,0.7727,6.8428,53.1646,0.1784,-0.5032,0.8665,190.4844
21:00:21:094,0.4191,0.9224,7.0582,54.4881,0.0759,-0.5764,0.7976,189.4062
21:00:21:112,0.4981,0.9451,7.6556,52.8583,-0.0538,-0.5434,0.7568,188.4062
21:00:21:147,0.5496,0.9547,8.6157,53.9964,-0.1409,-0.4203,0.7448,187.5469
21:00:21:151,0.698,0.9523,9.5266,54.1413,-0.1387,-0.1972,0.7328,186.7188
21:00:21:178,0.9255,0.7129,10.3371,55.2027,-0.0695,0.0098,0.7195,185.8906
21:00:21:194,1.0045,0.082,11.8646,52.7038,0.0378,0.2319,0.7771,185.0781
21:00:21:212,0.8273,-0.4854,12.8558,54.6087,0.1167,0.4833,0.9083,184.2969
21:00:21:232,0.9734,-0.1012,12.5804,52.3245,0.0871,0.5906,1.0186,182.9688
21:00:21:250,1.8389,0.4747,11.7413,54.435,0.0424,0.6881,0.9363,181.8906
21:00:21:277,3.0491,0.841,10.4819,54.8727,-0.0003,0.6705,0.6785,180.75
21:00:21:289,3.6752,1.0792,9.1579,53.8869,-0.1036,0.3384,0.3283,179.6094
21:00:21:311,3.3412,1.2588,8.8239,54.2629,-0.3268,-0.256,-0.0291,178.7812
21:00:21:329,2.3009,1.2013,10.2377,53.9986,-0.5595,-0.8291,-0.2986,178.3906
21:00:21:359,1.3361,0.6327,13.2101,53.136,-0.5798,-0.9266,-0.3897,178.3594
21:00:21:376,0.9805,-0.0545,15.3254,54.378,-0.2693,-0.1841,-0.3023,178.6094
21:00:21:390,0.9602,-0.0353,13.7967,52.9054,0.1276,0.6883,-0.1266,179.0938
21:00:21:409,1.554,0.6339,10.3862,52.3405,0.3523,0.8849,-0.0611,179.5312
21:00:21:428,2.4721,1.4647,7.6975,52.647,0.3401,0.2921,-0.2749,179.7656
21:00:21:448,1.961,1.9124,7.0259,53.8621,0.1108,-0.5951,-0.5263,179.7812
21:00:21:478,1.627,1.5149,8.8096,53.8018,-0.0586,-1.0792,-0.6872,179.8906
21:00:21:489,1.3756,0.8637,10.9692,52.6962,0.0407,-0.9053,-0.8171,180.7344
21:00:21:514,0.8165,0.3118,10.9943,54.0242,0.24,-0.3194,-0.8355,181.5938
21:00:21:528,0.3102,0.2005,8.9892,54.11,0.3068,0.242,-0.7548,182.5469
21:00:21:546,0.0324,0.4388,6.8248,52.229,0.1963,0.5333,-0.6392,183.5156
21:00:21:569,-0.0621,0.9523,5.5379,53.1298,0.024,0.5493,-0.5295,184.3594
21:00:21:591,0.0971,1.4754,5.2219,52.7846,-0.1036,0.3613,-0.4808,185.0156
21:00:21:605,0.2216,1.7975,5.599,53.9306,-0.1776,0.0944,-0.5271,185.5781
21:00:21:630,-0.1184,1.7101,6.4118,54.6672,-0.2061,-0.1306,-0.5343,186.0938
21:00:21:699,-0.3889,1.5473,7.2833,51.8716,-0.2413,-0.227,-0.4653,186.7031
